,VARNAME_2,population(thousand)
0,An Phu,203.095
1,Cho Moi,380.404
2,Chau Doc,119.09
3,Chau Phu,256.724
4,Chau Thanh,177.811
5,Long Xuyen,272.208
6,Phu Tan,222.573
7,Tinh Bien,119.844
8,Tan Chau,177.653
9,Thoai Son,196.107
10,Tri Ton,127.126
11,Bac Lieu,51.888
12,Dong Hai,169.774
13,Gia Rai,169.578
14,Hong Dan,127.68
15,Hoa Binh,139.07
16,Phuoc Long,141.927
17,Vinh Loi,103.737
18,Ben Tre,120.227
19,Ba Tri,199.01
20,Binh Dai,129.94
21,Cho Lach,128.994
22,Chau Thanh,158.612
23,Giong Trom,183.931
24,Mo Cay Bac,79.403
25,Mo Cay Nam,195.009
26,Thanh Phu,129.565
27,Binh Thuy,98.63
28,Co Do,158.04
29,Cai Rang,118.182
30,Ninh Kieu,235.019
31,O Mon,128.889
32,Phong Dien,117.789
33,Thot Not,156.297
34,Thoi Lai,133.531
35,Vinh Thanh,147.883
36,Ca Mau,207.285
37,Cai Nuoc,147.209
38,Dam Doi,194.167
39,Nam Can,72.118
40,Ngoc Hien,82.431
41,Phu Tan,119.227
42,Thoi Binh,147.093
43,Tran Van Thoi,203.443
44,U Minh,96.212
45,Cao Lanh,166.138
46,Cao Lanh,222.83
47,Chau Thanh,172.681
48,Hong Ngu,153.689
49,Hong Ngu,63.981
50,Lap Vo,197.742
51,Lai Vung,172.673
52,Sa Dec,110.837
53,Tam Nong,105.129
54,Tan Hong,88.08
55,Thanh Binh,168.395
56,Thap Muoi,135.209
57,Chau Thanh,55.754
58,Chau Thanh A,93.851
59,Long My,99.682
60,Long My,65.032
61,Nga Bay,63.717
62,Phung Hiep,213.2
63,Vi Thanh,78.704
64,Vi Thuy,94.246
65,An Bien,130.099
66,An Minh,112.522
67,Chau Thanh,155.148
68,Giong Rieng,217.141
69,Giang Thanh,40.101
70,Go Quao,158.896
71,Ha Tien,44.956
72,Hon Dat,169.575
73,Kien Hai,18.113
74,Kien Luong,63.79
75,Phu Quoc,88.56
76,Rach Gia,224.233
77,Tan Hiep,159.431
78,U Minh Thuong,75.932
79,Vinh Thuan,113.921
80,Ben Luc,141.505
81,Can Duoc,186.126
82,Can Giuoc,177.173
83,Chau Thanh,112.276
84,Duc Hoa,219.615
85,Duc Hue,67.965
86,Kien Tuong,33.011
87,Moc Hoa,41.187
88,Tan An,128.119
89,Tan Hung,42.229
90,Tan Thanh,87.0
91,Tan Tru,68.935
92,Thanh Hoa,57.876
93,Thu Thua,96.451
94,Vinh Hung,48.765
95,Chau Thanh,107.42
96,Cu Lao Dung,68.132
97,Ke Sach,178.469
98,Long Phu,101.424
99,My Tu,120.008
100,My Xuyen,138.004
101,Nga Nam,83.832
102,Soc Trang,135.68
103,Thanh Tri,94.891
104,Tran De,175.74
105,Vinh Chau,161.675
106,Cai Be,304.353
107,Cai Lay,170.378
108,Cai Lay,164.984
109,Cho Gao,167.861
110,Chau Thanh,255.774
111,Go Cong,111.169
112,Go Cong Dong,146.682
113,Go Cong Tay,152.441
114,My Tho,206.89
115,Tan Phu Dong,30.706
116,Tan Phuoc,55.922
117,Cau Ke,126.741
118,Cau Ngang,137.46
119,Cang Long,174.547
120,Chau Thanh,129.021
121,Duyen Hai,68.108
122,Duyen Hai,53.409
123,Tieu Can,113.768
124,Tra Cu,147.544
125,Tra Vinh,107.627
126,Binh Minh,121.755
127,Binh Tan,60.419
128,Long Ho,159.642
129,Mang Thit,105.701
130,Tam Binh,169.517
131,Tra On,154.65
132,Vinh Long,127.323
133,Vung Liem,182.655
