,VARNAME_2,population(thousand)
0,An Phu,181.518
1,Cho Moi,290.494
2,Chau Doc,80.114
3,Chau Phu,269.224
4,Chau Thanh,186.956
5,Long Xuyen,289.131
6,Phu Tan,168.324
7,Tinh Bien,228.611
8,Tan Chau,159.508
9,Thoai Son,194.662
10,Tri Ton,260.49
11,Bac Lieu,137.0
12,Dong Hai,119.864
13,Gia Rai,159.813
14,Hong Dan,113.835
15,Hoa Binh,106.563
16,Phuoc Long,133.273
17,Vinh Loi,83.212
18,Ben Tre,115.089
19,Ba Tri,260.903
20,Binh Dai,181.214
21,Cho Lach,64.741
22,Chau Thanh,49.325
23,Giong Trom,181.767
24,Mo Cay Bac,71.931
25,Mo Cay Nam,184.958
26,Thanh Phu,308.614
27,Binh Thuy,144.563
28,Co Do,137.784
29,Cai Rang,50.055
30,Ninh Kieu,198.117
31,O Mon,105.505
32,Phong Dien,94.071
33,Thot Not,72.69
34,Thoi Lai,132.28
35,Vinh Thanh,152.054
36,Ca Mau,179.559
37,Cai Nuoc,142.094
38,Dam Doi,220.392
39,Nam Can,53.107
40,Ngoc Hien,46.141
41,Phu Tan,156.6
42,Thoi Binh,213.531
43,Tran Van Thoi,121.873
44,U Minh,88.167
45,Cao Lanh,197.481
46,Cao Lanh,175.288
47,Chau Thanh,174.77
48,Hong Ngu,107.81
49,Hong Ngu,43.105
50,Lap Vo,176.658
51,Lai Vung,119.369
52,Sa Dec,68.743
53,Tam Nong,122.844
54,Tan Hong,91.931
55,Thanh Binh,125.922
56,Thap Muoi,269.05
57,Chau Thanh,45.323
58,Chau Thanh A,101.912
59,Long My,139.913
60,Long My,95.787
61,Nga Bay,73.73
62,Phung Hiep,270.738
63,Vi Thanh,124.4
64,Vi Thuy,123.261
65,An Bien,56.313
66,An Minh,89.373
67,Chau Thanh,160.624
68,Giong Rieng,140.541
69,Giang Thanh,72.464
70,Go Quao,110.664
71,Ha Tien,51.516
72,Hon Dat,301.946
73,Kien Hai,0.055
74,Kien Luong,107.15
75,Phu Quoc,18.705
76,Rach Gia,216.63
77,Tan Hiep,160.196
78,U Minh Thuong,56.47
79,Vinh Thuan,114.723
80,Ben Luc,99.561
81,Can Duoc,106.613
82,Can Giuoc,123.821
83,Chau Thanh,46.146
84,Duc Hoa,242.727
85,Duc Hue,105.193
86,Kien Tuong,56.293
87,Moc Hoa,70.212
88,Tan An,89.953
89,Tan Hung,75.811
90,Tan Thanh,222.195
91,Tan Tru,29.44
92,Thanh Hoa,92.79
93,Thu Thua,76.589
94,Vinh Hung,83.215
95,Chau Thanh,124.332
96,Cu Lao Dung,21.149
97,Ke Sach,89.223
98,Long Phu,108.77
99,My Tu,143.441
100,My Xuyen,133.553
101,Nga Nam,108.823
102,Soc Trang,181.304
103,Thanh Tri,102.92
104,Tran De,180.226
105,Vinh Chau,154.778
106,Cai Be,366.768
107,Cai Lay,197.967
108,Cai Lay,188.46
109,Cho Gao,72.325
110,Chau Thanh,154.089
111,Go Cong,158.914
112,Go Cong Dong,208.601
113,Go Cong Tay,180.1
114,My Tho,146.622
115,Tan Phu Dong,39.479
116,Tan Phuoc,89.455
117,Cau Ke,113.483
118,Cau Ngang,228.717
119,Cang Long,115.068
120,Chau Thanh,158.194
121,Duyen Hai,78.559
122,Duyen Hai,60.61
123,Tieu Can,91.523
124,Tra Cu,174.391
125,Tra Vinh,93.384
126,Binh Minh,113.205
127,Binh Tan,56.683
128,Long Ho,144.028
129,Mang Thit,111.292
130,Tam Binh,198.081
131,Tra On,199.962
132,Vinh Long,139.743
133,Vung Liem,214.634
