,VARNAME_2,population(thousand)
0,An Phu,191.684
1,Cho Moi,367.728
2,Chau Doc,120.923
3,Chau Phu,260.688
4,Chau Thanh,182.781
5,Long Xuyen,295.788
6,Phu Tan,212.502
7,Tinh Bien,128.766
8,Tan Chau,181.449
9,Thoai Son,195.02
10,Tri Ton,140.592
11,Bac Lieu,161.885
12,Dong Hai,158.83
13,Gia Rai,146.077
14,Hong Dan,115.39
15,Hoa Binh,128.117
16,Phuoc Long,128.437
17,Vinh Loi,94.572
18,Ben Tre,130.326
19,Ba Tri,199.507
20,Binh Dai,140.706
21,Cho Lach,126.547
22,Chau Thanh,160.658
23,Giong Trom,179.648
24,Mo Cay Bac,76.812
25,Mo Cay Nam,186.713
26,Thanh Phu,135.994
27,Binh Thuy,142.487
28,Co Do,163.269
29,Cai Rang,80.593
30,Ninh Kieu,253.184
31,O Mon,124.144
32,Phong Dien,111.449
33,Thot Not,132.457
34,Thoi Lai,199.468
35,Vinh Thanh,97.309
36,Ca Mau,233.104
37,Cai Nuoc,144.392
38,Dam Doi,194.812
39,Nam Can,59.636
40,Ngoc Hien,91.343
41,Phu Tan,112.489
42,Thoi Binh,142.391
43,Tran Van Thoi,197.316
44,U Minh,112.203
45,Cao Lanh,212.331
46,Cao Lanh,174.335
47,Chau Thanh,158.525
48,Hong Ngu,151.787
49,Hong Ngu,90.827
50,Lap Vo,188.61
51,Lai Vung,174.495
52,Sa Dec,112.783
53,Tam Nong,113.745
54,Tan Hong,96.833
55,Thanh Binh,163.716
56,Thap Muoi,149.578
57,Chau Thanh,88.275
58,Chau Thanh A,113.838
59,Long My,93.241
60,Long My,76.159
61,Nga Bay,69.553
62,Phung Hiep,206.337
63,Vi Thanh,76.794
64,Vi Thuy,107.419
65,An Bien,109.0
66,An Minh,115.65
67,Chau Thanh,164.638
68,Giong Rieng,245.456
69,Giang Thanh,43.793
70,Go Quao,135.756
71,Ha Tien,49.306
72,Hon Dat,184.814
73,Kien Hai,15.54
74,Kien Luong,71.194
75,Phu Quoc,97.419
76,Rach Gia,249.974
77,Tan Hiep,158.562
78,U Minh Thuong,76.12
79,Vinh Thuan,133.492
80,Ben Luc,161.516
81,Can Duoc,183.721
82,Can Giuoc,184.921
83,Chau Thanh,105.576
84,Duc Hoa,237.037
85,Duc Hue,63.703
86,Kien Tuong,33.677
87,Moc Hoa,42.09
88,Tan An,143.574
89,Tan Hung,51.88
90,Tan Thanh,82.556
91,Tan Tru,67.395
92,Thanh Hoa,58.949
93,Thu Thua,95.577
94,Vinh Hung,53.251
95,Chau Thanh,108.539
96,Cu Lao Dung,46.7
97,Ke Sach,164.199
98,Long Phu,105.205
99,My Tu,114.751
100,My Xuyen,149.758
101,Nga Nam,85.143
102,Soc Trang,151.315
103,Thanh Tri,112.731
104,Tran De,168.511
105,Vinh Chau,175.266
106,Cai Be,312.939
107,Cai Lay,167.752
108,Cai Lay,167.37
109,Cho Gao,181.359
110,Chau Thanh,268.412
111,Go Cong,145.932
112,Go Cong Dong,120.18
113,Go Cong Tay,126.431
114,My Tho,236.387
115,Tan Phu Dong,44.183
116,Tan Phuoc,61.715
117,Cau Ke,119.69
118,Cau Ngang,142.405
119,Cang Long,158.292
120,Chau Thanh,134.33
121,Duyen Hai,75.955
122,Duyen Hai,62.313
123,Tieu Can,118.403
124,Tra Cu,161.696
125,Tra Vinh,122.721
126,Binh Minh,129.398
127,Binh Tan,64.324
128,Long Ho,175.092
129,Mang Thit,107.032
130,Tam Binh,167.626
131,Tra On,145.437
132,Vinh Long,146.44
133,Vung Liem,170.467
