,VARNAME_2,population(thousand)
0,An Phu,197.408
1,Cho Moi,379.167
2,Chau Doc,124.623
3,Chau Phu,268.587
4,Chau Thanh,184.686
5,Long Xuyen,301.565
6,Phu Tan,219.502
7,Tinh Bien,132.753
8,Tan Chau,186.899
9,Thoai Son,204.922
10,Tri Ton,144.967
11,Bac Lieu,166.888
12,Dong Hai,160.217
13,Gia Rai,147.279
14,Hong Dan,116.383
15,Hoa Binh,126.654
16,Phuoc Long,129.529
17,Vinh Loi,94.31
18,Ben Tre,134.427
19,Ba Tri,205.915
20,Binh Dai,145.232
21,Cho Lach,131.654
22,Chau Thanh,165.906
23,Giong Trom,185.419
24,Mo Cay Bac,79.21
25,Mo Cay Nam,191.75
26,Thanh Phu,140.361
27,Binh Thuy,129.418
28,Co Do,158.066
29,Cai Rang,77.412
30,Ninh Kieu,261.202
31,O Mon,124.101
32,Phong Dien,110.735
33,Thot Not,129.865
34,Thoi Lai,200.111
35,Vinh Thanh,99.621
36,Ca Mau,239.661
37,Cai Nuoc,148.476
38,Dam Doi,200.339
39,Nam Can,59.376
40,Ngoc Hien,95.416
41,Phu Tan,115.671
42,Thoi Binh,146.409
43,Tran Van Thoi,202.965
44,U Minh,115.378
45,Cao Lanh,218.241
46,Cao Lanh,179.023
47,Chau Thanh,162.858
48,Hong Ngu,162.34
49,Hong Ngu,86.906
50,Lap Vo,193.809
51,Lai Vung,179.3
52,Sa Dec,115.906
53,Tam Nong,116.875
54,Tan Hong,99.492
55,Thanh Binh,168.227
56,Thap Muoi,153.713
57,Chau Thanh,91.855
58,Chau Thanh A,116.642
59,Long My,104.421
60,Long My,68.625
61,Nga Bay,65.206
62,Phung Hiep,216.422
63,Vi Thanh,78.355
64,Vi Thuy,109.608
65,An Bien,108.54
66,An Minh,115.278
67,Chau Thanh,163.893
68,Giong Rieng,244.369
69,Giang Thanh,44.641
70,Go Quao,135.207
71,Ha Tien,48.888
72,Hon Dat,184.135
73,Kien Hai,16.608
74,Kien Luong,70.623
75,Phu Quoc,98.91
76,Rach Gia,248.88
77,Tan Hiep,157.857
78,U Minh Thuong,75.617
79,Vinh Thuan,132.912
80,Ben Luc,162.129
81,Can Duoc,184.545
82,Can Giuoc,185.747
83,Chau Thanh,106.957
84,Duc Hoa,238.248
85,Duc Hue,64.95
86,Kien Tuong,33.873
87,Moc Hoa,42.35
88,Tan An,143.899
89,Tan Hung,52.123
90,Tan Thanh,82.949
91,Tan Tru,67.774
92,Thanh Hoa,59.215
93,Thu Thua,96.031
94,Vinh Hung,53.164
95,Chau Thanh,111.119
96,Cu Lao Dung,47.353
97,Ke Sach,168.142
98,Long Phu,107.634
99,My Tu,117.676
100,My Xuyen,144.81
101,Nga Nam,87.22
102,Soc Trang,154.912
103,Thanh Tri,115.952
104,Tran De,181.361
105,Vinh Chau,179.556
106,Cai Be,314.377
107,Cai Lay,169.096
108,Cai Lay,167.565
109,Cho Gao,172.341
110,Chau Thanh,269.103
111,Go Cong,146.41
112,Go Cong Dong,120.961
113,Go Cong Tay,138.137
114,My Tho,236.148
115,Tan Phu Dong,44.384
116,Tan Phuoc,61.994
117,Cau Ke,120.505
118,Cau Ngang,143.371
119,Cang Long,159.396
120,Chau Thanh,135.195
121,Duyen Hai,75.943
122,Duyen Hai,63.484
123,Tieu Can,119.195
124,Tra Cu,162.638
125,Tra Vinh,123.602
126,Binh Minh,131.859
127,Binh Tan,65.429
128,Long Ho,178.326
129,Mang Thit,108.983
130,Tam Binh,170.699
131,Tra On,148.102
132,Vinh Long,149.123
133,Vung Liem,173.589
