,VARNAME_2,population(thousand)
0,An Phu,191.675
1,Cho Moi,370.588
2,Chau Doc,122.033
3,Chau Phu,263.775
4,Chau Thanh,185.786
5,Long Xuyen,298.451
6,Phu Tan,208.801
7,Tinh Bien,129.899
8,Tan Chau,195.709
9,Thoai Son,196.174
10,Tri Ton,141.834
11,Bac Lieu,163.337
12,Dong Hai,160.09
13,Gia Rai,147.452
14,Hong Dan,116.448
15,Hoa Binh,128.232
16,Phuoc Long,129.582
17,Vinh Loi,96.386
18,Ben Tre,133.015
19,Ba Tri,201.264
20,Binh Dai,141.944
21,Cho Lach,127.13
22,Chau Thanh,160.532
23,Giong Trom,181.23
24,Mo Cay Bac,79.712
25,Mo Cay Nam,186.644
26,Thanh Phu,137.213
27,Binh Thuy,141.846
28,Co Do,136.276
29,Cai Rang,84.172
30,Ninh Kieu,257.492
31,O Mon,124.543
32,Phong Dien,112.285
33,Thot Not,142.323
34,Thoi Lai,215.6
35,Vinh Thanh,104.695
36,Ca Mau,235.191
37,Cai Nuoc,145.661
38,Dam Doi,196.544
39,Nam Can,60.155
40,Ngoc Hien,92.099
41,Phu Tan,113.482
42,Thoi Binh,143.641
43,Tran Van Thoi,199.047
44,U Minh,113.179
45,Cao Lanh,214.391
46,Cao Lanh,175.719
47,Chau Thanh,159.918
48,Hong Ngu,126.485
49,Hong Ngu,110.362
50,Lap Vo,189.994
51,Lai Vung,176.313
52,Sa Dec,113.771
53,Tam Nong,114.754
54,Tan Hong,97.677
55,Thanh Binh,165.15
56,Thap Muoi,150.925
57,Chau Thanh,90.922
58,Chau Thanh A,110.494
59,Long My,91.785
60,Long My,79.205
61,Nga Bay,66.051
62,Phung Hiep,211.651
63,Vi Thanh,77.488
64,Vi Thuy,108.297
65,An Bien,109.957
66,An Minh,116.955
67,Chau Thanh,166.069
68,Giong Rieng,247.713
69,Giang Thanh,38.467
70,Go Quao,136.949
71,Ha Tien,49.698
72,Hon Dat,186.39
73,Kien Hai,15.68
74,Kien Luong,77.84
75,Phu Quoc,98.288
76,Rach Gia,252.136
77,Tan Hiep,159.856
78,U Minh Thuong,78.026
79,Vinh Thuan,133.128
80,Ben Luc,163.065
81,Can Duoc,185.187
82,Can Giuoc,186.543
83,Chau Thanh,106.251
84,Duc Hoa,238.997
85,Duc Hue,64.266
86,Kien Tuong,42.608
87,Moc Hoa,33.941
88,Tan An,145.096
89,Tan Hung,52.334
90,Tan Thanh,83.254
91,Tan Tru,68.017
92,Thanh Hoa,59.44
93,Thu Thua,96.425
94,Vinh Hung,53.68
95,Chau Thanh,109.567
96,Cu Lao Dung,54.404
97,Ke Sach,165.577
98,Long Phu,105.979
99,My Tu,115.679
100,My Xuyen,151.579
101,Nga Nam,85.89
102,Soc Trang,152.643
103,Thanh Tri,106.43
104,Tran De,169.679
105,Vinh Chau,176.825
106,Cai Be,315.629
107,Cai Lay,169.361
108,Cai Lay,168.779
109,Cho Gao,173.709
110,Chau Thanh,262.817
111,Go Cong,144.87
112,Go Cong Dong,123.823
113,Go Cong Tay,127.447
114,My Tho,255.437
115,Tan Phu Dong,44.572
116,Tan Phuoc,62.284
117,Cau Ke,120.744
118,Cau Ngang,143.658
119,Cang Long,159.565
120,Chau Thanh,136.461
121,Duyen Hai,76.619
122,Duyen Hai,62.864
123,Tieu Can,119.428
124,Tra Cu,163.118
125,Tra Vinh,122.853
126,Binh Minh,130.093
127,Binh Tan,65.21
128,Long Ho,177.813
129,Mang Thit,107.981
130,Tam Binh,169.123
131,Tra On,146.718
132,Vinh Long,146.538
133,Vung Liem,172.106
