,VARNAME_2,population(thousand)
0,An Phu,206.146
1,Cho Moi,392.869
2,Chau Doc,123.05
3,Chau Phu,265.041
4,Chau Thanh,183.635
5,Long Xuyen,281.126
6,Phu Tan,231.07
7,Tinh Bien,123.751
8,Tan Chau,182.201
9,Thoai Son,202.489
10,Tri Ton,131.211
11,Bac Lieu,42.333
12,Dong Hai,139.155
13,Gia Rai,138.222
14,Hong Dan,104.843
15,Hoa Binh,111.54
16,Phuoc Long,115.972
17,Vinh Loi,86.967
18,Ben Tre,131.559
19,Ba Tri,218.923
20,Binh Dai,142.944
21,Cho Lach,141.899
22,Chau Thanh,175.18
23,Giong Trom,202.335
24,Mo Cay Bac,85.742
25,Mo Cay Nam,216.131
26,Thanh Phu,142.53
27,Binh Thuy,94.652
28,Co Do,150.393
29,Cai Rang,115.112
30,Ninh Kieu,225.536
31,O Mon,123.667
32,Phong Dien,113.2
33,Thot Not,146.164
34,Thoi Lai,128.141
35,Vinh Thanh,147.679
36,Ca Mau,211.48
37,Cai Nuoc,150.189
38,Dam Doi,197.933
39,Nam Can,73.573
40,Ngoc Hien,84.104
41,Phu Tan,121.64
42,Thoi Binh,150.07
43,Tran Van Thoi,207.555
44,U Minh,98.112
45,Cao Lanh,165.22
46,Cao Lanh,221.944
47,Chau Thanh,172.002
48,Hong Ngu,150.756
49,Hong Ngu,66.176
50,Lap Vo,194.222
51,Lai Vung,174.722
52,Sa Dec,110.427
53,Tam Nong,104.711
54,Tan Hong,87.529
55,Thanh Binh,167.947
56,Thap Muoi,134.667
57,Chau Thanh,59.475
58,Chau Thanh A,98.349
59,Long My,104.484
60,Long My,68.174
61,Nga Bay,66.151
62,Phung Hiep,224.14
63,Vi Thanh,82.496
64,Vi Thuy,98.78
65,An Bien,128.179
66,An Minh,110.86
67,Chau Thanh,152.863
68,Giong Rieng,213.937
69,Giang Thanh,39.463
70,Go Quao,156.519
71,Ha Tien,44.294
72,Hon Dat,167.088
73,Kien Hai,19.199
74,Kien Luong,62.773
75,Phu Quoc,87.388
76,Rach Gia,220.93
77,Tan Hiep,157.084
78,U Minh Thuong,74.828
79,Vinh Thuan,112.216
80,Ben Luc,139.559
81,Can Duoc,183.583
82,Can Giuoc,174.788
83,Chau Thanh,110.783
84,Duc Hoa,216.512
85,Duc Hue,67.061
86,Kien Tuong,32.543
87,Moc Hoa,40.572
88,Tan An,126.495
89,Tan Hung,41.631
90,Tan Thanh,85.814
91,Tan Tru,67.993
92,Thanh Hoa,57.084
93,Thu Thua,95.125
94,Vinh Hung,47.956
95,Chau Thanh,106.031
96,Cu Lao Dung,67.252
97,Ke Sach,176.168
98,Long Phu,100.117
99,My Tu,118.467
100,My Xuyen,136.119
101,Nga Nam,82.746
102,Soc Trang,133.928
103,Thanh Tri,93.658
104,Tran De,173.47
105,Vinh Chau,159.516
106,Cai Be,314.651
107,Cai Lay,176.14
108,Cai Lay,170.566
109,Cho Gao,173.523
110,Chau Thanh,264.761
111,Go Cong,114.779
112,Go Cong Dong,151.629
113,Go Cong Tay,158.032
114,My Tho,213.278
115,Tan Phu Dong,31.46
116,Tan Phuoc,57.815
117,Cau Ke,131.788
118,Cau Ngang,142.933
119,Cang Long,181.512
120,Chau Thanh,134.162
121,Duyen Hai,70.826
122,Duyen Hai,55.534
123,Tieu Can,118.292
124,Tra Cu,153.42
125,Tra Vinh,111.913
126,Binh Minh,127.47
127,Binh Tan,63.251
128,Long Ho,167.068
129,Mang Thit,110.659
130,Tam Binh,177.469
131,Tra On,161.905
132,Vinh Long,133.293
133,Vung Liem,191.226
