,VARNAME_2,population(thousand)
0,An Phu,177.172
1,Cho Moi,289.62
2,Chau Doc,93.984
3,Chau Phu,258.473
4,Chau Thanh,154.67
5,Long Xuyen,244.863
6,Phu Tan,167.841
7,Tinh Bien,214.434
8,Tan Chau,193.68
9,Thoai Son,162.338
10,Tri Ton,233.934
11,Bac Lieu,161.76
12,Dong Hai,105.715
13,Gia Rai,159.808
14,Hong Dan,99.741
15,Hoa Binh,99.008
16,Phuoc Long,109.035
17,Vinh Loi,73.544
18,Ben Tre,123.744
19,Ba Tri,294.353
20,Binh Dai,166.608
21,Cho Lach,59.478
22,Chau Thanh,46.901
23,Giong Trom,165.757
24,Mo Cay Bac,61.888
25,Mo Cay Nam,166.58
26,Thanh Phu,265.184
27,Binh Thuy,113.351
28,Co Do,147.092
29,Cai Rang,50.885
30,Ninh Kieu,176.344
31,O Mon,121.115
32,Phong Dien,94.942
33,Thot Not,64.522
34,Thoi Lai,112.696
35,Vinh Thanh,142.026
36,Ca Mau,192.673
37,Cai Nuoc,127.15
38,Dam Doi,200.244
39,Nam Can,50.132
40,Ngoc Hien,57.518
41,Phu Tan,142.832
42,Thoi Binh,196.35
43,Tran Van Thoi,112.741
44,U Minh,78.157
45,Cao Lanh,178.203
46,Cao Lanh,174.675
47,Chau Thanh,177.549
48,Hong Ngu,124.375
49,Hong Ngu,43.468
50,Lap Vo,161.078
51,Lai Vung,108.222
52,Sa Dec,72.785
53,Tam Nong,113.279
54,Tan Hong,80.479
55,Thanh Binh,127.912
56,Thap Muoi,242.594
57,Chau Thanh,42.096
58,Chau Thanh A,91.715
59,Long My,118.697
60,Long My,84.121
61,Nga Bay,81.641
62,Phung Hiep,266.45
63,Vi Thanh,120.305
64,Vi Thuy,128.364
65,An Bien,48.565
66,An Minh,78.809
67,Chau Thanh,162.342
68,Giong Rieng,121.614
69,Giang Thanh,65.166
70,Go Quao,97.573
71,Ha Tien,63.345
72,Hon Dat,260.347
73,Kien Hai,0.043
74,Kien Luong,92.16
75,Phu Quoc,17.115
76,Rach Gia,248.142
77,Tan Hiep,156.709
78,U Minh Thuong,53.554
79,Vinh Thuan,104.095
80,Ben Luc,91.132
81,Can Duoc,106.112
82,Can Giuoc,116.724
83,Chau Thanh,42.654
84,Duc Hoa,225.282
85,Duc Hue,101.468
86,Kien Tuong,46.19
87,Moc Hoa,66.568
88,Tan An,101.205
89,Tan Hung,68.904
90,Tan Thanh,207.856
91,Tan Tru,26.025
92,Thanh Hoa,84.552
93,Thu Thua,72.305
94,Vinh Hung,74.803
95,Chau Thanh,135.748
96,Cu Lao Dung,17.787
97,Ke Sach,82.816
98,Long Phu,98.942
99,My Tu,137.573
100,My Xuyen,118.691
101,Nga Nam,94.41
102,Soc Trang,186.714
103,Thanh Tri,89.612
104,Tran De,170.715
105,Vinh Chau,138.884
106,Cai Be,361.774
107,Cai Lay,174.953
108,Cai Lay,159.664
109,Cho Gao,63.847
110,Chau Thanh,143.361
111,Go Cong,160.281
112,Go Cong Dong,204.04
113,Go Cong Tay,174.855
114,My Tho,153.243
115,Tan Phu Dong,31.543
116,Tan Phuoc,81.787
117,Cau Ke,104.4
118,Cau Ngang,226.513
119,Cang Long,105.175
120,Chau Thanh,147.235
121,Duyen Hai,80.088
122,Duyen Hai,71.29
123,Tieu Can,80.894
124,Tra Cu,157.324
125,Tra Vinh,83.899
126,Binh Minh,130.89
127,Binh Tan,52.34
128,Long Ho,134.197
129,Mang Thit,97.173
130,Tam Binh,187.271
131,Tra On,174.987
132,Vinh Long,131.292
133,Vung Liem,201.805
