,VARNAME_2,population(thousand)
0,An Phu,193.601
1,Cho Moi,371.647
2,Chau Doc,122.134
3,Chau Phu,263.21
4,Chau Thanh,181.268
5,Long Xuyen,295.554
6,Phu Tan,210.668
7,Tinh Bien,130.12
8,Tan Chau,188.124
9,Thoai Son,200.649
10,Tri Ton,142.092
11,Bac Lieu,163.588
12,Dong Hai,156.969
13,Gia Rai,144.436
14,Hong Dan,114.076
15,Hoa Binh,124.134
16,Phuoc Long,126.96
17,Vinh Loi,92.44
18,Ben Tre,131.763
19,Ba Tri,201.832
20,Binh Dai,142.353
21,Cho Lach,129.228
22,Chau Thanh,162.616
23,Giong Trom,181.742
24,Mo Cay Bac,76.858
25,Mo Cay Nam,188.544
26,Thanh Phu,137.582
27,Binh Thuy,126.849
28,Co Do,152.615
29,Cai Rang,74.611
30,Ninh Kieu,256.023
31,O Mon,121.636
32,Phong Dien,108.364
33,Thot Not,124.195
34,Thoi Lai,197.492
35,Vinh Thanh,101.708
36,Ca Mau,234.907
37,Cai Nuoc,145.565
38,Dam Doi,196.373
39,Nam Can,58.209
40,Ngoc Hien,93.516
41,Phu Tan,113.356
42,Thoi Binh,143.502
43,Tran Van Thoi,198.957
44,U Minh,113.071
45,Cao Lanh,211.194
46,Cao Lanh,178.222
47,Chau Thanh,159.623
48,Hong Ngu,172.342
49,Hong Ngu,71.722
50,Lap Vo,190.01
51,Lai Vung,175.725
52,Sa Dec,113.592
53,Tam Nong,116.73
54,Tan Hong,97.52
55,Thanh Binh,162.721
56,Thap Muoi,150.769
57,Chau Thanh,91.301
58,Chau Thanh A,115.079
59,Long My,102.348
60,Long My,67.218
61,Nga Bay,63.799
62,Phung Hiep,211.578
63,Vi Thanh,76.802
64,Vi Thuy,107.481
65,An Bien,105.42
66,An Minh,112.972
67,Chau Thanh,160.643
68,Giong Rieng,239.535
69,Giang Thanh,43.772
70,Go Quao,132.524
71,Ha Tien,47.916
72,Hon Dat,180.477
73,Kien Hai,17.91
74,Kien Luong,69.207
75,Phu Quoc,97.399
76,Rach Gia,243.945
77,Tan Hiep,154.695
78,U Minh Thuong,75.095
79,Vinh Thuan,130.285
80,Ben Luc,158.916
81,Can Duoc,180.884
82,Can Giuoc,182.064
83,Chau Thanh,104.861
84,Duc Hoa,233.508
85,Duc Hue,63.658
86,Kien Tuong,33.206
87,Moc Hoa,41.509
88,Tan An,141.037
89,Tan Hung,51.0
90,Tan Thanh,81.303
91,Tan Tru,66.43
92,Thanh Hoa,58.04
93,Thu Thua,94.125
94,Vinh Hung,52.104
95,Chau Thanh,106.288
96,Cu Lao Dung,47.075
97,Ke Sach,164.953
98,Long Phu,102.366
99,My Tu,117.948
100,My Xuyen,143.224
101,Nga Nam,85.487
102,Soc Trang,151.705
103,Thanh Tri,112.992
104,Tran De,179.743
105,Vinh Chau,176.004
106,Cai Be,308.093
107,Cai Lay,167.752
108,Cai Lay,162.236
109,Cho Gao,168.923
110,Chau Thanh,263.7
111,Go Cong,143.5
112,Go Cong Dong,118.569
113,Go Cong Tay,135.381
114,My Tho,231.527
115,Tan Phu Dong,43.506
116,Tan Phuoc,60.767
117,Cau Ke,118.111
118,Cau Ngang,140.527
119,Cang Long,156.153
120,Chau Thanh,132.802
121,Duyen Hai,75.562
122,Duyen Hai,60.367
123,Tieu Can,116.861
124,Tra Cu,160.145
125,Tra Vinh,120.863
126,Binh Minh,129.258
127,Binh Tan,64.117
128,Long Ho,174.795
129,Mang Thit,106.82
130,Tam Binh,167.308
131,Tra On,145.166
132,Vinh Long,146.166
133,Vung Liem,170.207
