,VARNAME_2,population(thousand)
0,An Phu,190.374
1,Cho Moi,309.467
2,Chau Doc,88.197
3,Chau Phu,243.647
4,Chau Thanh,152.154
5,Long Xuyen,238.925
6,Phu Tan,163.695
7,Tinh Bien,200.183
8,Tan Chau,184.873
9,Thoai Son,146.018
10,Tri Ton,237.729
11,Bac Lieu,151.67
12,Dong Hai,99.455
13,Gia Rai,151.805
14,Hong Dan,102.582
15,Hoa Binh,102.582
16,Phuoc Long,105.998
17,Vinh Loi,74.474
18,Ben Tre,118.117
19,Ba Tri,317.807
20,Binh Dai,145.88
21,Cho Lach,72.074
22,Chau Thanh,56.897
23,Giong Trom,157.234
24,Mo Cay Bac,67.175
25,Mo Cay Nam,162.343
26,Thanh Phu,226.778
27,Binh Thuy,111.827
28,Co Do,132.371
29,Cai Rang,56.186
30,Ninh Kieu,165.064
31,O Mon,110.598
32,Phong Dien,95.393
33,Thot Not,65.682
34,Thoi Lai,104.641
35,Vinh Thanh,136.693
36,Ca Mau,176.558
37,Cai Nuoc,118.643
38,Dam Doi,183.946
39,Nam Can,39.988
40,Ngoc Hien,59.792
41,Phu Tan,135.479
42,Thoi Binh,194.346
43,Tran Van Thoi,128.697
44,U Minh,95.322
45,Cao Lanh,178.855
46,Cao Lanh,163.983
47,Chau Thanh,178.994
48,Hong Ngu,125.425
49,Hong Ngu,43.576
50,Lap Vo,137.962
51,Lai Vung,112.162
52,Sa Dec,70.394
53,Tam Nong,114.412
54,Tan Hong,76.492
55,Thanh Binh,139.967
56,Thap Muoi,224.837
57,Chau Thanh,48.445
58,Chau Thanh A,114.885
59,Long My,121.426
60,Long My,81.883
61,Nga Bay,72.315
62,Phung Hiep,269.904
63,Vi Thanh,112.61
64,Vi Thuy,116.41
65,An Bien,54.074
66,An Minh,100.367
67,Chau Thanh,157.79
68,Giong Rieng,117.459
69,Giang Thanh,64.982
70,Go Quao,98.234
71,Ha Tien,68.639
72,Hon Dat,248.539
73,Kien Hai,0.165
74,Kien Luong,98.778
75,Phu Quoc,21.423
76,Rach Gia,200.022
77,Tan Hiep,145.308
78,U Minh Thuong,54.066
79,Vinh Thuan,98.942
80,Ben Luc,90.315
81,Can Duoc,100.912
82,Can Giuoc,108.871
83,Chau Thanh,41.761
84,Duc Hoa,211.358
85,Duc Hue,96.472
86,Kien Tuong,48.055
87,Moc Hoa,64.288
88,Tan An,115.341
89,Tan Hung,68.768
90,Tan Thanh,196.224
91,Tan Tru,33.046
92,Thanh Hoa,83.961
93,Thu Thua,67.215
94,Vinh Hung,72.745
95,Chau Thanh,127.946
96,Cu Lao Dung,26.802
97,Ke Sach,102.402
98,Long Phu,93.529
99,My Tu,139.419
100,My Xuyen,117.57
101,Nga Nam,89.374
102,Soc Trang,167.97
103,Thanh Tri,87.507
104,Tran De,155.587
105,Vinh Chau,136.933
106,Cai Be,359.06
107,Cai Lay,173.086
108,Cai Lay,146.308
109,Cho Gao,57.862
110,Chau Thanh,128.904
111,Go Cong,163.615
112,Go Cong Dong,200.509
113,Go Cong Tay,180.61
114,My Tho,138.883
115,Tan Phu Dong,32.409
116,Tan Phuoc,89.843
117,Cau Ke,117.657
118,Cau Ngang,195.093
119,Cang Long,102.477
120,Chau Thanh,146.467
121,Duyen Hai,74.705
122,Duyen Hai,66.216
123,Tieu Can,85.753
124,Tra Cu,160.91
125,Tra Vinh,87.566
126,Binh Minh,133.222
127,Binh Tan,72.569
128,Long Ho,131.506
129,Mang Thit,91.85
130,Tam Binh,179.908
131,Tra On,174.307
132,Vinh Long,122.709
133,Vung Liem,172.998
