,VARNAME_2,population(thousand)
0,An Phu,162.898
1,Cho Moi,313.939
2,Chau Doc,103.378
3,Chau Phu,223.456
4,Chau Thanh,157.388
5,Long Xuyen,252.967
6,Phu Tan,176.884
7,Tinh Bien,110.05
8,Tan Chau,166.007
9,Thoai Son,166.536
10,Tri Ton,120.169
11,Bac Lieu,161.185
12,Dong Hai,158.067
13,Gia Rai,145.535
14,Hong Dan,114.828
15,Hoa Binh,125.287
16,Phuoc Long,127.906
17,Vinh Loi,96.424
18,Ben Tre,130.069
19,Ba Tri,196.785
20,Binh Dai,138.799
21,Cho Lach,124.317
22,Chau Thanh,156.974
23,Giong Trom,177.215
24,Mo Cay Bac,77.142
25,Mo Cay Nam,183.461
26,Thanh Phu,134.016
27,Binh Thuy,134.539
28,Co Do,138.252
29,Cai Rang,79.698
30,Ninh Kieu,244.596
31,O Mon,120.532
32,Phong Dien,106.523
33,Thot Not,135.542
34,Thoi Lai,192.86
35,Vinh Thanh,99.138
36,Ca Mau,220.899
37,Cai Nuoc,136.86
38,Dam Doi,184.608
39,Nam Can,56.553
40,Ngoc Hien,86.466
41,Phu Tan,106.556
42,Thoi Binh,134.948
43,Tran Van Thoi,186.951
44,U Minh,106.295
45,Cao Lanh,194.707
46,Cao Lanh,160.051
47,Chau Thanh,145.542
48,Hong Ngu,114.952
49,Hong Ngu,100.423
50,Lap Vo,172.907
51,Lai Vung,160.415
52,Sa Dec,103.498
53,Tam Nong,104.418
54,Tan Hong,88.878
55,Thanh Binh,150.275
56,Thap Muoi,137.689
57,Chau Thanh,83.17
58,Chau Thanh A,101.222
59,Long My,83.614
60,Long My,72.148
61,Nga Bay,59.851
62,Phung Hiep,192.885
63,Vi Thanh,70.596
64,Vi Thuy,98.667
65,An Bien,103.171
66,An Minh,109.747
67,Chau Thanh,155.729
68,Giong Rieng,232.555
69,Giang Thanh,35.926
70,Go Quao,128.505
71,Ha Tien,46.791
72,Hon Dat,174.794
73,Kien Hai,14.541
74,Kien Luong,73.029
75,Phu Quoc,92.349
76,Rach Gia,236.499
77,Tan Hiep,150.068
78,U Minh Thuong,73.184
79,Vinh Thuan,124.93
80,Ben Luc,179.507
81,Can Duoc,201.641
82,Can Giuoc,204.158
83,Chau Thanh,116.251
84,Duc Hoa,261.499
85,Duc Hue,70.327
86,Kien Tuong,46.985
87,Moc Hoa,36.79
88,Tan An,158.7
89,Tan Hung,57.18
90,Tan Thanh,91.114
91,Tan Tru,74.423
92,Thanh Hoa,65.044
93,Thu Thua,105.641
94,Vinh Hung,58.748
95,Chau Thanh,96.107
96,Cu Lao Dung,47.723
97,Ke Sach,145.252
98,Long Phu,93.3
99,My Tu,101.492
100,My Xuyen,132.975
101,Nga Nam,75.348
102,Soc Trang,133.893
103,Thanh Tri,93.375
104,Tran De,148.533
105,Vinh Chau,155.107
106,Cai Be,309.266
107,Cai Lay,164.213
108,Cai Lay,166.978
109,Cho Gao,170.176
110,Chau Thanh,257.518
111,Go Cong,141.481
112,Go Cong Dong,121.436
113,Go Cong Tay,125.147
114,My Tho,250.496
115,Tan Phu Dong,43.656
116,Tan Phuoc,61.035
117,Cau Ke,112.912
118,Cau Ngang,134.34
119,Cang Long,149.227
120,Chau Thanh,126.85
121,Duyen Hai,71.656
122,Duyen Hai,58.783
123,Tieu Can,111.674
124,Tra Cu,152.538
125,Tra Vinh,115.647
126,Binh Minh,123.134
127,Binh Tan,60.071
128,Long Ho,168.504
129,Mang Thit,101.292
130,Tam Binh,158.612
131,Tra On,137.627
132,Vinh Long,135.705
133,Vung Liem,161.441
