,VARNAME_2,population(thousand)
0,An Phu,191.539
1,Cho Moi,367.793
2,Chau Doc,120.868
3,Chau Phu,260.483
4,Chau Thanh,179.391
5,Long Xuyen,292.49
6,Phu Tan,208.485
7,Tinh Bien,128.771
8,Tan Chau,186.173
9,Thoai Son,198.566
10,Tri Ton,140.616
11,Bac Lieu,161.891
12,Dong Hai,155.339
13,Gia Rai,142.94
14,Hong Dan,112.894
15,Hoa Binh,122.86
16,Phuoc Long,125.644
17,Vinh Loi,91.468
18,Ben Tre,130.398
19,Ba Tri,199.74
20,Binh Dai,140.877
21,Cho Lach,127.889
22,Chau Thanh,160.93
23,Giong Trom,179.858
24,Mo Cay Bac,76.055
25,Mo Cay Nam,186.596
26,Thanh Phu,136.154
27,Binh Thuy,125.537
28,Co Do,151.021
29,Cai Rang,73.835
30,Ninh Kieu,253.365
31,O Mon,120.383
32,Phong Dien,107.243
33,Thot Not,122.913
34,Thoi Lai,195.441
35,Vinh Thanh,100.657
36,Ca Mau,232.472
37,Cai Nuoc,144.051
38,Dam Doi,194.33
39,Nam Can,57.591
40,Ngoc Hien,92.556
41,Phu Tan,112.188
42,Thoi Binh,142.014
43,Tran Van Thoi,196.892
44,U Minh,111.896
45,Cao Lanh,209.006
46,Cao Lanh,176.375
47,Chau Thanh,157.966
48,Hong Ngu,170.557
49,Hong Ngu,70.978
50,Lap Vo,188.038
51,Lai Vung,173.905
52,Sa Dec,112.415
53,Tam Nong,115.52
54,Tan Hong,96.507
55,Thanh Binh,161.035
56,Thap Muoi,149.207
57,Chau Thanh,90.356
58,Chau Thanh A,113.888
59,Long My,101.295
60,Long My,66.513
61,Nga Bay,63.127
62,Phung Hiep,209.395
63,Vi Thanh,76.006
64,Vi Thuy,106.367
65,An Bien,104.312
66,An Minh,111.79
67,Chau Thanh,158.977
68,Giong Rieng,237.054
69,Giang Thanh,43.309
70,Go Quao,131.15
71,Ha Tien,47.419
72,Hon Dat,178.604
73,Kien Hai,17.807
74,Kien Luong,68.499
75,Phu Quoc,96.398
76,Rach Gia,241.415
77,Tan Hiep,153.089
78,U Minh Thuong,74.362
79,Vinh Thuan,128.916
80,Ben Luc,157.266
81,Can Duoc,179.01
82,Can Giuoc,180.176
83,Chau Thanh,103.771
84,Duc Hoa,231.001
85,Duc Hue,63.0
86,Kien Tuong,32.856
87,Moc Hoa,41.084
88,Tan An,139.575
89,Tan Hung,50.475
90,Tan Thanh,80.462
91,Tan Tru,65.742
92,Thanh Hoa,57.44
93,Thu Thua,93.152
94,Vinh Hung,51.56
95,Chau Thanh,105.18
96,Cu Lao Dung,46.582
97,Ke Sach,163.244
98,Long Phu,101.319
99,My Tu,116.732
100,My Xuyen,141.74
101,Nga Nam,84.602
102,Soc Trang,150.132
103,Thanh Tri,111.824
104,Tran De,177.866
105,Vinh Chau,174.164
106,Cai Be,304.9
107,Cai Lay,166.008
108,Cai Lay,160.559
109,Cho Gao,167.172
110,Chau Thanh,260.969
111,Go Cong,142.016
112,Go Cong Dong,117.34
113,Go Cong Tay,133.975
114,My Tho,229.126
115,Tan Phu Dong,43.056
116,Tan Phuoc,60.136
117,Cau Ke,116.887
118,Cau Ngang,139.071
119,Cang Long,154.535
120,Chau Thanh,131.428
121,Duyen Hai,74.786
122,Duyen Hai,59.738
123,Tieu Can,115.65
124,Tra Cu,158.481
125,Tra Vinh,119.607
126,Binh Minh,127.887
127,Binh Tan,63.484
128,Long Ho,172.984
129,Mang Thit,105.712
130,Tam Binh,165.575
131,Tra On,143.661
132,Vinh Long,144.651
133,Vung Liem,168.442
