,VARNAME_2,population(thousand)
0,An Phu,189.928
1,Cho Moi,364.39
2,Chau Doc,119.796
3,Chau Phu,258.325
4,Chau Thanh,181.124
5,Long Xuyen,293.106
6,Phu Tan,210.604
7,Tinh Bien,127.597
8,Tan Chau,179.801
9,Thoai Son,193.276
10,Tri Ton,139.318
11,Bac Lieu,160.348
12,Dong Hai,157.442
13,Gia Rai,144.692
14,Hong Dan,114.371
15,Hoa Binh,128.212
16,Phuoc Long,127.272
17,Vinh Loi,92.519
18,Ben Tre,129.153
19,Ba Tri,197.697
20,Binh Dai,139.435
21,Cho Lach,125.317
22,Chau Thanh,159.193
23,Giong Trom,178.019
24,Mo Cay Bac,76.198
25,Mo Cay Nam,185.019
26,Thanh Phu,134.759
27,Binh Thuy,129.638
28,Co Do,161.96
29,Cai Rang,78.966
30,Ninh Kieu,261.809
31,O Mon,122.712
32,Phong Dien,110.886
33,Thot Not,131.39
34,Thoi Lai,197.665
35,Vinh Thanh,96.214
36,Ca Mau,230.969
37,Cai Nuoc,143.081
38,Dam Doi,193.066
39,Nam Can,59.083
40,Ngoc Hien,90.364
41,Phu Tan,111.474
42,Thoi Binh,141.102
43,Tran Van Thoi,195.515
44,U Minh,111.199
45,Cao Lanh,210.405
46,Cao Lanh,172.754
47,Chau Thanh,157.088
48,Hong Ngu,150.412
49,Hong Ngu,90.001
50,Lap Vo,186.901
51,Lai Vung,172.911
52,Sa Dec,111.76
53,Tam Nong,112.711
54,Tan Hong,95.957
55,Thanh Binh,162.23
56,Thap Muoi,148.222
57,Chau Thanh,87.82
58,Chau Thanh A,113.703
59,Long My,101.366
60,Long My,66.605
61,Nga Bay,63.183
62,Phung Hiep,210.118
63,Vi Thanh,76.061
64,Vi Thuy,106.397
65,An Bien,108.013
66,An Minh,114.598
67,Chau Thanh,163.121
68,Giong Rieng,243.236
69,Giang Thanh,43.681
70,Go Quao,134.576
71,Ha Tien,48.449
72,Hon Dat,183.133
73,Kien Hai,15.399
74,Kien Luong,70.595
75,Phu Quoc,97.418
76,Rach Gia,247.713
77,Tan Hiep,157.131
78,U Minh Thuong,75.427
79,Vinh Thuan,132.286
80,Ben Luc,160.041
81,Can Duoc,182.056
82,Can Giuoc,183.243
83,Chau Thanh,104.619
84,Duc Hoa,234.865
85,Duc Hue,63.122
86,Kien Tuong,33.388
87,Moc Hoa,41.704
88,Tan An,142.273
89,Tan Hung,51.416
90,Tan Thanh,81.803
91,Tan Tru,66.789
92,Thanh Hoa,58.414
93,Thu Thua,94.715
94,Vinh Hung,52.738
95,Chau Thanh,107.156
96,Cu Lao Dung,46.279
97,Ke Sach,162.709
98,Long Phu,104.246
99,My Tu,114.163
100,My Xuyen,145.191
101,Nga Nam,84.372
102,Soc Trang,150.018
103,Thanh Tri,111.708
104,Tran De,170.063
105,Vinh Chau,173.686
106,Cai Be,310.099
107,Cai Lay,166.229
108,Cai Lay,165.858
109,Cho Gao,179.717
110,Chau Thanh,265.826
111,Go Cong,144.606
112,Go Cong Dong,119.092
113,Go Cong Tay,125.283
114,My Tho,234.385
115,Tan Phu Dong,43.783
116,Tan Phuoc,61.156
117,Cau Ke,118.603
118,Cau Ngang,141.114
119,Cang Long,156.857
120,Chau Thanh,133.116
121,Duyen Hai,75.261
122,Duyen Hai,61.753
123,Tieu Can,117.329
124,Tra Cu,160.229
125,Tra Vinh,121.603
126,Binh Minh,128.315
127,Binh Tan,63.661
128,Long Ho,173.504
129,Mang Thit,106.061
130,Tam Binh,166.106
131,Tra On,144.119
132,Vinh Long,145.112
133,Vung Liem,168.921
