,VARNAME_2,population(thousand)
0,An Phu,176.971
1,Cho Moi,284.83
2,Chau Doc,77.901
3,Chau Phu,263.533
4,Chau Thanh,181.573
5,Long Xuyen,279.439
6,Phu Tan,166.112
7,Tinh Bien,224.525
8,Tan Chau,156.672
9,Thoai Son,190.144
10,Tri Ton,254.615
11,Bac Lieu,134.581
12,Dong Hai,116.313
13,Gia Rai,154.29
14,Hong Dan,110.479
15,Hoa Binh,103.227
16,Phuoc Long,128.312
17,Vinh Loi,80.641
18,Ben Tre,106.28
19,Ba Tri,290.041
20,Binh Dai,188.963
21,Cho Lach,61.273
22,Chau Thanh,45.339
23,Giong Trom,167.205
24,Mo Cay Bac,66.749
25,Mo Cay Nam,169.457
26,Thanh Phu,283.717
27,Binh Thuy,140.741
28,Co Do,135.736
29,Cai Rang,49.43
30,Ninh Kieu,191.587
31,O Mon,102.559
32,Phong Dien,91.305
33,Thot Not,71.346
34,Thoi Lai,127.905
35,Vinh Thanh,148.087
36,Ca Mau,174.289
37,Cai Nuoc,137.929
38,Dam Doi,213.908
39,Nam Can,51.394
40,Ngoc Hien,44.627
41,Phu Tan,151.975
42,Thoi Binh,207.071
43,Tran Van Thoi,118.284
44,U Minh,85.513
45,Cao Lanh,192.137
46,Cao Lanh,171.008
47,Chau Thanh,170.566
48,Hong Ngu,105.201
49,Hong Ngu,41.865
50,Lap Vo,171.546
51,Lai Vung,116.074
52,Sa Dec,66.921
53,Tam Nong,119.562
54,Tan Hong,89.522
55,Thanh Binh,123.009
56,Thap Muoi,261.868
57,Chau Thanh,43.759
58,Chau Thanh A,98.976
59,Long My,135.208
60,Long My,92.95
61,Nga Bay,71.758
62,Phung Hiep,261.721
63,Vi Thanh,120.29
64,Vi Thuy,119.575
65,An Bien,54.595
66,An Minh,86.666
67,Chau Thanh,155.799
68,Giong Rieng,136.242
69,Giang Thanh,70.276
70,Go Quao,107.31
71,Ha Tien,49.944
72,Hon Dat,292.841
73,Kien Hai,0.063
74,Kien Luong,103.904
75,Phu Quoc,18.187
76,Rach Gia,210.568
77,Tan Hiep,155.372
78,U Minh Thuong,54.876
79,Vinh Thuan,111.055
80,Ben Luc,96.787
81,Can Duoc,103.555
82,Can Giuoc,120.376
83,Chau Thanh,44.81
84,Duc Hoa,236.037
85,Duc Hue,102.413
86,Kien Tuong,54.766
87,Moc Hoa,68.299
88,Tan An,87.861
89,Tan Hung,73.786
90,Tan Thanh,215.493
91,Tan Tru,28.577
92,Thanh Hoa,90.184
93,Thu Thua,74.497
94,Vinh Hung,80.975
95,Chau Thanh,120.482
96,Cu Lao Dung,20.521
97,Ke Sach,86.524
98,Long Phu,105.392
99,My Tu,139.073
100,My Xuyen,129.446
101,Nga Nam,105.409
102,Soc Trang,176.47
103,Thanh Tri,99.67
104,Tran De,174.624
105,Vinh Chau,149.988
106,Cai Be,354.025
107,Cai Lay,189.341
108,Cai Lay,180.555
109,Cho Gao,69.031
110,Chau Thanh,147.592
111,Go Cong,153.824
112,Go Cong Dong,218.465
113,Go Cong Tay,172.475
114,My Tho,139.984
115,Tan Phu Dong,37.697
116,Tan Phuoc,85.472
117,Cau Ke,110.114
118,Cau Ngang,221.813
119,Cang Long,111.502
120,Chau Thanh,153.575
121,Duyen Hai,76.236
122,Duyen Hai,58.756
123,Tieu Can,88.814
124,Tra Cu,169.187
125,Tra Vinh,90.599
126,Binh Minh,110.288
127,Binh Tan,55.402
128,Long Ho,139.429
129,Mang Thit,107.823
130,Tam Binh,191.957
131,Tra On,193.903
132,Vinh Long,135.276
133,Vung Liem,206.121
