,VARNAME_2,population(thousand)
0,An Phu,179.344
1,Cho Moi,288.762
2,Chau Doc,78.901
3,Chau Phu,267.066
4,Chau Thanh,184.018
5,Long Xuyen,283.024
6,Phu Tan,168.37
7,Tinh Bien,227.514
8,Tan Chau,158.773
9,Thoai Son,192.757
10,Tri Ton,257.79
11,Bac Lieu,137.374
12,Dong Hai,118.745
13,Gia Rai,157.491
14,Hong Dan,112.776
15,Hoa Binh,105.348
16,Phuoc Long,130.945
17,Vinh Loi,82.311
18,Ben Tre,108.504
19,Ba Tri,296.125
20,Binh Dai,192.913
21,Cho Lach,62.554
22,Chau Thanh,46.067
23,Giong Trom,170.714
24,Mo Cay Bac,68.149
25,Mo Cay Nam,173.008
26,Thanh Phu,289.646
27,Binh Thuy,143.474
28,Co Do,138.387
29,Cai Rang,50.418
30,Ninh Kieu,195.253
31,O Mon,104.548
32,Phong Dien,93.085
33,Thot Not,72.726
34,Thoi Lai,130.392
35,Vinh Thanh,150.786
36,Ca Mau,177.785
37,Cai Nuoc,140.809
38,Dam Doi,218.382
39,Nam Can,52.449
40,Ngoc Hien,45.57
41,Phu Tan,155.1
42,Thoi Binh,211.409
43,Tran Van Thoi,120.714
44,U Minh,87.22
45,Cao Lanh,195.364
46,Cao Lanh,173.84
47,Chau Thanh,173.477
48,Hong Ngu,106.889
49,Hong Ngu,42.559
50,Lap Vo,174.423
51,Lai Vung,118.037
52,Sa Dec,68.053
53,Tam Nong,121.584
54,Tan Hong,90.959
55,Thanh Binh,125.081
56,Thap Muoi,266.248
57,Chau Thanh,44.627
58,Chau Thanh A,100.901
59,Long My,137.815
60,Long My,94.748
61,Nga Bay,73.157
62,Phung Hiep,266.848
63,Vi Thanh,122.616
64,Vi Thuy,121.888
65,An Bien,55.75
66,An Minh,88.481
67,Chau Thanh,159.024
68,Giong Rieng,139.091
69,Giang Thanh,71.682
70,Go Quao,109.533
71,Ha Tien,50.959
72,Hon Dat,298.9
73,Kien Hai,0.064
74,Kien Luong,106.039
75,Phu Quoc,18.49
76,Rach Gia,214.922
77,Tan Hiep,158.593
78,U Minh Thuong,55.912
79,Vinh Thuan,113.351
80,Ben Luc,98.496
81,Can Duoc,105.395
82,Can Giuoc,122.467
83,Chau Thanh,45.6
84,Duc Hoa,240.185
85,Duc Hue,104.087
86,Kien Tuong,55.703
87,Moc Hoa,69.469
88,Tan An,89.413
89,Tan Hung,75.031
90,Tan Thanh,219.36
91,Tan Tru,29.086
92,Thanh Hoa,91.789
93,Thu Thua,75.786
94,Vinh Hung,82.352
95,Chau Thanh,123.036
96,Cu Lao Dung,20.954
97,Ke Sach,88.355
98,Long Phu,107.608
99,My Tu,141.982
100,My Xuyen,132.165
101,Nga Nam,107.614
102,Soc Trang,180.092
103,Thanh Tri,101.778
104,Tran De,178.31
105,Vinh Chau,153.128
106,Cai Be,361.276
107,Cai Lay,193.279
108,Cai Lay,184.311
109,Cho Gao,70.459
110,Chau Thanh,150.653
111,Go Cong,157.015
112,Go Cong Dong,223.009
113,Go Cong Tay,176.054
114,My Tho,142.902
115,Tan Phu Dong,38.484
116,Tan Phuoc,87.235
117,Cau Ke,112.392
118,Cau Ngang,226.358
119,Cang Long,113.804
120,Chau Thanh,156.72
121,Duyen Hai,77.816
122,Duyen Hai,59.99
123,Tieu Can,90.647
124,Tra Cu,172.652
125,Tra Vinh,92.451
126,Binh Minh,112.58
127,Binh Tan,56.514
128,Long Ho,142.291
129,Mang Thit,110.063
130,Tam Binh,195.899
131,Tra On,197.923
132,Vinh Long,138.083
133,Vung Liem,210.425
