,VARNAME_2,population(thousand)
0,An Phu,170.349
1,Cho Moi,284.029
2,Chau Doc,90.76
3,Chau Phu,258.752
4,Chau Thanh,158.118
5,Long Xuyen,229.594
6,Phu Tan,168.045
7,Tinh Bien,212.209
8,Tan Chau,185.37
9,Thoai Son,164.257
10,Tri Ton,239.148
11,Bac Lieu,155.841
12,Dong Hai,106.166
13,Gia Rai,153.986
14,Hong Dan,100.418
15,Hoa Binh,98.651
16,Phuoc Long,109.893
17,Vinh Loi,74.472
18,Ben Tre,122.362
19,Ba Tri,290.744
20,Binh Dai,167.467
21,Cho Lach,58.29
22,Chau Thanh,45.855
23,Giong Trom,161.965
24,Mo Cay Bac,60.729
25,Mo Cay Nam,164.234
26,Thanh Phu,262.371
27,Binh Thuy,105.455
28,Co Do,152.455
29,Cai Rang,48.854
30,Ninh Kieu,158.643
31,O Mon,119.036
32,Phong Dien,94.337
33,Thot Not,64.17
34,Thoi Lai,114.266
35,Vinh Thanh,143.951
36,Ca Mau,178.53
37,Cai Nuoc,124.733
38,Dam Doi,198.401
39,Nam Can,50.671
40,Ngoc Hien,60.616
41,Phu Tan,138.223
42,Thoi Binh,194.904
43,Tran Van Thoi,113.752
44,U Minh,81.833
45,Cao Lanh,177.465
46,Cao Lanh,167.578
47,Chau Thanh,173.841
48,Hong Ngu,120.385
49,Hong Ngu,43.225
50,Lap Vo,156.734
51,Lai Vung,106.735
52,Sa Dec,72.429
53,Tam Nong,116.452
54,Tan Hong,80.852
55,Thanh Binh,127.716
56,Thap Muoi,238.859
57,Chau Thanh,43.435
58,Chau Thanh A,91.592
59,Long My,117.83
60,Long My,84.103
61,Nga Bay,79.866
62,Phung Hiep,267.059
63,Vi Thanh,116.51
64,Vi Thuy,130.053
65,An Bien,50.16
66,An Minh,82.156
67,Chau Thanh,157.137
68,Giong Rieng,125.133
69,Giang Thanh,68.864
70,Go Quao,99.697
71,Ha Tien,62.636
72,Hon Dat,268.755
73,Kien Hai,0.042
74,Kien Luong,96.525
75,Phu Quoc,17.313
76,Rach Gia,199.291
77,Tan Hiep,156.244
78,U Minh Thuong,56.526
79,Vinh Thuan,105.747
80,Ben Luc,90.787
81,Can Duoc,102.161
82,Can Giuoc,114.063
83,Chau Thanh,41.413
84,Duc Hoa,219.944
85,Duc Hue,99.158
86,Kien Tuong,46.284
87,Moc Hoa,64.514
88,Tan An,92.636
89,Tan Hung,72.633
90,Tan Thanh,207.172
91,Tan Tru,25.256
92,Thanh Hoa,87.287
93,Thu Thua,73.805
94,Vinh Hung,74.819
95,Chau Thanh,133.27
96,Cu Lao Dung,17.221
97,Ke Sach,81.782
98,Long Phu,97.99
99,My Tu,136.999
100,My Xuyen,120.863
101,Nga Nam,93.157
102,Soc Trang,172.25
103,Thanh Tri,91.617
104,Tran De,169.655
105,Vinh Chau,141.007
106,Cai Be,358.244
107,Cai Lay,174.331
108,Cai Lay,156.727
109,Cho Gao,63.304
110,Chau Thanh,142.033
111,Go Cong,156.289
112,Go Cong Dong,202.8
113,Go Cong Tay,172.985
114,My Tho,138.67
115,Tan Phu Dong,31.185
116,Tan Phuoc,88.01
117,Cau Ke,104.099
118,Cau Ngang,222.452
119,Cang Long,103.272
120,Chau Thanh,143.573
121,Duyen Hai,81.383
122,Duyen Hai,71.714
123,Tieu Can,81.188
124,Tra Cu,156.831
125,Tra Vinh,78.452
126,Binh Minh,130.867
127,Binh Tan,54.374
128,Long Ho,133.343
129,Mang Thit,96.289
130,Tam Binh,188.624
131,Tra On,174.474
132,Vinh Long,118.691
133,Vung Liem,199.294
