,VARNAME_2,population(thousand)
0,An Phu,201.301
1,Cho Moi,376.295
2,Chau Doc,117.802
3,Chau Phu,253.858
4,Chau Thanh,175.889
5,Long Xuyen,269.264
6,Phu Tan,221.35
7,Tinh Bien,118.551
8,Tan Chau,174.592
9,Thoai Son,193.99
10,Tri Ton,125.766
11,Bac Lieu,51.205
12,Dong Hai,168.399
13,Gia Rai,167.326
14,Hong Dan,126.298
15,Hoa Binh,135.013
16,Phuoc Long,140.393
17,Vinh Loi,105.285
18,Ben Tre,118.301
19,Ba Tri,196.858
20,Binh Dai,128.535
21,Cho Lach,127.594
22,Chau Thanh,157.528
23,Giong Trom,181.942
24,Mo Cay Bac,77.102
25,Mo Cay Nam,194.345
26,Thanh Phu,128.164
27,Binh Thuy,97.565
28,Co Do,155.007
29,Cai Rang,115.929
30,Ninh Kieu,232.479
31,O Mon,127.479
32,Phong Dien,116.517
33,Thot Not,150.666
34,Thoi Lai,132.085
35,Vinh Thanh,151.567
36,Ca Mau,205.045
37,Cai Nuoc,145.619
38,Dam Doi,192.039
39,Nam Can,71.332
40,Ngoc Hien,81.543
41,Phu Tan,117.937
42,Thoi Binh,145.502
43,Tran Van Thoi,201.237
44,U Minh,95.178
45,Cao Lanh,164.084
46,Cao Lanh,220.423
47,Chau Thanh,170.813
48,Hong Ngu,149.7
49,Hong Ngu,65.72
50,Lap Vo,192.891
51,Lai Vung,173.524
52,Sa Dec,109.672
53,Tam Nong,103.994
54,Tan Hong,87.123
55,Thanh Binh,166.796
56,Thap Muoi,133.748
57,Chau Thanh,56.124
58,Chau Thanh A,92.837
59,Long My,98.598
60,Long My,64.334
61,Nga Bay,62.431
62,Phung Hiep,211.506
63,Vi Thanh,77.852
64,Vi Thuy,93.216
65,An Bien,128.687
66,An Minh,111.295
67,Chau Thanh,153.472
68,Giong Rieng,214.796
69,Giang Thanh,39.675
70,Go Quao,157.177
71,Ha Tien,44.472
72,Hon Dat,167.745
73,Kien Hai,19.277
74,Kien Luong,63.094
75,Phu Quoc,87.736
76,Rach Gia,221.81
77,Tan Hiep,157.71
78,U Minh Thuong,75.129
79,Vinh Thuan,112.685
80,Ben Luc,139.974
81,Can Duoc,184.112
82,Can Giuoc,175.258
83,Chau Thanh,111.084
84,Duc Hoa,217.237
85,Duc Hue,67.243
86,Kien Tuong,32.664
87,Moc Hoa,40.735
88,Tan An,126.862
89,Tan Hung,41.773
90,Tan Thanh,86.06
91,Tan Tru,68.19
92,Thanh Hoa,57.249
93,Thu Thua,95.4
94,Vinh Hung,48.241
95,Chau Thanh,106.266
96,Cu Lao Dung,67.395
97,Ke Sach,176.541
98,Long Phu,100.32
99,My Tu,118.705
100,My Xuyen,136.493
101,Nga Nam,82.927
102,Soc Trang,134.212
103,Thanh Tri,93.866
104,Tran De,173.86
105,Vinh Chau,159.96
106,Cai Be,301.063
107,Cai Lay,168.527
108,Cai Lay,163.207
109,Cho Gao,166.039
110,Chau Thanh,253.481
111,Go Cong,109.819
112,Go Cong Dong,145.084
113,Go Cong Tay,151.22
114,My Tho,204.067
115,Tan Phu Dong,30.104
116,Tan Phuoc,55.318
117,Cau Ke,125.367
118,Cau Ngang,135.974
119,Cang Long,172.673
120,Chau Thanh,127.629
121,Duyen Hai,67.376
122,Duyen Hai,52.832
123,Tieu Can,112.532
124,Tra Cu,145.946
125,Tra Vinh,106.462
126,Binh Minh,120.427
127,Binh Tan,59.779
128,Long Ho,157.92
129,Mang Thit,104.558
130,Tam Binh,167.684
131,Tra On,152.98
132,Vinh Long,125.948
133,Vung Liem,180.681
