,VARNAME_2,population(thousand)
0,An Phu,177.302
1,Cho Moi,285.843
2,Chau Doc,78.132
3,Chau Phu,264.365
4,Chau Thanh,182.149
5,Long Xuyen,280.177
6,Phu Tan,166.664
7,Tinh Bien,225.228
8,Tan Chau,157.176
9,Thoai Son,190.805
10,Tri Ton,255.222
11,Bac Lieu,136.01
12,Dong Hai,117.502
13,Gia Rai,155.927
14,Hong Dan,111.588
15,Hoa Binh,104.306
16,Phuoc Long,129.639
17,Vinh Loi,81.482
18,Ben Tre,107.409
19,Ba Tri,293.144
20,Binh Dai,190.973
21,Cho Lach,61.93
22,Chau Thanh,45.599
23,Giong Trom,168.987
24,Mo Cay Bac,67.463
25,Mo Cay Nam,171.269
26,Thanh Phu,286.729
27,Binh Thuy,142.039
28,Co Do,136.964
29,Cai Rang,49.896
30,Ninh Kieu,193.302
31,O Mon,103.489
32,Phong Dien,92.138
33,Thot Not,71.995
34,Thoi Lai,129.09
35,Vinh Thanh,149.278
36,Ca Mau,176.006
37,Cai Nuoc,139.304
38,Dam Doi,216.065
39,Nam Can,52.0
40,Ngoc Hien,45.201
41,Phu Tan,153.555
42,Thoi Binh,209.241
43,Tran Van Thoi,119.416
44,U Minh,86.428
45,Cao Lanh,193.4
46,Cao Lanh,172.061
47,Chau Thanh,171.731
48,Hong Ngu,105.788
49,Hong Ngu,42.135
50,Lap Vo,172.686
51,Lai Vung,116.857
52,Sa Dec,67.355
53,Tam Nong,120.32
54,Tan Hong,90.063
55,Thanh Binh,123.82
56,Thap Muoi,263.624
57,Chau Thanh,44.173
58,Chau Thanh A,99.889
59,Long My,136.443
60,Long My,93.796
61,Nga Bay,72.422
62,Phung Hiep,264.136
63,Vi Thanh,121.388
64,Vi Thuy,120.674
65,An Bien,55.173
66,An Minh,87.581
67,Chau Thanh,157.427
68,Giong Rieng,137.705
69,Giang Thanh,70.974
70,Go Quao,108.442
71,Ha Tien,50.441
72,Hon Dat,295.89
73,Kien Hai,0.055
74,Kien Luong,104.986
75,Phu Quoc,18.257
76,Rach Gia,212.742
77,Tan Hiep,157.019
78,U Minh Thuong,55.352
79,Vinh Thuan,112.212
80,Ben Luc,97.48
81,Can Duoc,104.329
82,Can Giuoc,121.281
83,Chau Thanh,45.146
84,Duc Hoa,237.794
85,Duc Hue,103.032
86,Kien Tuong,55.152
87,Moc Hoa,68.779
88,Tan An,88.513
89,Tan Hung,74.273
90,Tan Thanh,217.144
91,Tan Tru,28.786
92,Thanh Hoa,90.867
93,Thu Thua,75.028
94,Vinh Hung,81.525
95,Chau Thanh,121.798
96,Cu Lao Dung,20.697
97,Ke Sach,87.468
98,Long Phu,106.544
99,My Tu,140.57
100,My Xuyen,130.873
101,Nga Nam,106.553
102,Soc Trang,178.238
103,Thanh Tri,100.788
104,Tran De,176.517
105,Vinh Chau,151.585
106,Cai Be,357.615
107,Cai Lay,191.314
108,Cai Lay,182.452
109,Cho Gao,69.75
110,Chau Thanh,149.142
111,Go Cong,155.438
112,Go Cong Dong,220.755
113,Go Cong Tay,174.274
114,My Tho,141.475
115,Tan Phu Dong,38.103
116,Tan Phuoc,86.358
117,Cau Ke,111.246
118,Cau Ngang,224.053
119,Cang Long,112.663
120,Chau Thanh,155.143
121,Duyen Hai,77.055
122,Duyen Hai,59.385
123,Tieu Can,89.732
124,Tra Cu,170.908
125,Tra Vinh,91.522
126,Binh Minh,111.451
127,Binh Tan,55.912
128,Long Ho,140.864
129,Mang Thit,108.955
130,Tam Binh,193.918
131,Tra On,195.928
132,Vinh Long,136.706
133,Vung Liem,208.298
