,VARNAME_2,population(thousand)
0,An Phu,195.612
1,Cho Moi,375.441
2,Chau Doc,123.399
3,Chau Phu,265.896
4,Chau Thanh,182.872
5,Long Xuyen,298.601
6,Phu Tan,212.386
7,Tinh Bien,131.449
8,Tan Chau,190.325
9,Thoai Son,202.908
10,Tri Ton,143.541
11,Bac Lieu,165.249
12,Dong Hai,158.644
13,Gia Rai,145.834
14,Hong Dan,115.241
15,Hoa Binh,125.417
16,Phuoc Long,128.255
17,Vinh Loi,93.374
18,Ben Tre,133.109
19,Ba Tri,203.892
20,Binh Dai,143.806
21,Cho Lach,130.361
22,Chau Thanh,164.273
23,Giong Trom,183.597
24,Mo Cay Bac,78.436
25,Mo Cay Nam,189.86
26,Thanh Phu,138.984
27,Binh Thuy,128.148
28,Co Do,156.527
29,Cai Rang,76.649
30,Ninh Kieu,258.633
31,O Mon,122.884
32,Phong Dien,109.647
33,Thot Not,128.585
34,Thoi Lai,198.139
35,Vinh Thanh,98.64
36,Ca Mau,237.307
37,Cai Nuoc,147.018
38,Dam Doi,198.37
39,Nam Can,58.8
40,Ngoc Hien,94.474
41,Phu Tan,114.534
42,Thoi Binh,144.97
43,Tran Van Thoi,200.966
44,U Minh,114.24
45,Cao Lanh,216.095
46,Cao Lanh,177.265
47,Chau Thanh,161.257
48,Hong Ngu,173.904
49,Hong Ngu,72.66
50,Lap Vo,191.905
51,Lai Vung,177.536
52,Sa Dec,114.768
53,Tam Nong,115.599
54,Tan Hong,98.515
55,Thanh Binh,166.704
56,Thap Muoi,152.343
57,Chau Thanh,90.956
58,Chau Thanh A,115.497
59,Long My,103.393
60,Long My,67.951
61,Nga Bay,64.56
62,Phung Hiep,214.302
63,Vi Thanh,77.586
64,Vi Thuy,108.532
65,An Bien,107.475
66,An Minh,114.133
67,Chau Thanh,162.283
68,Giong Rieng,241.967
69,Giang Thanh,44.208
70,Go Quao,133.878
71,Ha Tien,48.406
72,Hon Dat,182.323
73,Kien Hai,16.445
74,Kien Luong,69.928
75,Phu Quoc,98.274
76,Rach Gia,246.434
77,Tan Hiep,156.306
78,U Minh Thuong,74.88
79,Vinh Thuan,131.614
80,Ben Luc,160.536
81,Can Duoc,182.732
82,Can Giuoc,183.921
83,Chau Thanh,105.906
84,Duc Hoa,235.907
85,Duc Hue,64.311
86,Kien Tuong,33.545
87,Moc Hoa,41.932
88,Tan An,142.485
89,Tan Hung,51.523
90,Tan Thanh,82.135
91,Tan Tru,67.108
92,Thanh Hoa,58.631
93,Thu Thua,95.086
94,Vinh Hung,52.634
95,Chau Thanh,110.023
96,Cu Lao Dung,46.888
97,Ke Sach,166.49
98,Long Phu,106.584
99,My Tu,116.527
100,My Xuyen,143.384
101,Nga Nam,86.361
102,Soc Trang,153.386
103,Thanh Tri,114.813
104,Tran De,179.577
105,Vinh Chau,177.786
106,Cai Be,311.237
107,Cai Lay,168.103
108,Cai Lay,165.265
109,Cho Gao,170.649
110,Chau Thanh,265.963
111,Go Cong,144.971
112,Go Cong Dong,119.773
113,Go Cong Tay,136.779
114,My Tho,234.303
115,Tan Phu Dong,43.948
116,Tan Phuoc,61.391
117,Cau Ke,119.321
118,Cau Ngang,141.962
119,Cang Long,157.831
120,Chau Thanh,133.869
121,Duyen Hai,75.197
122,Duyen Hai,62.859
123,Tieu Can,118.024
124,Tra Cu,161.042
125,Tra Vinh,122.385
126,Binh Minh,130.566
127,Binh Tan,64.782
128,Long Ho,176.575
129,Mang Thit,107.912
130,Tam Binh,169.022
131,Tra On,146.647
132,Vinh Long,147.658
133,Vung Liem,171.882
