,VARNAME_2,population(thousand)
0,An Phu,160.427
1,Cho Moi,285.772
2,Chau Doc,84.692
3,Chau Phu,270.639
4,Chau Thanh,177.775
5,Long Xuyen,243.09
6,Phu Tan,168.702
7,Tinh Bien,226.04
8,Tan Chau,172.146
9,Thoai Son,183.404
10,Tri Ton,251.882
11,Bac Lieu,150.663
12,Dong Hai,111.457
13,Gia Rai,154.986
14,Hong Dan,105.243
15,Hoa Binh,102.509
16,Phuoc Long,116.126
17,Vinh Loi,76.465
18,Ben Tre,106.637
19,Ba Tri,314.852
20,Binh Dai,179.209
21,Cho Lach,56.574
22,Chau Thanh,40.51
23,Giong Trom,158.01
24,Mo Cay Bac,64.081
25,Mo Cay Nam,169.004
26,Thanh Phu,277.303
27,Binh Thuy,133.224
28,Co Do,145.611
29,Cai Rang,46.192
30,Ninh Kieu,185.227
31,O Mon,104.806
32,Phong Dien,88.952
33,Thot Not,64.007
34,Thoi Lai,124.801
35,Vinh Thanh,153.711
36,Ca Mau,184.173
37,Cai Nuoc,135.715
38,Dam Doi,211.645
39,Nam Can,47.085
40,Ngoc Hien,36.507
41,Phu Tan,151.747
42,Thoi Binh,207.758
43,Tran Van Thoi,117.965
44,U Minh,83.448
45,Cao Lanh,185.063
46,Cao Lanh,159.185
47,Chau Thanh,176.187
48,Hong Ngu,107.88
49,Hong Ngu,39.514
50,Lap Vo,170.954
51,Lai Vung,114.901
52,Sa Dec,69.214
53,Tam Nong,118.453
54,Tan Hong,88.087
55,Thanh Binh,122.128
56,Thap Muoi,264.224
57,Chau Thanh,43.502
58,Chau Thanh A,97.145
59,Long My,127.377
60,Long My,91.031
61,Nga Bay,73.215
62,Phung Hiep,266.616
63,Vi Thanh,118.806
64,Vi Thuy,124.196
65,An Bien,53.792
66,An Minh,87.218
67,Chau Thanh,156.574
68,Giong Rieng,133.84
69,Giang Thanh,65.839
70,Go Quao,104.374
71,Ha Tien,48.234
72,Hon Dat,283.428
73,Kien Hai,0.023
74,Kien Luong,92.773
75,Phu Quoc,15.965
76,Rach Gia,224.93
77,Tan Hiep,158.725
78,U Minh Thuong,56.367
79,Vinh Thuan,106.439
80,Ben Luc,94.089
81,Can Duoc,100.76
82,Can Giuoc,119.544
83,Chau Thanh,44.761
84,Duc Hoa,240.636
85,Duc Hue,99.879
86,Kien Tuong,51.495
87,Moc Hoa,67.324
88,Tan An,94.362
89,Tan Hung,70.157
90,Tan Thanh,217.558
91,Tan Tru,26.17
92,Thanh Hoa,86.618
93,Thu Thua,74.033
94,Vinh Hung,74.647
95,Chau Thanh,128.757
96,Cu Lao Dung,16.869
97,Ke Sach,81.615
98,Long Phu,103.434
99,My Tu,141.486
100,My Xuyen,124.955
101,Nga Nam,100.36
102,Soc Trang,184.286
103,Thanh Tri,94.097
104,Tran De,172.379
105,Vinh Chau,144.358
106,Cai Be,354.765
107,Cai Lay,183.524
108,Cai Lay,176.085
109,Cho Gao,64.142
110,Chau Thanh,144.791
111,Go Cong,159.688
112,Go Cong Dong,216.123
113,Go Cong Tay,178.621
114,My Tho,135.621
115,Tan Phu Dong,32.911
116,Tan Phuoc,82.982
117,Cau Ke,109.53
118,Cau Ngang,221.362
119,Cang Long,107.437
120,Chau Thanh,153.837
121,Duyen Hai,73.469
122,Duyen Hai,54.566
123,Tieu Can,89.228
124,Tra Cu,167.376
125,Tra Vinh,91.662
126,Binh Minh,118.128
127,Binh Tan,55.129
128,Long Ho,137.492
129,Mang Thit,103.021
130,Tam Binh,190.127
131,Tra On,185.328
132,Vinh Long,137.283
133,Vung Liem,203.408
