,VARNAME_2,population(thousand)
0,An Phu,176.46
1,Cho Moi,296.05
2,Chau Doc,73.411
3,Chau Phu,246.212
4,Chau Thanh,160.373
5,Long Xuyen,220.777
6,Phu Tan,171.163
7,Tinh Bien,203.427
8,Tan Chau,159.747
9,Thoai Son,171.113
10,Tri Ton,253.965
11,Bac Lieu,119.713
12,Dong Hai,111.631
13,Gia Rai,138.845
14,Hong Dan,109.012
15,Hoa Binh,106.36
16,Phuoc Long,112.392
17,Vinh Loi,78.14
18,Ben Tre,121.493
19,Ba Tri,277.377
20,Binh Dai,131.798
21,Cho Lach,74.029
22,Chau Thanh,82.393
23,Giong Trom,190.169
24,Mo Cay Bac,78.874
25,Mo Cay Nam,153.736
26,Thanh Phu,200.883
27,Binh Thuy,111.33
28,Co Do,133.456
29,Cai Rang,63.098
30,Ninh Kieu,179.341
31,O Mon,106.372
32,Phong Dien,90.188
33,Thot Not,68.371
34,Thoi Lai,102.033
35,Vinh Thanh,137.608
36,Ca Mau,169.196
37,Cai Nuoc,110.521
38,Dam Doi,173.472
39,Nam Can,41.565
40,Ngoc Hien,65.714
41,Phu Tan,123.333
42,Thoi Binh,191.731
43,Tran Van Thoi,130.029
44,U Minh,106.245
45,Cao Lanh,182.313
46,Cao Lanh,120.577
47,Chau Thanh,169.725
48,Hong Ngu,120.718
49,Hong Ngu,45.225
50,Lap Vo,139.161
51,Lai Vung,115.85
52,Sa Dec,77.438
53,Tam Nong,125.847
54,Tan Hong,83.672
55,Thanh Binh,139.614
56,Thap Muoi,220.86
57,Chau Thanh,48.858
58,Chau Thanh A,107.657
59,Long My,118.68
60,Long My,79.796
61,Nga Bay,66.853
62,Phung Hiep,259.656
63,Vi Thanh,102.404
64,Vi Thuy,112.752
65,An Bien,60.427
66,An Minh,105.116
67,Chau Thanh,141.326
68,Giong Rieng,126.4
69,Giang Thanh,70.515
70,Go Quao,103.606
71,Ha Tien,34.858
72,Hon Dat,256.623
73,Kien Hai,0.239
74,Kien Luong,101.419
75,Phu Quoc,34.424
76,Rach Gia,167.941
77,Tan Hiep,136.359
78,U Minh Thuong,63.994
79,Vinh Thuan,102.264
80,Ben Luc,88.848
81,Can Duoc,102.335
82,Can Giuoc,101.398
83,Chau Thanh,54.783
84,Duc Hoa,197.645
85,Duc Hue,97.975
86,Kien Tuong,52.625
87,Moc Hoa,70.528
88,Tan An,80.774
89,Tan Hung,77.668
90,Tan Thanh,189.558
91,Tan Tru,37.371
92,Thanh Hoa,89.175
93,Thu Thua,67.574
94,Vinh Hung,77.009
95,Chau Thanh,124.074
96,Cu Lao Dung,26.559
97,Ke Sach,103.309
98,Long Phu,91.714
99,My Tu,137.224
100,My Xuyen,121.531
101,Nga Nam,87.781
102,Soc Trang,143.778
103,Thanh Tri,89.348
104,Tran De,155.261
105,Vinh Chau,149.587
106,Cai Be,323.665
107,Cai Lay,169.342
108,Cai Lay,112.471
109,Cho Gao,98.586
110,Chau Thanh,163.572
111,Go Cong,149.378
112,Go Cong Dong,171.743
113,Go Cong Tay,170.783
114,My Tho,162.555
115,Tan Phu Dong,28.987
116,Tan Phuoc,92.872
117,Cau Ke,112.312
118,Cau Ngang,177.698
119,Cang Long,113.173
120,Chau Thanh,143.927
121,Duyen Hai,76.301
122,Duyen Hai,64.964
123,Tieu Can,87.385
124,Tra Cu,153.628
125,Tra Vinh,86.357
126,Binh Minh,123.593
127,Binh Tan,73.495
128,Long Ho,131.618
129,Mang Thit,94.484
130,Tam Binh,174.277
131,Tra On,164.537
132,Vinh Long,122.424
133,Vung Liem,180.846
