STT,District,District Code - Old MDR map,District Code - Updated MDR map,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
2,Mỏ Cày,130,25 & 26,18,14,3,3,0,0,0,0,16,16,0,0,0,0,0,0,3,2,0,0,0,0,0,0,6,5,0,0,0,0,0,0,5,3,3,2,0,0,0,0,45,42,4,4,0,0,0,0,166,138,14,12,0,0,2,2,162,134,22,18,0,0,0,0,196,163,5,5,0,0,1,1,309,261,25,20,0,0,0,0,198,172,17,15,0,0,0,0,124,88,20,19,0,0,0,0,1248,1038,113,98,0,0,3,3,,,,,,,,,,,,,,,,
3,Thạnh Phú,54,27,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,1,1,0,0,0,0,4,4,2,2,0,0,0,0,14,13,1,1,0,0,0,0,18,18,9,9,0,0,0,0,16,14,11,11,0,0,0,0,15,15,13,13,0,0,0,0,9,9,3,3,0,0,0,0,8,8,1,1,0,0,0,0,5,5,4,4,0,0,0,0,102,99,45,45,0,0,0,0,,,,,,,,,,,,,,,,
4,Giồng Trôm,51,24,21,20,2,2,0,0,0,0,8,7,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,7,0,0,0,0,0,0,57,33,3,3,0,0,0,0,24,19,0,0,0,0,0,0,24,19,0,0,0,0,0,0,34,28,4,3,0,0,0,0,32,28,4,3,0,0,1,1,31,28,1,1,0,0,0,0,250,199,14,12,0,0,1,1,,,,,,,,,,,,,,,,
5,Châu Thành,49,23,5,3,2,2,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,11,8,2,1,0,0,0,0,10,8,2,1,0,0,0,0,22,19,1,1,0,0,0,0,23,16,0,0,0,0,0,0,7,6,1,1,0,0,0,0,92,71,9,7,0,0,1,1,,,,,,,,,,,,,,,,
6,Ba Tri,53,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,8,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,1,1,0,0,0,0,,,,,,,,,,,,,,,,
7,Bình Đại,52,21,4,4,3,2,0,0,0,0,6,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,6,5,0,0,0,0,0,0,9,7,1,1,0,0,0,0,7,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,5,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,44,34,9,8,0,0,0,0,,,,,,,,,,,,,,,,
8,Chợ Lách,50,22,23,17,1,1,0,0,0,0,8,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,14,14,0,0,0,0,0,0,25,19,6,6,0,0,0,0,22,19,2,2,0,0,0,0,63,46,12,8,0,0,0,0,57,41,6,6,0,0,0,0,115,77,12,11,0,0,1,1,239,97,13,10,0,0,0,0,181,141,24,18,0,0,0,0,59,42,15,12,0,0,0,0,809,520,91,74,0,0,1,1,,,,,,,,,,,,,,,,
9,Tổng cộng,,,82,69,11,10,0,0,1,1,39,31,1,1,0,0,0,0,17,16,0,0,0,0,0,0,34,29,1,1,0,0,0,0,44,34,13,12,0,0,0,0,107,96,8,8,0,0,0,0,334,257,43,36,0,0,2,2,288,225,43,38,0,0,0,0,373,294,34,32,0,0,2,2,654,446,49,39,0,0,0,0,461,380,46,37,0,0,1,1,234,177,41,37,0,0,0,0,2667,2054,290,251,0,0,6,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2667,2054,290,251,0,0,6,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
1,Bến Tre,48,19,2,2,0,0,0,0,0,0,3,3,1,1,0,0,0,0,5,3,0,0,0,0,0,0,3,2,1,1,0,0,0,0,9,8,0,0,0,0,0,0,20,18,2,2,0,0,0,0,23,17,2,2,0,0,0,0,13,9,2,1,0,0,0,0,13,10,3,2,0,0,0,0,22,19,1,1,0,0,0,0,22,18,6,5,0,0,0,0,18,15,6,5,0,0,0,0,153,124,24,20,0,0,0,0,,,,,,,,,,,,,,,,
2,Mỏ Cày,130,25 & 26,55,44,10,10,0,0,0,0,25,20,2,2,0,0,0,0,10,8,5,4,0,0,0,0,36,35,0,0,0,0,0,0,36,32,2,2,0,0,0,0,31,27,7,7,0,0,0,0,42,33,11,10,0,0,0,0,54,45,14,12,0,0,1,1,50,40,5,4,0,0,0,0,27,21,11,9,0,0,0,0,23,17,7,7,0,0,0,0,13,10,3,2,0,0,0,0,402,332,77,69,0,0,1,1,,,,,,,,,,,,,,,,
3,Thạnh Phú,54,27,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,3,1,1,0,0,0,0,3,2,0,0,0,0,0,0,3,3,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,23,20,6,6,0,0,0,0,,,,,,,,,,,,,,,,
4,Giồng Trôm,51,24,17,15,3,3,0,0,0,0,7,5,1,1,0,0,0,0,6,6,1,1,0,0,0,0,18,13,1,0,0,0,0,0,12,11,2,2,0,0,0,0,24,20,1,1,0,0,0,0,58,47,12,10,0,0,0,0,30,21,12,12,0,0,0,0,42,28,14,12,0,0,0,0,39,32,5,4,0,0,0,0,21,17,3,2,0,0,0,0,10,9,1,1,0,0,0,0,284,224,56,49,0,0,0,0,,,,,,,,,,,,,,,,
5,Châu Thành,49,23,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,1,0,0,0,0,0,2,2,1,0,0,0,0,0,6,4,2,2,0,0,0,0,6,5,2,1,0,0,0,0,13,10,3,2,0,0,0,0,19,12,5,3,0,0,0,0,9,4,2,2,0,0,0,0,8,4,4,3,0,0,0,0,16,14,4,4,0,0,0,0,7,5,1,1,0,0,0,0,95,68,25,18,0,0,0,0,,,,,,,,,,,,,,,,
6,Ba Tri,53,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,2,2,0,0,0,0,21,21,9,8,0,0,0,0,46,45,15,15,0,0,0,0,15,14,3,3,0,0,0,0,13,12,6,6,0,0,0,0,12,10,2,2,0,0,0,0,4,4,2,2,0,0,0,0,1,1,4,3,0,0,0,0,122,117,44,42,0,0,0,0,,,,,,,,,,,,,,,,
7,Bình Đại,52,21,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,11,11,2,2,0,0,0,0,5,4,0,0,0,0,0,0,24,23,4,4,0,0,0,0,21,17,2,2,0,0,0,0,59,53,6,6,0,0,0,0,48,42,9,8,0,0,0,0,31,28,6,4,0,0,0,0,20,20,8,7,0,0,0,0,25,24,3,2,0,0,0,0,251,229,41,36,0,0,0,0,,,,,,,,,,,,,,,,
8,Chợ Lách,50,22,65,45,13,7,0,0,1,1,52,41,4,2,0,0,0,0,60,48,8,6,0,0,0,0,72,54,4,2,0,0,0,0,46,32,5,5,0,0,0,0,49,42,6,5,0,0,0,0,49,33,8,8,0,0,0,0,45,36,7,5,0,0,0,0,47,35,5,4,0,0,0,0,35,26,3,3,0,0,0,0,30,23,4,3,0,0,0,0,36,34,3,3,0,0,0,0,586,449,70,53,0,0,1,1,,,,,,,,,,,,,,,,
9,Tổng cộng,,,151,118,27,21,0,0,1,1,91,73,9,7,0,0,0,0,90,73,16,12,0,0,0,0,144,119,10,6,0,0,0,0,126,103,14,14,0,0,0,0,178,158,31,28,0,0,0,0,255,205,54,50,0,0,0,0,238,192,49,42,0,0,1,1,222,171,44,38,0,0,0,0,174,140,33,27,0,0,0,0,136,113,34,30,0,0,0,0,111,98,22,18,0,0,0,0,1916,1563,343,293,0,0,2,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1563,343,293,0,0,2,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
1,Bến Tre,48,19,2,2,1,1,0,0,0,0,2,2,0,0,0,0,0,0,8,7,1,1,0,0,0,0,15,9,5,3,0,0,0,0,49,39,5,5,0,0,1,1,82,55,12,11,0,0,0,0,188,133,27,21,0,0,0,0,158,106,17,15,0,0,0,0,93,72,4,3,0,0,0,0,28,16,4,4,0,0,0,0,24,17,2,0,0,0,0,0,22,15,0,0,0,0,0,0,671,473,78,64,0,0,1,1,,,,,,,,,,,,,,,,
2,Mỏ Cày,130,25 & 26,8,6,3,3,0,0,0,0,9,9,0,0,0,0,0,0,8,7,1,0,0,0,0,0,6,5,0,0,0,0,0,0,18,17,3,2,0,0,0,0,36,28,2,2,0,0,0,0,105,82,19,17,0,0,0,0,88,68,14,11,0,0,0,0,68,53,10,9,0,0,0,0,43,35,7,4,0,0,0,0,41,29,8,6,0,0,0,0,33,28,4,4,0,0,0,0,463,367,71,58,0,0,0,0,,,,,,,,,,,,,,,,
3,Thạnh Phú,54,27,1,1,3,3,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7,5,4,3,0,0,0,0,22,22,11,10,0,0,0,0,44,39,9,9,0,0,0,0,60,53,24,19,0,0,0,0,26,21,20,19,0,0,0,0,17,16,20,16,0,0,0,0,22,20,17,16,0,0,0,0,12,10,11,9,0,0,0,0,4,3,3,3,0,0,0,0,219,193,122,107,0,0,0,0,,,,,,,,,,,,,,,,
4,Giồng Trôm,51,24,3,2,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8,5,2,2,0,0,0,0,39,26,4,3,0,0,0,0,151,115,15,13,0,0,0,0,254,169,34,30,0,0,0,0,160,115,26,23,0,0,0,0,111,79,8,8,0,0,0,0,82,65,13,11,0,0,0,0,43,34,7,5,0,0,0,0,35,31,4,3,0,0,0,0,890,644,115,100,0,0,0,0,,,,,,,,,,,,,,,,
5,Châu Thành,49,23,1,1,2,1,0,0,0,0,3,3,1,1,0,0,0,0,3,2,1,1,0,0,0,0,5,4,2,2,0,0,0,0,21,15,7,4,0,0,0,0,49,34,11,8,0,0,0,0,65,46,15,12,0,0,0,0,64,47,10,7,0,0,0,0,57,39,11,8,0,0,0,0,27,23,8,6,0,0,0,0,24,16,2,2,0,0,0,0,20,18,5,5,0,0,0,0,339,248,75,57,0,0,0,0,,,,,,,,,,,,,,,,
6,Ba Tri,53,20,2,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,1,1,4,4,0,0,0,0,12,9,9,9,0,0,0,0,25,25,11,10,0,0,0,0,106,103,29,28,0,0,0,0,215,213,66,66,0,0,0,0,76,68,15,14,0,0,0,0,50,47,9,7,0,0,0,0,29,27,5,5,0,0,0,0,24,22,9,9,0,0,0,0,14,11,3,2,0,0,0,0,557,529,161,155,0,0,0,0,,,,,,,,,,,,,,,,
7,Bình Đại,52,21,7,7,2,2,0,0,0,0,10,10,2,2,0,0,0,0,17,16,6,6,0,0,0,0,159,158,9,9,0,0,0,0,208,194,48,47,0,0,0,0,231,212,70,65,0,0,0,0,290,265,84,78,0,0,1,1,219,191,53,51,0,0,0,0,67,64,9,8,0,0,0,0,35,29,5,5,0,0,0,0,31,27,5,5,0,0,0,0,23,21,2,2,0,0,0,0,1297,1194,295,280,0,0,1,1,,,,,,,,,,,,,,,,
8,Chợ Lách,50,22,21,20,1,1,0,0,0,0,7,6,2,1,0,0,0,0,19,15,6,6,0,0,0,0,25,22,3,3,0,0,0,0,55,40,3,3,0,0,0,0,49,36,5,4,0,0,0,0,55,43,3,3,0,0,0,0,44,37,9,7,0,0,0,0,38,26,3,2,0,0,0,0,25,19,0,0,0,0,0,0,21,16,4,2,0,0,0,0,12,9,5,4,0,0,0,0,371,289,44,36,0,0,0,0,,,,,,,,,,,,,,,,
9,Tổng cộng,,,45,39,13,12,0,0,0,0,39,37,6,5,0,0,0,0,59,50,20,19,0,0,0,0,237,217,34,31,0,0,0,0,437,378,92,84,0,0,1,1,748,622,153,140,0,0,0,0,1232,1004,272,246,0,0,1,1,835,653,164,147,0,0,0,0,501,396,74,61,0,0,0,0,291,234,59,51,0,0,0,0,220,171,48,38,0,0,0,0,163,136,26,23,0,0,0,0,4807,3937,961,857,0,0,2,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4807,3937,961,857,0,0,2,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
1,Bến Tre,48,19,15,12,0,0,0,0,0,0,15,11,0,0,0,0,0,0,25,19,1,1,0,0,0,0,18,15,0,0,0,0,0,0,18,16,1,1,0,0,0,0,18,10,5,3,0,0,0,0,44,32,13,11,0,0,0,0,92,56,9,7,0,0,0,0,69,37,13,10,0,0,0,0,37,27,7,5,0,0,0,0,46,34,11,7,0,0,0,0,40,27,3,2,0,0,0,0,437,296,63,47,0,0,0,0,,,,,,,,,,,,,,,,
2,Mỏ Cày,130,25 & 26,19,12,2,2,0,0,0,0,21,21,1,1,0,0,0,0,13,11,1,1,0,0,0,0,4,4,1,1,0,0,0,0,5,4,0,0,0,0,0,0,15,12,6,5,0,0,0,0,45,37,15,15,0,0,0,0,48,24,9,7,0,0,0,0,29,25,12,12,0,0,0,0,37,22,4,0,0,0,0,0,33,23,2,2,0,0,0,0,27,16,3,3,0,0,0,0,296,211,56,49,0,0,0,0,,,,,,,,,,,,,,,,
3,Thạnh Phú,54,27,6,5,4,4,0,0,0,0,11,10,10,10,0,0,0,0,17,16,9,7,0,0,0,0,13,12,3,1,0,0,0,0,11,10,8,6,0,0,0,0,27,26,10,9,0,0,0,0,40,34,27,25,0,0,0,0,37,32,11,10,0,0,0,0,52,42,36,32,0,0,0,0,76,51,34,30,0,0,0,0,59,46,35,22,0,0,0,0,10,8,14,12,0,0,0,0,359,292,201,168,0,0,0,0,,,,,,,,,,,,,,,,
4,Giồng Trôm,51,24,29,22,5,4,0,0,0,0,17,11,0,0,0,0,0,0,23,19,2,2,0,0,0,0,20,18,0,0,0,0,0,0,17,12,1,1,0,0,0,0,28,22,5,5,0,0,0,0,73,54,11,7,0,0,0,0,84,52,21,12,0,0,0,0,125,83,20,14,0,0,0,0,93,55,13,11,0,0,0,0,51,34,14,12,0,0,0,0,36,21,12,12,0,0,0,0,596,403,104,80,0,0,0,0,,,,,,,,,,,,,,,,
5,Châu Thành,49,23,9,6,0,0,0,0,0,0,5,3,0,0,0,0,0,0,8,7,0,0,0,0,0,0,8,7,1,0,0,0,0,0,3,2,1,1,0,0,0,0,6,5,0,0,0,0,0,0,6,4,4,2,0,0,0,0,23,16,4,4,0,0,0,0,21,14,4,2,0,0,0,0,15,11,2,1,0,0,0,0,20,15,4,3,0,0,0,0,30,23,8,6,0,0,0,0,154,113,28,19,0,0,0,0,,,,,,,,,,,,,,,,
