stt,district,district_code,updated_district_code,province,total_DHF_cases,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
6,Thạnh Hóa,6,85,Long An,23,2015,1,1,0,1,0,1,3,7,3,3,3,0
7,Đức Huệ,7,86,Long An,41,2015,1,1,5,3,0,0,6,3,7,7,5,3
8,Đức Hòa,8,82,Long An,616,2015,43,22,18,13,10,17,41,78,99,104,82,89
9,Bến Lức,9,83,Long An,173,2015,14,8,8,10,7,9,15,22,10,24,32,14
10,Thủ Thừa,10,93,Long An,129,2015,10,2,6,7,7,14,9,9,12,22,17,14
11,Châu Thành,11,91,Long An,158,2015,19,6,1,3,6,12,5,18,10,26,31,21
12,Tân Trụ,12,88,Long An,121,2015,5,1,7,6,6,12,18,24,5,19,6,12
13,Cần Đước,13,95,Long An,377,2015,12,7,12,27,26,37,58,50,57,50,21,20
14,Cần Giuộc,14,90,Long An,339,2015,17,12,6,7,4,9,25,76,63,52,44,24
15,Kiến Tường,,87,Long An,15,2015,1,0,0,0,0,0,0,0,5,5,1,3
1,Tân An,9,89,Long An,185,2016,43,16,5,27,8,5,7,13,12,7,24,18
2,Tân Hưng,3,94,Long An,57,2016,6,3,1,1,6,0,4,4,4,12,11,5
3,Vĩnh Hưng,132,81,Long An,30,2016,8,2,0,3,3,1,1,2,4,1,1,4
4,Mộc Hóa,4,84,Long An,10,2016,0,0,0,0,0,0,1,0,1,2,4,2
5,Tân Thạnh,5,92,Long An,55,2016,5,5,5,5,8,6,4,6,4,4,1,2
6,Thạnh Hóa,6,85,Long An,35,2016,3,1,0,4,1,5,1,2,2,11,2,3
7,Đức Huệ,7,86,Long An,61,2016,7,2,8,1,1,4,2,3,6,9,7,11
8,Đức Hòa,8,82,Long An,558,2016,83,58,38,24,9,14,27,54,74,64,74,39
9,Bến Lức,9,83,Long An,174,2016,10,15,14,26,10,11,10,5,7,20,26,20
10,Thủ Thừa,10,93,Long An,93,2016,7,3,4,17,9,4,9,5,9,15,4,7
11,Châu Thành,11,91,Long An,96,2016,11,8,14,8,6,8,4,8,5,10,9,5
12,Tân Trụ,12,88,Long An,81,2016,15,4,5,9,1,7,9,5,3,4,7,12
13,Cần Đước,13,95,Long An,263,2016,15,12,27,33,29,22,25,20,23,18,18,21
14,Cần Giuộc,14,90,Long An,158,2016,16,16,14,20,14,10,8,10,23,12,6,9
15,Kiến Tường,,87,Long An,19,2016,3,0,0,0,1,0,2,2,2,2,2,5
1,Tân An,9,89,Long An,315,2017,22,25,18,21,34,13,36,49,28,26,23,20
2,Tân Hưng,3,94,Long An,57,2017,2,0,2,3,16,8,4,10,3,5,2,2
3,Vĩnh Hưng,132,81,Long An,11,2017,3,1,0,0,3,1,0,0,2,1,0,0
4,Mộc Hóa,4,84,Long An,28,2017,0,1,2,0,3,1,2,4,8,6,1,0
5,Tân Thạnh,5,92,Long An,92,2017,12,5,3,7,7,6,11,11,7,11,8,4
6,Thạnh Hóa,6,85,Long An,38,2017,2,1,3,2,6,2,6,7,2,3,2,2
7,Đức Huệ,7,86,Long An,49,2017,4,5,2,4,3,9,6,5,5,3,1,2
8,Đức Hòa,8,82,Long An,785,2017,30,35,27,25,34,89,113,128,125,86,39,54
9,Bến Lức,9,83,Long An,391,2017,27,12,21,17,47,60,66,61,25,30,13,12
10,Thủ Thừa,10,93,Long An,99,2017,12,8,3,8,11,6,9,9,12,14,3,4
11,Châu Thành,11,91,Long An,129,2017,7,11,14,10,10,17,17,16,12,7,5,3
12,Tân Trụ,12,88,Long An,110,2017,5,7,5,10,6,15,17,12,8,8,8,9
13,Cần Đước,13,95,Long An,344,2017,18,20,16,27,28,60,60,46,33,16,12,8
14,Cần Giuộc,14,90,Long An,266,2017,19,23,9,21,28,33,49,25,26,18,7,8
15,Kiến Tường,,87,Long An,13,2017,3,0,1,1,2,2,0,1,1,0,2,0
1,Tân An,9,89,Long An,218,2018,14,8,8,6,5,9,13,18,14,28,37,58
2,Tân Hưng,3,94,Long An,175,2018,1,1,1,3,4,7,5,5,10,42,69,27
3,Vĩnh Hưng,132,81,Long An,101,2018,0,0,0,0,0,2,0,2,8,26,29,34
4,Mộc Hóa,4,84,Long An,20,2018,1,0,0,0,2,1,1,1,1,6,5,2
5,Tân Thạnh,5,92,Long An,73,2018,0,4,1,2,2,11,8,3,8,6,13,15
6,Thạnh Hóa,6,85,Long An,47,2018,2,0,0,1,1,1,1,2,12,5,12,10
7,Đức Huệ,7,86,Long An,50,2018,3,2,4,2,1,3,4,4,7,10,6,4
8,Đức Hòa,8,82,Long An,597,2018,30,25,28,19,17,31,51,73,63,92,73,95
9,Bến Lức,9,83,Long An,537,2018,11,4,9,5,9,21,40,40,80,121,111,86
10,Thủ Thừa,10,93,Long An,99,2018,5,1,3,1,2,6,12,12,8,11,23,15
11,Châu Thành,11,91,Long An,148,2018,8,6,2,7,3,9,13,11,15,18,23,33
12,Tân Trụ,12,88,Long An,122,2018,3,3,0,3,7,9,6,11,15,27,23,15
13,Cần Đước,13,95,Long An,235,2018,10,2,9,6,5,10,12,22,39,56,42,22
14,Cần Giuộc,14,90,Long An,256,2018,10,5,6,9,20,20,21,25,31,44,45,20
15,Kiến Tường,,87,Long An,50,2018,1,0,0,0,1,1,0,4,5,18,10,10
1,Sóc Trăng,76,103,Soc Trang,38,2001,0,0,1,1,5,6,11,5,3,1,1,4
2,Kế Sách,77,98,Soc Trang,24,2001,5,1,2,0,1,3,3,7,1,0,0,1
3,Mỹ Xuyên,98,101,Soc Trang,34,2001,1,0,0,0,2,12,6,6,1,4,0,2
4,Mỹ Tú,101,100,Soc Trang,75,2001,3,2,1,1,8,32,6,7,4,3,5,3
5,Long Phú,100,99,Soc Trang,20,2001,1,6,0,2,2,2,3,1,1,0,0,2
6,Vĩnh Châu,80,106,Soc Trang,2,2001,0,0,0,0,1,0,0,0,1,0,0,0
7,Thạnh Trị,78,104,Soc Trang,49,2001,1,0,0,1,2,22,4,6,2,9,2,0
1,Sóc Trăng,76,103,Soc Trang,385,2002,2,2,2,0,7,50,79,75,79,47,20,22
2,Kế Sách,77,98,Soc Trang,60,2002,0,1,0,0,2,6,7,13,11,12,3,5
3,Mỹ Xuyên,98,101,Soc Trang,90,2002,0,0,0,0,3,19,21,19,4,15,8,1
4,Mỹ Tú,101,100,Soc Trang,301,2002,1,5,1,5,6,136,31,20,6,66,11,13
5,Long Phú,100,99,Soc Trang,42,2002,1,0,0,0,6,6,11,6,4,4,4,0
6,Vĩnh Châu,80,106,Soc Trang,95,2002,0,0,1,4,1,0,28,20,23,12,4,2
7,Thạnh Trị,78,104,Soc Trang,49,2002,0,0,0,4,4,2,25,9,0,1,4,0
1,Sóc Trăng,76,103,Soc Trang,387,2003,23,16,21,54,59,55,45,30,16,12,21,35
2,Kế Sách,77,98,Soc Trang,24,2003,2,1,0,0,2,2,2,1,3,3,1,7
3,Mỹ Xuyên,98,101,Soc Trang,63,2003,1,1,9,7,3,2,12,7,1,1,18,1
4,Mỹ Tú,101,100,Soc Trang,209,2003,22,5,23,10,36,61,9,10,14,8,3,8
5,Long Phú,100,99,Soc Trang,15,2003,0,2,1,0,1,3,1,0,3,1,1,2
6,Vĩnh Châu,80,106,Soc Trang,52,2003,12,4,5,7,12,7,1,0,1,1,2,0
7,Thạnh Trị,78,104,Soc Trang,176,2003,1,1,1,18,66,46,25,9,3,2,4,0
8,Cù Lao Dung,97,97,Soc Trang,7,2003,0,0,0,0,0,1,0,1,3,0,1,1
1,Sóc Trăng,76,103,Soc Trang,961,2004,25,31,47,22,253,116,228,133,23,54,17,12
2,Kế Sách,77,98,Soc Trang,384,2004,5,12,0,2,2,88,96,56,78,21,8,16
3,Mỹ Xuyên,98,101,Soc Trang,615,2004,13,13,12,38,63,264,121,4,30,19,22,16
4,Mỹ Tú,101,100,Soc Trang,1430,2004,17,11,22,90,233,637,334,26,36,10,8,6
5,Long Phú,100,99,Soc Trang,568,2004,9,5,3,9,37,336,84,5,16,24,31,9
6,Vĩnh Châu,80,106,Soc Trang,167,2004,0,6,2,18,58,9,25,21,8,8,8,4
7,Thạnh Trị,78,104,Soc Trang,165,2004,2,1,10,35,23,60,15,8,1,4,4,2
8,Cù Lao Dung,97,97,Soc Trang,38,2004,2,0,4,0,0,12,12,2,2,2,1,1
9,Ngã Năm,79,102,Soc Trang,55,2004,0,0,1,0,22,4,0,9,5,4,5,5
1,Sóc Trăng,76,103,Soc Trang,294,2005,4,3,1,6,12,53,66,29,43,34,21,22
2,Kế Sách,77,98,Soc Trang,274,2005,3,5,3,12,21,29,47,29,43,27,37,18
3,Mỹ Xuyên,98,101,Soc Trang,164,2005,11,6,1,9,37,36,22,4,5,13,14,6
4,Mỹ Tú,101,100,Soc Trang,362,2005,10,5,2,9,27,61,49,60,38,49,35,17
5,Long Phú,100,99,Soc Trang,394,2005,8,6,14,16,81,82,51,35,19,32,37,13
6,Vĩnh Châu,80,106,Soc Trang,74,2005,1,0,4,5,8,9,23,2,2,9,7,4
7,Thạnh Trị,78,104,Soc Trang,55,2005,1,0,0,4,7,11,22,3,1,4,0,2
8,Cù Lao Dung,97,97,Soc Trang,86,2005,2,2,4,5,4,7,20,19,9,6,8,0
9,Ngã Năm,79,102,Soc Trang,138,2005,1,5,7,8,12,2,37,11,15,13,11,16
1,Sóc Trăng,76,103,Soc Trang,455,2006,18,17,14,35,73,68,64,42,60,64,,
2,Kế Sách,77,98,Soc Trang,411,2006,5,17,21,38,53,54,44,53,71,55,,
3,Mỹ Xuyên,98,101,Soc Trang,190,2006,16,9,24,31,16,18,34,11,17,14,,
4,Mỹ Tú,101,100,Soc Trang,316,2006,7,9,14,15,27,93,45,36,39,31,,
5,Long Phú,100,99,Soc Trang,167,2006,1,6,10,27,43,23,22,12,6,17,,
6,Vĩnh Châu,80,106,Soc Trang,84,2006,1,6,5,8,21,4,4,8,15,12,,
7,Thạnh Trị,78,104,Soc Trang,54,2006,1,5,2,1,6,13,11,0,5,10,,
8,Cù Lao Dung,97,97,Soc Trang,53,2006,1,1,1,0,3,7,5,1,18,16,,
9,Ngã Năm,79,102,Soc Trang,36,2006,3,0,2,2,5,10,6,3,1,4,,
1,Cù Lao Dung,97,97,Soc Trang,194,2007,7,8,4,10,11,22,35,33,28,36,,
2,Ngã Năm,79,102,Soc Trang,46,2007,1,0,2,4,6,9,10,6,3,5,,
3,Sóc Trăng,76,103,Soc Trang,564,2007,45,24,26,26,43,118,75,94,65,48,,
4,Kế Sách,77,98,Soc Trang,367,2007,12,10,7,10,15,38,40,68,100,67,,
5,Long Phú,100,99,Soc Trang,229,2007,6,5,8,15,36,40,33,22,29,35,,
6,Mỹ Tú,101,100,Soc Trang,472,2007,24,12,9,25,56,136,70,49,58,33,,
7,Mỹ Xuyên,98,101,Soc Trang,374,2007,10,7,19,22,45,84,61,43,41,42,,
8,Thạnh Trị,78,104,Soc Trang,86,2007,1,0,1,5,12,23,19,6,3,16,,
9,Vĩnh Châu,80,106,Soc Trang,24,2007,3,2,2,2,2,0,3,0,6,4,,
1,Cù Lao Dung,97,97,Soc Trang,207,2008,20,7,6,8,11,37,48,40,19,11,,
2,Ngã Năm,79,102,Soc Trang,95,2008,2,2,2,7,9,7,12,18,17,19,,
3,Sóc Trăng,76,103,Soc Trang,160,2008,10,8,12,10,15,16,26,25,17,21,,
4,Kế Sách,77,98,Soc Trang,582,2008,14,7,6,16,27,120,103,71,100,118,,
5,Long Phú,100,99,Soc Trang,306,2008,17,20,20,38,51,49,44,24,21,22,,
6,Mỹ Tú,101,100,Soc Trang,579,2008,13,8,19,24,61,52,69,90,123,120,,
7,Mỹ Xuyên,98,101,Soc Trang,230,2008,10,8,16,25,29,32,44,23,12,31,,
8,Thạnh Trị,78,104,Soc Trang,151,2008,7,1,9,12,21,42,25,14,10,10,,
9,Vĩnh Châu,80,106,Soc Trang,54,2008,7,1,0,3,2,2,5,7,11,16,,
1,Cù Lao Dung,97,97,Soc Trang,232,2009,4,6,11,15,20,20,21,39,46,50,,
2,Ngã Năm,79,102,Soc Trang,66,2009,4,1,1,3,20,7,11,2,6,11,,
3,Sóc Trăng,76,103,Soc Trang,241,2009,13,13,11,13,43,30,32,25,20,41,,
4,Kế Sách,77,98,Soc Trang,631,2009,54,44,32,40,53,76,51,77,114,90,,
5,Long Phú,100,99,Soc Trang,230,2009,11,11,15,10,27,57,28,16,23,32,,
6,Mỹ Tú,101,100,Soc Trang,243,2009,11,12,7,18,20,30,56,25,35,29,,
7,Châu Thành,102,96,Soc Trang,190,2009,9,6,3,22,39,43,28,12,9,19,,
8,Mỹ Xuyên,98,101,Soc Trang,184,2009,8,6,10,17,40,32,19,12,11,29,,
9,Thạnh Trị,78,104,Soc Trang,228,2009,4,7,28,31,46,52,32,9,11,8,,
10,Vĩnh Châu,80,106,Soc Trang,83,2009,7,7,10,6,14,11,8,3,5,12,,
1,Cù Lao Dung,97,97,Soc Trang,73,2010,15,4,0,0,1,47,5,0,0,1,,
2,Ngã Năm,79,102,Soc Trang,4,2010,2,0,0,0,0,0,1,0,0,1,,
3,Sóc Trăng,76,103,Soc Trang,86,2010,13,2,0,0,18,20,5,0,0,28,,
4,Kế Sách,77,98,Soc Trang,112,2010,34,0,0,0,4,67,5,0,0,2,,
5,Long Phú,100,99,Soc Trang,70,2010,11,0,0,0,11,28,1,0,0,19,,
6,Mỹ Tú,101,100,Soc Trang,29,2010,3,1,0,0,2,14,1,0,0,8,,
7,Châu Thành,102,96,Soc Trang,47,2010,4,0,0,0,10,13,4,0,0,16,,
8,Mỹ Xuyên,98,101,Soc Trang,57,2010,5,2,0,0,15,19,0,0,0,16,,
9,Thạnh Trị,78,104,Soc Trang,17,2010,3,0,0,0,9,4,0,0,0,1,,
10,Vĩnh Châu,80,106,Soc Trang,10,2010,1,0,0,0,0,2,4,0,0,3,,
11,Trần Đề,99,105,Soc Trang,53,2010,,0,0,0,18,27,2,0,0,6,,
1,Cù Lao Dung,97,97,Soc Trang,37,2011,23,0,0,0,2,0,3,0,0,9,,
2,Ngã Năm,79,102,Soc Trang,40,2011,1,0,0,0,1,0,2,0,0,36,,
3,Sóc Trăng,76,103,Soc Trang,53,2011,7,2,0,0,30,0,2,0,0,12,,
4,Kế Sách,77,98,Soc Trang,58,2011,31,2,0,0,1,0,2,0,0,22,,
5,Long Phú,100,99,Soc Trang,51,2011,13,0,0,0,25,0,3,0,0,10,,
6,Mỹ Tú,101,100,Soc Trang,25,2011,3,0,0,0,12,0,3,0,0,7,,
7,Châu Thành,102,96,Soc Trang,36,2011,6,1,0,0,19,0,1,0,0,9,,
8,Mỹ Xuyên,98,101,Soc Trang,21,2011,3,1,0,0,8,0,2,0,0,7,,
9,Thạnh Trị,78,104,Soc Trang,19,2011,2,1,0,0,5,0,1,0,0,10,,
10,Vĩnh Châu,80,106,Soc Trang,25,2011,3,0,0,0,7,0,3,0,0,12,,
11,Trần Đề,99,105,Soc Trang,39,2011,2,0,0,0,18,0,1,0,0,18,,
1,Cù Lao Dung,97,97,Soc Trang,204,2012,5,2,8,10,9,26,30,37,23,30,14,10
2,Ngã Năm,79,102,Soc Trang,347,2012,14,10,14,8,13,31,29,40,51,64,44,29
3,Sóc Trăng,76,103,Soc Trang,567,2012,12,8,12,17,15,53,74,66,89,108,74,39
4,Kế Sách,77,98,Soc Trang,389,2012,11,19,16,10,29,50,40,49,59,54,36,16
5,Long Phú,100,99,Soc Trang,344,2012,13,7,8,12,20,66,39,49,63,38,19,10
6,Mỹ Tú,101,100,Soc Trang,311,2012,7,3,6,6,15,54,25,43,59,53,29,11
7,Châu Thành,102,96,Soc Trang,189,2012,6,6,8,8,18,32,12,23,17,21,16,22
8,Mỹ Xuyên,98,101,Soc Trang,363,2012,3,12,9,22,6,70,51,50,55,44,30,11
9,Thạnh Trị,78,104,Soc Trang,162,2012,14,9,15,5,9,13,9,18,26,34,7,3
10,Vĩnh Châu,80,106,Soc Trang,210,2012,6,6,5,21,10,24,37,30,28,19,20,4
11,Trần Đề,99,105,Soc Trang,345,2012,4,7,13,20,46,77,67,27,34,25,11,14
1,Cù Lao Dung,97,97,Soc Trang,145,2013,5,4,15,17,12,22,14,22,5,9,10,10
2,Ngã Năm,79,102,Soc Trang,82,2013,15,2,4,10,13,9,9,5,5,3,6,1
3,Sóc Trăng,76,103,Soc Trang,228,2013,54,19,27,23,20,34,14,10,10,3,6,8
4,Kế Sách,77,98,Soc Trang,89,2013,12,15,8,4,8,5,3,4,7,4,8,11
5,Long Phú,100,99,Soc Trang,100,2013,9,5,10,4,24,26,9,4,4,2,1,2
6,Mỹ Tú,101,100,Soc Trang,70,2013,15,7,4,0,3,12,6,5,0,5,10,3
7,Châu Thành,102,96,Soc Trang,85,2013,14,8,5,5,10,10,5,4,6,5,8,5
8,Mỹ Xuyên,98,101,Soc Trang,92,2013,7,4,2,1,4,21,19,10,5,4,9,6
9,Thạnh Trị,78,104,Soc Trang,35,2013,3,2,6,3,7,3,3,5,0,1,2,0
10,Vĩnh Châu,80,106,Soc Trang,59,2013,3,0,9,11,11,11,6,3,3,0,0,2
11,Trần Đề,99,105,Soc Trang,157,2013,5,3,3,5,27,48,37,10,7,7,3,2
1,Cù Lao Dung,97,97,Soc Trang,116,2014,5,3,2,1,12,13,9,9,10,17,25,10
2,Ngã Năm,79,102,Soc Trang,21,2014,2,0,1,0,2,1,3,3,1,2,3,3
3,Sóc Trăng,76,103,Soc Trang,113,2014,7,6,6,11,23,18,6,8,12,7,3,6
4,Kế Sách,77,98,Soc Trang,19,2014,3,0,0,3,0,2,3,1,0,4,1,2
5,Long Phú,100,99,Soc Trang,44,2014,2,0,1,7,6,7,2,4,7,3,3,2
6,Mỹ Tú,101,100,Soc Trang,50,2014,8,1,6,2,14,4,4,1,4,3,0,3
7,Châu Thành,102,96,Soc Trang,25,2014,6,0,0,3,4,4,2,1,1,3,0,1
8,Mỹ Xuyên,98,101,Soc Trang,66,2014,1,3,3,9,8,4,5,6,6,11,6,4
9,Thạnh Trị,78,104,Soc Trang,17,2014,5,0,2,1,1,1,0,0,1,5,1,0
10,Vĩnh Châu,80,106,Soc Trang,250,2014,2,0,10,12,27,15,15,27,22,36,55,29
11,Trần Đề,99,105,Soc Trang,60,2014,4,2,3,1,7,9,8,4,9,9,3,1
1,Cù Lao Dung,97,97,Soc Trang,83,2015,2,2,6,2,1,7,1,2,3,13,17,27
2,Ngã Năm,79,102,Soc Trang,15,2015,1,1,1,0,1,1,0,2,1,1,2,4
3,Sóc Trăng,76,103,Soc Trang,175,2015,11,3,0,3,7,9,12,14,16,34,31,35
4,Kế Sách,77,98,Soc Trang,55,2015,1,7,0,0,2,1,3,8,12,4,6,11
5,Long Phú,100,99,Soc Trang,63,2015,3,0,0,3,2,4,3,9,8,10,16,5
6,Mỹ Tú,101,100,Soc Trang,50,2015,0,0,1,1,3,5,3,6,2,22,2,5
7,Châu Thành,102,96,Soc Trang,42,2015,1,2,0,1,1,1,4,5,4,3,10,10
8,Mỹ Xuyên,98,101,Soc Trang,202,2015,5,0,1,0,0,8,19,22,19,50,52,26
9,Thạnh Trị,78,104,Soc Trang,81,2015,0,0,0,1,5,4,6,15,13,12,18,7
10,Vĩnh Châu,80,106,Soc Trang,681,2015,12,11,62,138,74,68,47,48,52,86,50,33
11,Trần Đề,99,105,Soc Trang,60,2015,1,2,1,1,3,4,6,8,9,7,9,9
1,Cù Lao Dung,97,97,Soc Trang,226,2016,23,14,22,15,21,23,9,8,16,22,23,30
2,Ngã Năm,79,102,Soc Trang,27,2016,0,1,1,6,4,6,1,3,0,2,3,0
3,Sóc Trăng,76,103,Soc Trang,225,2016,14,16,9,9,16,18,13,16,30,36,29,19
4,Kế Sách,77,98,Soc Trang,69,2016,6,5,5,4,4,3,6,7,7,7,7,8
5,Long Phú,100,99,Soc Trang,121,2016,7,3,7,11,11,16,18,13,13,11,10,1
6,Mỹ Tú,101,100,Soc Trang,67,2016,5,5,1,6,3,6,10,6,10,8,4,3
7,Châu Thành,102,96,Soc Trang,55,2016,8,4,2,2,3,5,8,5,10,2,4,2
8,Mỹ Xuyên,98,101,Soc Trang,183,2016,5,5,15,31,10,20,11,21,22,27,11,5
9,Thạnh Trị,78,104,Soc Trang,72,2016,5,4,11,8,0,4,5,8,14,3,6,4
10,Vĩnh Châu,80,106,Soc Trang,311,2016,33,26,39,65,36,41,17,17,12,12,3,10
11,Trần Đề,99,105,Soc Trang,387,2016,2,6,25,76,84,48,81,35,12,8,9,1
1,Cù Lao Dung,97,97,Soc Trang,380,2017,13,12,10,14,28,40,64,76,68,40,11,4
2,Ngã Năm,79,102,Soc Trang,62,2017,2,3,1,1,8,11,2,20,6,4,3,1
3,Sóc Trăng,76,103,Soc Trang,389,2017,13,13,9,15,29,38,87,67,60,32,21,5
4,Kế Sách,77,98,Soc Trang,150,2017,5,6,2,11,10,16,16,35,19,12,14,4
5,Long Phú,100,99,Soc Trang,299,2017,6,2,8,22,35,66,51,42,31,27,4,5
6,Mỹ Tú,101,100,Soc Trang,158,2017,6,3,6,13,12,18,40,25,19,11,4,1
7,Châu Thành,102,96,Soc Trang,97,2017,6,5,3,3,10,26,12,16,5,7,3,1
8,Mỹ Xuyên,98,101,Soc Trang,262,2017,6,6,10,18,38,36,47,43,34,16,3,5
9,Thạnh Trị,78,104,Soc Trang,55,2017,2,1,1,8,11,4,6,14,6,1,1,0
10,Vĩnh Châu,80,106,Soc Trang,266,2017,6,5,20,23,20,32,22,39,42,23,22,12
11,Trần Đề,99,105,Soc Trang,340,2017,0,0,2,14,52,120,64,31,35,19,3,0
1,Cù Lao Dung,97,97,Soc Trang,90,2018,3,3,4,3,7,18,10,7,10,14,4,7
2,Ngã Năm,79,102,Soc Trang,46,2018,2,4,3,2,3,1,5,6,5,10,4,1
3,Sóc Trăng,76,103,Soc Trang,176,2018,16,3,5,5,8,15,5,12,37,38,21,11
4,Kế Sách,77,98,Soc Trang,75,2018,5,3,1,0,6,7,2,12,13,12,14,0
5,Long Phú,100,99,Soc Trang,117,2018,4,1,6,3,12,16,21,12,16,13,4,9
6,Mỹ Tú,101,100,Soc Trang,61,2018,0,1,6,0,1,6,7,6,7,14,6,7
7,Châu Thành,102,96,Soc Trang,32,2018,0,0,0,3,2,5,3,3,3,5,7,1
8,Mỹ Xuyên,98,101,Soc Trang,146,2018,4,4,4,9,8,21,19,18,20,21,10,8
9,Thạnh Trị,78,104,Soc Trang,35,2018,0,3,2,4,0,4,2,1,6,6,5,2
10,Vĩnh Châu,80,106,Soc Trang,240,2018,6,8,2,3,17,63,41,37,17,20,18,8
11,Trần Đề,99,105,Soc Trang,158,2018,2,0,5,6,8,14,15,29,29,29,13,8
1,Cái Bè,39,107,Tien Giang,866,2001,27,42,23,17,28,58,119,167,136,115,77,57
2,Cai Lậy,122,108 & 109,Tien Giang,1033,2001,51,34,48,24,33,103,176,115,161,142,109,37
3,Tân Phước,36,117,Tien Giang,44,2001,2,0,0,0,1,2,6,8,3,4,13,5
4,Châu Thành,37,111,Tien Giang,590,2001,12,10,17,15,27,74,75,116,45,83,80,36
5,Mỹ Tho,34,115,Tien Giang,312,2001,11,15,20,23,19,42,53,48,23,22,22,14
6,Chợ Gạo,38,110,Tien Giang,442,2001,10,12,9,2,10,25,66,107,66,49,46,40
7,Gò Công Tây,40,114,Tien Giang,267,2001,0,9,2,1,4,30,61,56,37,37,24,6
8,Gò Công,35,112,Tien Giang,47,2001,0,0,0,0,0,2,23,11,6,2,1,2
9,Gò Công Đông,41,113,Tien Giang,621,2001,2,1,0,4,11,141,266,116,50,20,4,6
1,Cái Bè,39,107,Tien Giang,314,2002,25,15,18,13,10,5,17,24,75,55,25,32
2,Cai Lậy,122,108 & 109,Tien Giang,262,2002,21,13,8,8,7,6,11,13,36,54,45,40
3,Tân Phước,36,117,Tien Giang,11,2002,0,0,0,0,1,0,3,0,5,0,2,0
4,Châu Thành,37,111,Tien Giang,220,2002,13,11,3,1,7,11,15,23,41,33,42,20
5,Mỹ Tho,34,115,Tien Giang,192,2002,13,2,4,5,9,13,17,18,36,29,25,21
6,Chợ Gạo,38,110,Tien Giang,348,2002,10,4,6,14,9,17,63,54,52,64,39,16
7,Gò Công Tây,40,114,Tien Giang,208,2002,4,3,4,4,12,23,21,30,42,45,13,7
8,Gò Công,35,112,Tien Giang,15,2002,2,1,0,0,1,3,2,0,1,4,1,0
9,Gò Công Đông,41,113,Tien Giang,358,2002,3,2,3,5,6,35,83,75,64,44,27,11
1,Cái Bè,39,107,Tien Giang,757,2003,38,29,43,40,31,40,50,88,132,90,96,80
2,Cai Lậy,122,108 & 109,Tien Giang,1599,2003,35,33,39,42,37,70,129,199,283,328,239,165
3,Tân Phước,36,117,Tien Giang,155,2003,2,2,0,4,2,13,14,27,44,25,15,7
4,Châu Thành,37,111,Tien Giang,1256,2003,21,12,30,40,50,140,202,210,212,137,110,92
5,Mỹ Tho,34,115,Tien Giang,1509,2003,51,65,82,104,109,211,275,224,161,98,72,57
6,Chợ Gạo,38,110,Tien Giang,855,2003,12,8,19,56,59,103,152,151,120,78,54,43
7,Gò Công Tây,40,114,Tien Giang,91,2003,5,1,1,3,4,5,8,21,10,17,10,6
8,Gò Công,35,112,Tien Giang,93,2003,0,0,2,0,3,10,13,20,27,15,2,1
9,Gò Công Đông,41,113,Tien Giang,276,2003,8,2,5,8,15,20,43,51,50,45,17,12
1,Cái Bè,39,107,Tien Giang,902,2004,84,75,47,71,41,38,59,54,97,114,86,136
2,Cai Lậy,122,108 & 109,Tien Giang,1782,2004,138,99,88,71,62,67,113,162,269,256,244,213
3,Tân Phước,36,117,Tien Giang,87,2004,3,6,0,4,1,5,18,12,9,12,10,7
4,Châu Thành,37,111,Tien Giang,691,2004,35,21,32,35,26,63,88,137,92,79,57,26
5,Mỹ Tho,34,115,Tien Giang,373,2004,30,26,17,35,42,31,56,46,26,23,21,20
6,Chợ Gạo,38,110,Tien Giang,350,2004,19,11,17,15,23,34,44,46,61,42,26,12
7,Gò Công Tây,40,114,Tien Giang,462,2004,3,3,4,0,10,62,137,88,52,55,32,16
8,Gò Công,35,112,Tien Giang,102,2004,0,0,0,0,4,19,37,18,9,9,4,2
9,Gò Công Đông,41,113,Tien Giang,513,2004,3,4,2,12,22,102,160,56,71,44,17,20
1,Cái Bè,39,107,Tien Giang,798,2005,52,36,38,39,35,55,70,66,112,128,104,63
2,Cai Lậy,122,108 & 109,Tien Giang,1420,2005,96,58,77,54,31,66,88,97,194,298,213,148
3,Tân Phước,36,117,Tien Giang,107,2005,2,1,2,2,2,1,4,8,17,23,37,8
4,Châu Thành,37,111,Tien Giang,485,2005,22,9,9,12,11,25,47,85,84,73,73,35
5,Mỹ Tho,34,115,Tien Giang,180,2005,12,7,6,6,13,17,21,19,16,23,19,21
6,Chợ Gạo,38,110,Tien Giang,424,2005,14,5,2,4,9,48,35,43,67,81,59,57
7,Gò Công Tây,40,114,Tien Giang,71,2005,5,1,2,2,0,7,7,21,10,4,9,3
8,Gò Công,35,112,Tien Giang,19,2005,0,0,0,2,1,1,3,3,4,2,2,1
9,Gò Công Đông,41,113,Tien Giang,211,2005,6,5,6,5,11,73,50,20,9,16,9,1
1,Cái Bè,39,107,Tien Giang,273,2006,51,31,30,18,8,23,20,29,32,31,,
2,Cai Lậy,122,108 & 109,Tien Giang,494,2006,71,45,30,24,32,43,60,52,74,63,,
3,Tân Phước,36,117,Tien Giang,49,2006,5,2,2,1,0,3,8,14,9,5,,
4,Châu Thành,37,111,Tien Giang,712,2006,33,29,30,29,47,67,129,156,117,75,,
5,Mỹ Tho,34,115,Tien Giang,415,2006,34,22,18,17,24,36,41,52,72,99,,
