VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
go cong,163.615,2001,163615,Tiền Giang,Town
go cong dong,200.509,2001,200509,Tiền Giang,District
go cong tay,180.61,2001,180610,Tiền Giang,District
my tho,138.883,2001,138883,Tiền Giang,City
tan phu dong,32.409,2001,32409,Tiền Giang,District
tan phuoc,89.843,2001,89843,Tiền Giang,District
cau ke,117.657,2001,117657,Trà Vinh,District
cau ngang,195.093,2001,195093,Trà Vinh,District
cang long,102.477,2001,102477,Trà Vinh,District
chau thanh,146.467,2001,146467,Trà Vinh,District
duyen hai,74.705,2001,74705,Trà Vinh,District
duyen hai,66.216,2001,66216,Trà Vinh,Town
tieu can,85.753,2001,85753,Trà Vinh,District
tra cu,160.91,2001,160910,Trà Vinh,District
tra vinh,87.566,2001,87566,Trà Vinh,City
binh minh,133.222,2001,133222,Vĩnh Long,Town
binh tan,72.569,2001,72569,Vĩnh Long,District
long ho,131.506,2001,131506,Vĩnh Long,District
mang thit,91.85,2001,91850,Vĩnh Long,District
tam binh,179.908,2001,179908,Vĩnh Long,District
tra on,174.307,2001,174307,Vĩnh Long,District
vinh long,122.709,2001,122709,Vĩnh Long,City
vung liem,172.998,2001,172998,Vĩnh Long,District
an phu,170.349,2002,170349,An Giang,District
cho moi,284.029,2002,284029,An Giang,District
chau doc,90.76,2002,90760,An Giang,City
chau phu,258.752,2002,258752,An Giang,District
chau thanh,158.118,2002,158118,An Giang,District
long xuyen,229.594,2002,229594,An Giang,City
phu tan,168.045,2002,168045,An Giang,District
tinh bien,212.209,2002,212209,An Giang,District
tan chau,185.37,2002,185370,An Giang,Town
thoai son,164.257,2002,164257,An Giang,District
tri ton,239.148,2002,239148,An Giang,District
bac lieu,155.841,2002,155841,Bạc Liêu,City
dong hai,106.166,2002,106166,Bạc Liêu,District
gia rai,153.986,2002,153986,Bạc Liêu,Town
hong dan,100.418,2002,100418,Bạc Liêu,District
hoa binh,98.651,2002,98651,Bạc Liêu,District
phuoc long,109.893,2002,109893,Bạc Liêu,District
vinh loi,74.472,2002,74472,Bạc Liêu,District
ben tre,122.362,2002,122362,Bến Tre,City
ba tri,290.744,2002,290744,Bến Tre,District
binh dai,167.467,2002,167467,Bến Tre,District
cho lach,58.29,2002,58290,Bến Tre,District
chau thanh,45.855,2002,45855,Bến Tre,District
giong trom,161.965,2002,161965,Bến Tre,District
mo cay bac,60.729,2002,60729,Bến Tre,District
mo cay nam,164.234,2002,164234,Bến Tre,District
thanh phu,262.371,2002,262371,Bến Tre,District
binh thuy,105.455,2002,105455,Cần Thơ,Urban District
co do,152.455,2002,152455,Cần Thơ,District
cai rang,48.854,2002,48854,Cần Thơ,Urban District
ninh kieu,158.643,2002,158643,Cần Thơ,Urban District
o mon,119.036,2002,119036,Cần Thơ,Urban District
phong dien,94.337,2002,94337,Cần Thơ,District
thot not,64.17,2002,64170,Cần Thơ,Urban District
thoi lai,114.266,2002,114266,Cần Thơ,District
vinh thanh,143.951,2002,143951,Cần Thơ,District
ca mau,178.53,2002,178530,Cà Mau,City
cai nuoc,124.733,2002,124733,Cà Mau,District
dam doi,198.401,2002,198401,Cà Mau,District
nam can,50.671,2002,50671,Cà Mau,District
ngoc hien,60.616,2002,60616,Cà Mau,District
phu tan,138.223,2002,138223,Cà Mau,District
thoi binh,194.904,2002,194904,Cà Mau,District
tran van thoi,113.752,2002,113752,Cà Mau,District
u minh,81.833,2002,81833,Cà Mau,District
cao lanh,177.465,2002,177465,Đồng Tháp,District
cao lanh,167.578,2002,167578,Đồng Tháp,City
chau thanh,173.841,2002,173841,Đồng Tháp,District
hong ngu,120.385,2002,120385,Đồng Tháp,District
hong ngu,43.225,2002,43225,Đồng Tháp,City
lap vo,156.734,2002,156734,Đồng Tháp,District
lai vung,106.735,2002,106735,Đồng Tháp,District
sa dec,72.429,2002,72429,Đồng Tháp,City
tam nong,116.452,2002,116452,Đồng Tháp,District
tan hong,80.852,2002,80852,Đồng Tháp,District
thanh binh,127.716,2002,127716,Đồng Tháp,District
thap muoi,238.859,2002,238859,Đồng Tháp,District
chau thanh,43.435,2002,43435,Hậu Giang,District
chau thanh a,91.592,2002,91592,Hậu Giang,District
long my,117.83,2002,117830,Hậu Giang,District
long my,84.103,2002,84103,Hậu Giang,Town
nga bay,79.866,2002,79866,Hậu Giang,City
phung hiep,267.059,2002,267059,Hậu Giang,District
vi thanh,116.51,2002,116510,Hậu Giang,City
vi thuy,130.053,2002,130053,Hậu Giang,District
an bien,50.16,2002,50160,Kiên Giang,District
an minh,82.156,2002,82156,Kiên Giang,District
chau thanh,157.137,2002,157137,Kiên Giang,District
giong rieng,125.133,2002,125133,Kiên Giang,District
giang thanh,68.864,2002,68864,Kiên Giang,District
go quao,99.697,2002,99697,Kiên Giang,District
ha tien,62.636,2002,62636,Kiên Giang,City
hon dat,268.755,2002,268755,Kiên Giang,District
kien hai,0.042,2002,42,Kiên Giang,District
kien luong,96.525,2002,96525,Kiên Giang,District
phu quoc,17.313,2002,17313,Kiên Giang,City
rach gia,199.291,2002,199291,Kiên Giang,City
tan hiep,156.244,2002,156244,Kiên Giang,District
u minh thuong,56.526,2002,56526,Kiên Giang,District
vinh thuan,105.747,2002,105747,Kiên Giang,District
ben luc,90.787,2002,90787,Long An,District
can duoc,102.161,2002,102161,Long An,District
can giuoc,114.063,2002,114063,Long An,District
