VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
phuoc long,128.312,2005,128312,Bạc Liêu,District
vinh loi,80.641,2005,80641,Bạc Liêu,District
ben tre,106.28,2005,106280,Bến Tre,City
ba tri,290.041,2005,290041,Bến Tre,District
binh dai,188.963,2005,188963,Bến Tre,District
cho lach,61.273,2005,61273,Bến Tre,District
chau thanh,45.339,2005,45339,Bến Tre,District
giong trom,167.205,2005,167205,Bến Tre,District
mo cay bac,66.749,2005,66749,Bến Tre,District
mo cay nam,169.457,2005,169457,Bến Tre,District
thanh phu,283.717,2005,283717,Bến Tre,District
binh thuy,140.741,2005,140741,Cần Thơ,Urban District
co do,135.736,2005,135736,Cần Thơ,District
cai rang,49.43,2005,49430,Cần Thơ,Urban District
ninh kieu,191.587,2005,191587,Cần Thơ,Urban District
o mon,102.559,2005,102559,Cần Thơ,Urban District
phong dien,91.305,2005,91305,Cần Thơ,District
thot not,71.346,2005,71346,Cần Thơ,Urban District
thoi lai,127.905,2005,127905,Cần Thơ,District
vinh thanh,148.087,2005,148087,Cần Thơ,District
ca mau,174.289,2005,174289,Cà Mau,City
cai nuoc,137.929,2005,137929,Cà Mau,District
dam doi,213.908,2005,213908,Cà Mau,District
nam can,51.394,2005,51394,Cà Mau,District
ngoc hien,44.627,2005,44627,Cà Mau,District
phu tan,151.975,2005,151975,Cà Mau,District
thoi binh,207.071,2005,207071,Cà Mau,District
tran van thoi,118.284,2005,118284,Cà Mau,District
u minh,85.513,2005,85513,Cà Mau,District
cao lanh,192.137,2005,192137,Đồng Tháp,District
cao lanh,171.008,2005,171008,Đồng Tháp,City
chau thanh,170.566,2005,170566,Đồng Tháp,District
hong ngu,105.201,2005,105201,Đồng Tháp,District
hong ngu,41.865,2005,41865,Đồng Tháp,City
lap vo,171.546,2005,171546,Đồng Tháp,District
lai vung,116.074,2005,116074,Đồng Tháp,District
sa dec,66.921,2005,66921,Đồng Tháp,City
tam nong,119.562,2005,119562,Đồng Tháp,District
tan hong,89.522,2005,89522,Đồng Tháp,District
thanh binh,123.009,2005,123009,Đồng Tháp,District
thap muoi,261.868,2005,261868,Đồng Tháp,District
chau thanh,43.759,2005,43759,Hậu Giang,District
chau thanh a,98.976,2005,98976,Hậu Giang,District
long my,135.208,2005,135208,Hậu Giang,District
long my,92.95,2005,92950,Hậu Giang,Town
nga bay,71.758,2005,71758,Hậu Giang,City
phung hiep,261.721,2005,261721,Hậu Giang,District
vi thanh,120.29,2005,120290,Hậu Giang,City
vi thuy,119.575,2005,119575,Hậu Giang,District
an bien,54.595,2005,54595,Kiên Giang,District
an minh,86.666,2005,86666,Kiên Giang,District
chau thanh,155.799,2005,155799,Kiên Giang,District
giong rieng,136.242,2005,136242,Kiên Giang,District
giang thanh,70.276,2005,70276,Kiên Giang,District
go quao,107.31,2005,107310,Kiên Giang,District
ha tien,49.944,2005,49944,Kiên Giang,City
hon dat,292.841,2005,292841,Kiên Giang,District
kien hai,0.063,2005,63,Kiên Giang,District
kien luong,103.904,2005,103904,Kiên Giang,District
phu quoc,18.187,2005,18187,Kiên Giang,City
rach gia,210.568,2005,210568,Kiên Giang,City
tan hiep,155.372,2005,155372,Kiên Giang,District
u minh thuong,54.876,2005,54876,Kiên Giang,District
vinh thuan,111.055,2005,111055,Kiên Giang,District
ben luc,96.787,2005,96787,Long An,District
can duoc,103.555,2005,103555,Long An,District
can giuoc,120.376,2005,120376,Long An,District
chau thanh,44.81,2005,44810,Long An,District
duc hoa,236.037,2005,236037,Long An,District
duc hue,102.413,2005,102413,Long An,District
kien tuong,54.766,2005,54766,Long An,Town
moc hoa,68.299,2005,68299,Long An,District
tan an,87.861,2005,87861,Long An,City
tan hung,73.786,2005,73786,Long An,District
tan thanh,215.493,2005,215493,Long An,District
tan tru,28.577,2005,28577,Long An,District
thanh hoa,90.184,2005,90184,Long An,District
thu thua,74.497,2005,74497,Long An,District
vinh hung,80.975,2005,80975,Long An,District
chau thanh,120.482,2005,120482,Sóc Trăng,District
cu lao dung,20.521,2005,20521,Sóc Trăng,District
ke sach,86.524,2005,86524,Sóc Trăng,District
long phu,105.392,2005,105392,Sóc Trăng,District
my tu,139.073,2005,139073,Sóc Trăng,District
my xuyen,129.446,2005,129446,Sóc Trăng,District
nga nam,105.409,2005,105409,Sóc Trăng,Town
soc trang,176.47,2005,176470,Sóc Trăng,City
thanh tri,99.67,2005,99670,Sóc Trăng,District
tran de,174.624,2005,174624,Sóc Trăng,District
vinh chau,149.988,2005,149988,Sóc Trăng,Town
cai be,354.025,2005,354025,Tiền Giang,District
cai lay,189.341,2005,189341,Tiền Giang,District
cai lay,180.555,2005,180555,Tiền Giang,Town
cho gao,69.031,2005,69031,Tiền Giang,District
chau thanh,147.592,2005,147592,Tiền Giang,District
go cong,153.824,2005,153824,Tiền Giang,Town
go cong dong,218.465,2005,218465,Tiền Giang,District
go cong tay,172.475,2005,172475,Tiền Giang,District
my tho,139.984,2005,139984,Tiền Giang,City
tan phu dong,37.697,2005,37697,Tiền Giang,District
tan phuoc,85.472,2005,85472,Tiền Giang,District
cau ke,110.114,2005,110114,Trà Vinh,District
cau ngang,221.813,2005,221813,Trà Vinh,District
cang long,111.502,2005,111502,Trà Vinh,District
chau thanh,153.575,2005,153575,Trà Vinh,District
duyen hai,76.236,2005,76236,Trà Vinh,District
duyen hai,58.756,2005,58756,Trà Vinh,Town
tieu can,88.814,2005,88814,Trà Vinh,District
tra cu,169.187,2005,169187,Trà Vinh,District
tra vinh,90.599,2005,90599,Trà Vinh,City
binh minh,110.288,2005,110288,Vĩnh Long,Town
binh tan,55.402,2005,55402,Vĩnh Long,District
long ho,139.429,2005,139429,Vĩnh Long,District
mang thit,107.823,2005,107823,Vĩnh Long,District
tam binh,191.957,2005,191957,Vĩnh Long,District
tra on,193.903,2005,193903,Vĩnh Long,District
vinh long,135.276,2005,135276,Vĩnh Long,City
vung liem,206.121,2005,206121,Vĩnh Long,District
an phu,177.302,2006,177302,An Giang,District
cho moi,285.843,2006,285843,An Giang,District
chau doc,78.132,2006,78132,An Giang,City
chau phu,264.365,2006,264365,An Giang,District
chau thanh,182.149,2006,182149,An Giang,District
long xuyen,280.177,2006,280177,An Giang,City
phu tan,166.664,2006,166664,An Giang,District
tinh bien,225.228,2006,225228,An Giang,District
tan chau,157.176,2006,157176,An Giang,Town
thoai son,190.805,2006,190805,An Giang,District
tri ton,255.222,2006,255222,An Giang,District
bac lieu,136.01,2006,136010,Bạc Liêu,City
dong hai,117.502,2006,117502,Bạc Liêu,District
gia rai,155.927,2006,155927,Bạc Liêu,Town
hong dan,111.588,2006,111588,Bạc Liêu,District
hoa binh,104.306,2006,104306,Bạc Liêu,District
phuoc long,129.639,2006,129639,Bạc Liêu,District
vinh loi,81.482,2006,81482,Bạc Liêu,District
ben tre,107.409,2006,107409,Bến Tre,City
ba tri,293.144,2006,293144,Bến Tre,District
binh dai,190.973,2006,190973,Bến Tre,District
cho lach,61.93,2006,61930,Bến Tre,District
chau thanh,45.599,2006,45599,Bến Tre,District
giong trom,168.987,2006,168987,Bến Tre,District
mo cay bac,67.463,2006,67463,Bến Tre,District
mo cay nam,171.269,2006,171269,Bến Tre,District
thanh phu,286.729,2006,286729,Bến Tre,District
binh thuy,142.039,2006,142039,Cần Thơ,Urban District
co do,136.964,2006,136964,Cần Thơ,District
cai rang,49.896,2006,49896,Cần Thơ,Urban District
ninh kieu,193.302,2006,193302,Cần Thơ,Urban District
o mon,103.489,2006,103489,Cần Thơ,Urban District
phong dien,92.138,2006,92138,Cần Thơ,District
thot not,71.995,2006,71995,Cần Thơ,Urban District
thoi lai,129.09,2006,129090,Cần Thơ,District
vinh thanh,149.278,2006,149278,Cần Thơ,District
ca mau,176.006,2006,176006,Cà Mau,City
cai nuoc,139.304,2006,139304,Cà Mau,District
dam doi,216.065,2006,216065,Cà Mau,District
nam can,52,2006,52000,Cà Mau,District
ngoc hien,45.201,2006,45201,Cà Mau,District
phu tan,153.555,2006,153555,Cà Mau,District
thoi binh,209.241,2006,209241,Cà Mau,District
tran van thoi,119.416,2006,119416,Cà Mau,District
u minh,86.428,2006,86428,Cà Mau,District
cao lanh,193.4,2006,193400,Đồng Tháp,District
cao lanh,172.061,2006,172061,Đồng Tháp,City
chau thanh,171.731,2006,171731,Đồng Tháp,District
hong ngu,105.788,2006,105788,Đồng Tháp,District
hong ngu,42.135,2006,42135,Đồng Tháp,City
lap vo,172.686,2006,172686,Đồng Tháp,District
lai vung,116.857,2006,116857,Đồng Tháp,District
sa dec,67.355,2006,67355,Đồng Tháp,City
tam nong,120.32,2006,120320,Đồng Tháp,District
tan hong,90.063,2006,90063,Đồng Tháp,District
thanh binh,123.82,2006,123820,Đồng Tháp,District
thap muoi,263.624,2006,263624,Đồng Tháp,District
chau thanh,44.173,2006,44173,Hậu Giang,District
chau thanh a,99.889,2006,99889,Hậu Giang,District
long my,136.443,2006,136443,Hậu Giang,District
long my,93.796,2006,93796,Hậu Giang,Town
nga bay,72.422,2006,72422,Hậu Giang,City
phung hiep,264.136,2006,264136,Hậu Giang,District
vi thanh,121.388,2006,121388,Hậu Giang,City
vi thuy,120.674,2006,120674,Hậu Giang,District
an bien,55.173,2006,55173,Kiên Giang,District
an minh,87.581,2006,87581,Kiên Giang,District
chau thanh,157.427,2006,157427,Kiên Giang,District
giong rieng,137.705,2006,137705,Kiên Giang,District
giang thanh,70.974,2006,70974,Kiên Giang,District
go quao,108.442,2006,108442,Kiên Giang,District
ha tien,50.441,2006,50441,Kiên Giang,City
hon dat,295.89,2006,295890,Kiên Giang,District
kien hai,0.055,2006,55,Kiên Giang,District
kien luong,104.986,2006,104986,Kiên Giang,District
phu quoc,18.257,2006,18257,Kiên Giang,City
rach gia,212.742,2006,212742,Kiên Giang,City
tan hiep,157.019,2006,157019,Kiên Giang,District
u minh thuong,55.352,2006,55352,Kiên Giang,District
vinh thuan,112.212,2006,112212,Kiên Giang,District
ben luc,97.48,2006,97480,Long An,District
can duoc,104.329,2006,104329,Long An,District
can giuoc,121.281,2006,121281,Long An,District
chau thanh,45.146,2006,45146,Long An,District
duc hoa,237.794,2006,237794,Long An,District
duc hue,103.032,2006,103032,Long An,District
kien tuong,55.152,2006,55152,Long An,Town
moc hoa,68.779,2006,68779,Long An,District
tan an,88.513,2006,88513,Long An,City
tan hung,74.273,2006,74273,Long An,District
tan thanh,217.144,2006,217144,Long An,District
tan tru,28.786,2006,28786,Long An,District
thanh hoa,90.867,2006,90867,Long An,District
thu thua,75.028,2006,75028,Long An,District
vinh hung,81.525,2006,81525,Long An,District
chau thanh,121.798,2006,121798,Sóc Trăng,District
cu lao dung,20.697,2006,20697,Sóc Trăng,District
ke sach,87.468,2006,87468,Sóc Trăng,District
long phu,106.544,2006,106544,Sóc Trăng,District
my tu,140.57,2006,140570,Sóc Trăng,District
my xuyen,130.873,2006,130873,Sóc Trăng,District
nga nam,106.553,2006,106553,Sóc Trăng,Town
soc trang,178.238,2006,178238,Sóc Trăng,City
thanh tri,100.788,2006,100788,Sóc Trăng,District
tran de,176.517,2006,176517,Sóc Trăng,District
vinh chau,151.585,2006,151585,Sóc Trăng,Town
cai be,357.615,2006,357615,Tiền Giang,District
cai lay,191.314,2006,191314,Tiền Giang,District
cai lay,182.452,2006,182452,Tiền Giang,Town
cho gao,69.75,2006,69750,Tiền Giang,District
chau thanh,149.142,2006,149142,Tiền Giang,District
go cong,155.438,2006,155438,Tiền Giang,Town
go cong dong,220.755,2006,220755,Tiền Giang,District
go cong tay,174.274,2006,174274,Tiền Giang,District
my tho,141.475,2006,141475,Tiền Giang,City
tan phu dong,38.103,2006,38103,Tiền Giang,District
tan phuoc,86.358,2006,86358,Tiền Giang,District
cau ke,111.246,2006,111246,Trà Vinh,District
cau ngang,224.053,2006,224053,Trà Vinh,District
cang long,112.663,2006,112663,Trà Vinh,District
chau thanh,155.143,2006,155143,Trà Vinh,District
duyen hai,77.055,2006,77055,Trà Vinh,District
duyen hai,59.385,2006,59385,Trà Vinh,Town
tieu can,89.732,2006,89732,Trà Vinh,District
tra cu,170.908,2006,170908,Trà Vinh,District
tra vinh,91.522,2006,91522,Trà Vinh,City
binh minh,111.451,2006,111451,Vĩnh Long,Town
binh tan,55.912,2006,55912,Vĩnh Long,District
long ho,140.864,2006,140864,Vĩnh Long,District
mang thit,108.955,2006,108955,Vĩnh Long,District
tam binh,193.918,2006,193918,Vĩnh Long,District
tra on,195.928,2006,195928,Vĩnh Long,District
vinh long,136.706,2006,136706,Vĩnh Long,City
vung liem,208.298,2006,208298,Vĩnh Long,District
an phu,179.344,2007,179344,An Giang,District
cho moi,288.762,2007,288762,An Giang,District
chau doc,78.901,2007,78901,An Giang,City
chau phu,267.066,2007,267066,An Giang,District
chau thanh,184.018,2007,184018,An Giang,District
long xuyen,283.024,2007,283024,An Giang,City
phu tan,168.37,2007,168370,An Giang,District
tinh bien,227.514,2007,227514,An Giang,District
tan chau,158.773,2007,158773,An Giang,Town
thoai son,192.757,2007,192757,An Giang,District
tri ton,257.79,2007,257790,An Giang,District
bac lieu,137.374,2007,137374,Bạc Liêu,City
dong hai,118.745,2007,118745,Bạc Liêu,District
gia rai,157.491,2007,157491,Bạc Liêu,Town
hong dan,112.776,2007,112776,Bạc Liêu,District
hoa binh,105.348,2007,105348,Bạc Liêu,District
phuoc long,130.945,2007,130945,Bạc Liêu,District
vinh loi,82.311,2007,82311,Bạc Liêu,District
ben tre,108.504,2007,108504,Bến Tre,City
ba tri,296.125,2007,296125,Bến Tre,District
binh dai,192.913,2007,192913,Bến Tre,District
cho lach,62.554,2007,62554,Bến Tre,District
chau thanh,46.067,2007,46067,Bến Tre,District
giong trom,170.714,2007,170714,Bến Tre,District
mo cay bac,68.149,2007,68149,Bến Tre,District
mo cay nam,173.008,2007,173008,Bến Tre,District
thanh phu,289.646,2007,289646,Bến Tre,District
binh thuy,143.474,2007,143474,Cần Thơ,Urban District
co do,138.387,2007,138387,Cần Thơ,District
cai rang,50.418,2007,50418,Cần Thơ,Urban District
ninh kieu,195.253,2007,195253,Cần Thơ,Urban District
o mon,104.548,2007,104548,Cần Thơ,Urban District
phong dien,93.085,2007,93085,Cần Thơ,District
thot not,72.726,2007,72726,Cần Thơ,Urban District
thoi lai,130.392,2007,130392,Cần Thơ,District
vinh thanh,150.786,2007,150786,Cần Thơ,District
ca mau,177.785,2007,177785,Cà Mau,City
cai nuoc,140.809,2007,140809,Cà Mau,District
dam doi,218.382,2007,218382,Cà Mau,District
nam can,52.449,2007,52449,Cà Mau,District
ngoc hien,45.57,2007,45570,Cà Mau,District
phu tan,155.1,2007,155100,Cà Mau,District
thoi binh,211.409,2007,211409,Cà Mau,District
tran van thoi,120.714,2007,120714,Cà Mau,District
u minh,87.22,2007,87220,Cà Mau,District
cao lanh,195.364,2007,195364,Đồng Tháp,District
cao lanh,173.84,2007,173840,Đồng Tháp,City
chau thanh,173.477,2007,173477,Đồng Tháp,District
hong ngu,106.889,2007,106889,Đồng Tháp,District
hong ngu,42.559,2007,42559,Đồng Tháp,City
lap vo,174.423,2007,174423,Đồng Tháp,District
lai vung,118.037,2007,118037,Đồng Tháp,District
sa dec,68.053,2007,68053,Đồng Tháp,City
tam nong,121.584,2007,121584,Đồng Tháp,District
tan hong,90.959,2007,90959,Đồng Tháp,District
thanh binh,125.081,2007,125081,Đồng Tháp,District
thap muoi,266.248,2007,266248,Đồng Tháp,District
chau thanh,44.627,2007,44627,Hậu Giang,District
chau thanh a,100.901,2007,100901,Hậu Giang,District
long my,137.815,2007,137815,Hậu Giang,District
long my,94.748,2007,94748,Hậu Giang,Town
nga bay,73.157,2007,73157,Hậu Giang,City
phung hiep,266.848,2007,266848,Hậu Giang,District
vi thanh,122.616,2007,122616,Hậu Giang,City
vi thuy,121.888,2007,121888,Hậu Giang,District
an bien,55.75,2007,55750,Kiên Giang,District
an minh,88.481,2007,88481,Kiên Giang,District
chau thanh,159.024,2007,159024,Kiên Giang,District
giong rieng,139.091,2007,139091,Kiên Giang,District
giang thanh,71.682,2007,71682,Kiên Giang,District
go quao,109.533,2007,109533,Kiên Giang,District
ha tien,50.959,2007,50959,Kiên Giang,City
hon dat,298.9,2007,298900,Kiên Giang,District
kien hai,0.064,2007,64,Kiên Giang,District
kien luong,106.039,2007,106039,Kiên Giang,District
phu quoc,18.49,2007,18490,Kiên Giang,City
rach gia,214.922,2007,214922,Kiên Giang,City
tan hiep,158.593,2007,158593,Kiên Giang,District
u minh thuong,55.912,2007,55912,Kiên Giang,District
vinh thuan,113.351,2007,113351,Kiên Giang,District
ben luc,98.496,2007,98496,Long An,District
can duoc,105.395,2007,105395,Long An,District
can giuoc,122.467,2007,122467,Long An,District
chau thanh,45.6,2007,45600,Long An,District
duc hoa,240.185,2007,240185,Long An,District
duc hue,104.087,2007,104087,Long An,District
kien tuong,55.703,2007,55703,Long An,Town
moc hoa,69.469,2007,69469,Long An,District
tan an,89.413,2007,89413,Long An,City
tan hung,75.031,2007,75031,Long An,District
tan thanh,219.36,2007,219360,Long An,District
tan tru,29.086,2007,29086,Long An,District
thanh hoa,91.789,2007,91789,Long An,District
thu thua,75.786,2007,75786,Long An,District
vinh hung,82.352,2007,82352,Long An,District
chau thanh,123.036,2007,123036,Sóc Trăng,District
cu lao dung,20.954,2007,20954,Sóc Trăng,District
ke sach,88.355,2007,88355,Sóc Trăng,District
long phu,107.608,2007,107608,Sóc Trăng,District
my tu,141.982,2007,141982,Sóc Trăng,District
my xuyen,132.165,2007,132165,Sóc Trăng,District
nga nam,107.614,2007,107614,Sóc Trăng,Town
soc trang,180.092,2007,180092,Sóc Trăng,City
thanh tri,101.778,2007,101778,Sóc Trăng,District
tran de,178.31,2007,178310,Sóc Trăng,District
vinh chau,153.128,2007,153128,Sóc Trăng,Town
cai be,361.276,2007,361276,Tiền Giang,District
cai lay,193.279,2007,193279,Tiền Giang,District
cai lay,184.311,2007,184311,Tiền Giang,Town
cho gao,70.459,2007,70459,Tiền Giang,District
chau thanh,150.653,2007,150653,Tiền Giang,District
go cong,157.015,2007,157015,Tiền Giang,Town
go cong dong,223.009,2007,223009,Tiền Giang,District
go cong tay,176.054,2007,176054,Tiền Giang,District
my tho,142.902,2007,142902,Tiền Giang,City
tan phu dong,38.484,2007,38484,Tiền Giang,District
tan phuoc,87.235,2007,87235,Tiền Giang,District
cau ke,112.392,2007,112392,Trà Vinh,District
cau ngang,226.358,2007,226358,Trà Vinh,District
cang long,113.804,2007,113804,Trà Vinh,District
chau thanh,156.72,2007,156720,Trà Vinh,District
duyen hai,77.816,2007,77816,Trà Vinh,District
duyen hai,59.99,2007,59990,Trà Vinh,Town
tieu can,90.647,2007,90647,Trà Vinh,District
tra cu,172.652,2007,172652,Trà Vinh,District
tra vinh,92.451,2007,92451,Trà Vinh,City
binh minh,112.58,2007,112580,Vĩnh Long,Town
binh tan,56.514,2007,56514,Vĩnh Long,District
long ho,142.291,2007,142291,Vĩnh Long,District
mang thit,110.063,2007,110063,Vĩnh Long,District
tam binh,195.899,2007,195899,Vĩnh Long,District
tra on,197.923,2007,197923,Vĩnh Long,District
vinh long,138.083,2007,138083,Vĩnh Long,City
vung liem,210.425,2007,210425,Vĩnh Long,District
an phu,181.518,2008,181518,An Giang,District
cho moi,290.494,2008,290494,An Giang,District
chau doc,80.114,2008,80114,An Giang,City
chau phu,269.224,2008,269224,An Giang,District
chau thanh,186.956,2008,186956,An Giang,District
long xuyen,289.131,2008,289131,An Giang,City
phu tan,168.324,2008,168324,An Giang,District
tinh bien,228.611,2008,228611,An Giang,District
tan chau,159.508,2008,159508,An Giang,Town
thoai son,194.662,2008,194662,An Giang,District
tri ton,260.49,2008,260490,An Giang,District
bac lieu,137,2008,137000,Bạc Liêu,City
dong hai,119.864,2008,119864,Bạc Liêu,District
gia rai,159.813,2008,159813,Bạc Liêu,Town
hong dan,113.835,2008,113835,Bạc Liêu,District
hoa binh,106.563,2008,106563,Bạc Liêu,District
phuoc long,133.273,2008,133273,Bạc Liêu,District
vinh loi,83.212,2008,83212,Bạc Liêu,District
ben tre,115.089,2008,115089,Bến Tre,City
ba tri,260.903,2008,260903,Bến Tre,District
binh dai,181.214,2008,181214,Bến Tre,District
cho lach,64.741,2008,64741,Bến Tre,District
chau thanh,49.325,2008,49325,Bến Tre,District
giong trom,181.767,2008,181767,Bến Tre,District
mo cay bac,71.931,2008,71931,Bến Tre,District
mo cay nam,184.958,2008,184958,Bến Tre,District
thanh phu,308.614,2008,308614,Bến Tre,District
binh thuy,144.563,2008,144563,Cần Thơ,Urban District
co do,137.784,2008,137784,Cần Thơ,District
cai rang,50.055,2008,50055,Cần Thơ,Urban District
ninh kieu,198.117,2008,198117,Cần Thơ,Urban District
o mon,105.505,2008,105505,Cần Thơ,Urban District
phong dien,94.071,2008,94071,Cần Thơ,District
thot not,72.69,2008,72690,Cần Thơ,Urban District
thoi lai,132.28,2008,132280,Cần Thơ,District
vinh thanh,152.054,2008,152054,Cần Thơ,District
ca mau,179.559,2008,179559,Cà Mau,City
cai nuoc,142.094,2008,142094,Cà Mau,District
dam doi,220.392,2008,220392,Cà Mau,District
nam can,53.107,2008,53107,Cà Mau,District
ngoc hien,46.141,2008,46141,Cà Mau,District
phu tan,156.6,2008,156600,Cà Mau,District
thoi binh,213.531,2008,213531,Cà Mau,District
tran van thoi,121.873,2008,121873,Cà Mau,District
u minh,88.167,2008,88167,Cà Mau,District
cao lanh,197.481,2008,197481,Đồng Tháp,District
cao lanh,175.288,2008,175288,Đồng Tháp,City
chau thanh,174.77,2008,174770,Đồng Tháp,District
hong ngu,107.81,2008,107810,Đồng Tháp,District
hong ngu,43.105,2008,43105,Đồng Tháp,City
lap vo,176.658,2008,176658,Đồng Tháp,District
lai vung,119.369,2008,119369,Đồng Tháp,District
sa dec,68.743,2008,68743,Đồng Tháp,City
tam nong,122.844,2008,122844,Đồng Tháp,District
tan hong,91.931,2008,91931,Đồng Tháp,District
thanh binh,125.922,2008,125922,Đồng Tháp,District
thap muoi,269.05,2008,269050,Đồng Tháp,District
chau thanh,45.323,2008,45323,Hậu Giang,District
chau thanh a,101.912,2008,101912,Hậu Giang,District
long my,139.913,2008,139913,Hậu Giang,District
long my,95.787,2008,95787,Hậu Giang,Town
nga bay,73.73,2008,73730,Hậu Giang,City
phung hiep,270.738,2008,270738,Hậu Giang,District
vi thanh,124.4,2008,124400,Hậu Giang,City
vi thuy,123.261,2008,123261,Hậu Giang,District
an bien,56.313,2008,56313,Kiên Giang,District
an minh,89.373,2008,89373,Kiên Giang,District
chau thanh,160.624,2008,160624,Kiên Giang,District
giong rieng,140.541,2008,140541,Kiên Giang,District
giang thanh,72.464,2008,72464,Kiên Giang,District
go quao,110.664,2008,110664,Kiên Giang,District
ha tien,51.516,2008,51516,Kiên Giang,City
hon dat,301.946,2008,301946,Kiên Giang,District
kien hai,0.055,2008,55,Kiên Giang,District
kien luong,107.15,2008,107150,Kiên Giang,District
phu quoc,18.705,2008,18705,Kiên Giang,City
rach gia,216.63,2008,216630,Kiên Giang,City
tan hiep,160.196,2008,160196,Kiên Giang,District
u minh thuong,56.47,2008,56470,Kiên Giang,District
vinh thuan,114.723,2008,114723,Kiên Giang,District
ben luc,99.561,2008,99561,Long An,District
can duoc,106.613,2008,106613,Long An,District
can giuoc,123.821,2008,123821,Long An,District
chau thanh,46.146,2008,46146,Long An,District
duc hoa,242.727,2008,242727,Long An,District
duc hue,105.193,2008,105193,Long An,District
kien tuong,56.293,2008,56293,Long An,Town
moc hoa,70.212,2008,70212,Long An,District
tan an,89.953,2008,89953,Long An,City
tan hung,75.811,2008,75811,Long An,District
tan thanh,222.195,2008,222195,Long An,District
tan tru,29.44,2008,29440,Long An,District
thanh hoa,92.79,2008,92790,Long An,District
thu thua,76.589,2008,76589,Long An,District
vinh hung,83.215,2008,83215,Long An,District
chau thanh,124.332,2008,124332,Sóc Trăng,District
cu lao dung,21.149,2008,21149,Sóc Trăng,District
ke sach,89.223,2008,89223,Sóc Trăng,District
long phu,108.77,2008,108770,Sóc Trăng,District
my tu,143.441,2008,143441,Sóc Trăng,District
my xuyen,133.553,2008,133553,Sóc Trăng,District
nga nam,108.823,2008,108823,Sóc Trăng,Town
soc trang,181.304,2008,181304,Sóc Trăng,City
thanh tri,102.92,2008,102920,Sóc Trăng,District
tran de,180.226,2008,180226,Sóc Trăng,District
vinh chau,154.778,2008,154778,Sóc Trăng,Town
cai be,366.768,2008,366768,Tiền Giang,District
cai lay,197.967,2008,197967,Tiền Giang,District
cai lay,188.46,2008,188460,Tiền Giang,Town
cho gao,72.325,2008,72325,Tiền Giang,District
chau thanh,154.089,2008,154089,Tiền Giang,District
go cong,158.914,2008,158914,Tiền Giang,Town
go cong dong,208.601,2008,208601,Tiền Giang,District
go cong tay,180.1,2008,180100,Tiền Giang,District
my tho,146.622,2008,146622,Tiền Giang,City
tan phu dong,39.479,2008,39479,Tiền Giang,District
tan phuoc,89.455,2008,89455,Tiền Giang,District
cau ke,113.483,2008,113483,Trà Vinh,District
cau ngang,228.717,2008,228717,Trà Vinh,District
cang long,115.068,2008,115068,Trà Vinh,District
chau thanh,158.194,2008,158194,Trà Vinh,District
duyen hai,78.559,2008,78559,Trà Vinh,District
duyen hai,60.61,2008,60610,Trà Vinh,Town
tieu can,91.523,2008,91523,Trà Vinh,District
tra cu,174.391,2008,174391,Trà Vinh,District
tra vinh,93.384,2008,93384,Trà Vinh,City
binh minh,113.205,2008,113205,Vĩnh Long,Town
binh tan,56.683,2008,56683,Vĩnh Long,District
long ho,144.028,2008,144028,Vĩnh Long,District
mang thit,111.292,2008,111292,Vĩnh Long,District
tam binh,198.081,2008,198081,Vĩnh Long,District
tra on,199.962,2008,199962,Vĩnh Long,District
vinh long,139.743,2008,139743,Vĩnh Long,City
vung liem,214.634,2008,214634,Vĩnh Long,District
an phu,206.146,2009,206146,An Giang,District
cho moi,392.869,2009,392869,An Giang,District
chau doc,123.05,2009,123050,An Giang,City
chau phu,265.041,2009,265041,An Giang,District
chau thanh,183.635,2009,183635,An Giang,District
long xuyen,281.126,2009,281126,An Giang,City
phu tan,231.07,2009,231070,An Giang,District
tinh bien,123.751,2009,123751,An Giang,District
tan chau,182.201,2009,182201,An Giang,Town
thoai son,202.489,2009,202489,An Giang,District
tri ton,131.211,2009,131211,An Giang,District
bac lieu,42.333,2009,42333,Bạc Liêu,City
dong hai,139.155,2009,139155,Bạc Liêu,District
gia rai,138.222,2009,138222,Bạc Liêu,Town
hong dan,104.843,2009,104843,Bạc Liêu,District
hoa binh,111.54,2009,111540,Bạc Liêu,District
phuoc long,115.972,2009,115972,Bạc Liêu,District
vinh loi,86.967,2009,86967,Bạc Liêu,District
ben tre,131.559,2009,131559,Bến Tre,City
ba tri,218.923,2009,218923,Bến Tre,District
binh dai,142.944,2009,142944,Bến Tre,District
cho lach,141.899,2009,141899,Bến Tre,District
chau thanh,175.18,2009,175180,Bến Tre,District
giong trom,202.335,2009,202335,Bến Tre,District
mo cay bac,85.742,2009,85742,Bến Tre,District
mo cay nam,216.131,2009,216131,Bến Tre,District
thanh phu,142.53,2009,142530,Bến Tre,District
binh thuy,94.652,2009,94652,Cần Thơ,Urban District
co do,150.393,2009,150393,Cần Thơ,District
cai rang,115.112,2009,115112,Cần Thơ,Urban District
ninh kieu,225.536,2009,225536,Cần Thơ,Urban District
o mon,123.667,2009,123667,Cần Thơ,Urban District
phong dien,113.2,2009,113200,Cần Thơ,District
thot not,146.164,2009,146164,Cần Thơ,Urban District
thoi lai,128.141,2009,128141,Cần Thơ,District
vinh thanh,147.679,2009,147679,Cần Thơ,District
ca mau,211.48,2009,211480,Cà Mau,City
