,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,85.91719552734965
1,Cho Moi,3.0,53.92891450528337
2,Chau Doc,3.0,81.05726872246696
3,Chau Phu,3.0,90.29752308368752
4,Chau Thanh,3.0,93.86548410938654
5,Long Xuyen,3.0,62.61089987325729
6,Phu Tan,3.0,88.69908015768725
7,Tinh Bien,3.0,67.33430444282592
8,Tan Chau,3.0,79.10266774454325
9,Thoai Son,3.0,93.71043214973851
10,Tri Ton,3.0,81.61930294906166
11,Bac Lieu,19.0,54.701230228471
12,Dong Hai,19.0,91.03956071384
13,Gia Rai,19.0,69.20535878142779
14,Hong Dan,3.0,40.56589942823633
15,Hoa Binh,19.0,50.867162187916904
16,Phuoc Long,19.0,38.00401668469025
17,Vinh Loi,3.0,64.88431876606684
18,Ben Tre,4.0,88.61867704280155
19,Ba Tri,4.0,48.85465234137442
20,Binh Dai,4.0,47.28519718041532
21,Cho Lach,4.0,99.14933837429112
22,Chau Thanh,4.0,98.31237590999338
23,Giong Trom,4.0,96.83226982680037
24,Mo Cay Bac,4.0,99.91550485847064
25,Mo Cay Nam,4.0,98.99623588456713
26,Thanh Phu,19.0,38.69510211458522
27,Binh Thuy,4.0,77.29672650475185
28,Co Do,3.0,75.64440836208645
29,Cai Rang,4.0,88.62405200433369
30,Ninh Kieu,1.0,59.756097560975604
31,O Mon,4.0,67.10454296661193
32,Phong Dien,4.0,89.45454545454545
33,Thot Not,4.0,52.327044025157235
34,Thoi Lai,3.0,68.5131195335277
35,Vinh Thanh,3.0,91.76124422026062
36,Ca Mau,19.0,58.92624446181913
37,Cai Nuoc,19.0,94.14968103314143
38,Dam Doi,19.0,89.25686591276252
39,Nam Can,19.0,73.48652231551038
40,Ngoc Hien,19.0,57.94781162282982
41,Phu Tan,19.0,92.42424242424242
42,Thoi Binh,19.0,41.88928390045709
43,Tran Van Thoi,4.0,34.09950813469542
44,U Minh,4.0,42.800672834314554
45,Cao Lanh,3.0,67.69917489517111
46,Cao Lanh,4.0,66.8732782369146
47,Chau Thanh,4.0,51.500405515004054
48,Hong Ngu,3.0,80.95593726661687
49,Hong Ngu,3.0,93.17425083240843
50,Lap Vo,3.0,61.013215859030836
51,Lai Vung,3.0,54.54545454545454
52,Sa Dec,4.0,62.39520958083832
53,Tam Nong,3.0,80.71428571428572
54,Tan Hong,3.0,93.42732738959154
55,Thanh Binh,3.0,88.33399920095884
56,Thap Muoi,3.0,77.96100144439096
57,Chau Thanh,4.0,97.50588235294117
58,Chau Thanh A,4.0,52.53623188405797
59,Long My,4.0,53.544868616757554
60,Long My,3.0,66.99360341151386
61,Nga Bay,4.0,84.8281642917016
62,Phung Hiep,4.0,69.20727659009428
63,Vi Thanh,4.0,69.69365426695843
64,Vi Thuy,3.0,78.44362397046294
65,An Bien,3.0,66.42140468227424
66,An Minh,19.0,43.63371441380856
67,Chau Thanh,3.0,76.7816091954023
68,Giong Rieng,3.0,78.2367758186398
69,Giang Thanh,3.0,64.62799495586381
70,Go Quao,3.0,51.65913693721763
71,Ha Tien,19.0,46.33982538616521
72,Hon Dat,3.0,71.58078384946103
73,Kien Hai,,
74,Kien Luong,3.0,29.081489778773452
75,Phu Quoc,10.0,50.854898336414045
76,Rach Gia,3.0,68.1443951868271
77,Tan Hiep,3.0,95.62452687358062
78,U Minh Thuong,4.0,46.033418636158366
79,Vinh Thuan,3.0,54.858548585485856
80,Ben Luc,4.0,74.18107370336669
81,Can Duoc,3.0,64.57161759841217
82,Can Giuoc,4.0,33.59148112294289
83,Chau Thanh,4.0,78.65612648221344
84,Duc Hoa,4.0,50.03054367745876
85,Duc Hue,3.0,35.628878462237026
86,Kien Tuong,3.0,85.89412524209166
87,Moc Hoa,3.0,84.14985590778097
88,Tan An,4.0,70.6938775510204
89,Tan Hung,3.0,87.21745908028059
90,Tan Thanh,3.0,73.85679903730446
91,Tan Tru,4.0,49.70873786407767
92,Thanh Hoa,3.0,42.74704101293697
93,Thu Thua,3.0,53.24732123332604
94,Vinh Hung,3.0,93.08654496281271
95,Chau Thanh,4.0,54.88639474404599
