,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,81.55922038980509
1,Cho Moi,4.0,60.06924408540104
2,Chau Doc,3.0,74.05541561712846
3,Chau Phu,3.0,90.06729081334115
4,Chau Thanh,3.0,90.32496307237814
5,Long Xuyen,3.0,59.73451327433629
6,Phu Tan,3.0,88.09106830122592
7,Tinh Bien,3.0,74.41903019213176
8,Tan Chau,3.0,75.34081796311148
9,Thoai Son,3.0,91.39799698175332
10,Tri Ton,3.0,66.41517568441473
11,Bac Lieu,19.0,48.639157155399474
12,Dong Hai,19.0,90.47916927311398
13,Gia Rai,19.0,68.72934263679765
14,Hong Dan,4.0,34.09665427509294
15,Hoa Binh,19.0,49.84738649370469
16,Phuoc Long,19.0,41.16372640049521
17,Vinh Loi,3.0,78.02169421487604
18,Ben Tre,4.0,90.33203125
19,Ba Tri,4.0,69.62256493506493
20,Binh Dai,4.0,52.18620429702224
21,Cho Lach,4.0,99.7168475696083
22,Chau Thanh,4.0,98.84144323071831
23,Giong Trom,4.0,98.63667348329925
24,Mo Cay Bac,4.0,99.91568296795953
25,Mo Cay Nam,4.0,98.40325610519724
26,Thanh Phu,19.0,45.84233261339093
27,Binh Thuy,4.0,82.8335056876939
28,Co Do,3.0,78.89852733508171
29,Cai Rang,4.0,95.35135135135135
30,Ninh Kieu,4.0,56.86274509803921
31,O Mon,4.0,66.36794939377965
32,Phong Dien,4.0,96.7892283790782
33,Thot Not,3.0,50.282485875706215
34,Thoi Lai,3.0,67.8391959798995
35,Vinh Thanh,3.0,93.38773802050639
36,Ca Mau,19.0,62.87298653287563
37,Cai Nuoc,19.0,96.51436646255299
38,Dam Doi,19.0,87.37063389391979
39,Nam Can,19.0,66.85622630504521
40,Ngoc Hien,19.0,49.48347107438016
41,Phu Tan,19.0,86.05967865340475
42,Thoi Binh,19.0,54.29619814493935
43,Tran Van Thoi,3.0,41.49067146510087
44,U Minh,4.0,37.91157894736842
45,Cao Lanh,3.0,63.59421870739024
46,Cao Lanh,4.0,73.8440303657695
47,Chau Thanh,4.0,70.6025398540935
48,Hong Ngu,3.0,77.82258064516128
49,Hong Ngu,3.0,94.2116868798236
50,Lap Vo,3.0,49.75206611570248
51,Lai Vung,3.0,54.70521541950113
52,Sa Dec,4.0,65.6019656019656
53,Tam Nong,3.0,77.6559287183002
54,Tan Hong,3.0,95.95854922279793
55,Thanh Binh,3.0,85.76277955271566
56,Thap Muoi,3.0,59.21611454920519
57,Chau Thanh,4.0,98.1629769194536
58,Chau Thanh A,4.0,81.37096774193549
59,Long My,4.0,78.16235059760956
60,Long My,4.0,57.5938566552901
61,Nga Bay,4.0,95.13830678960603
62,Phung Hiep,4.0,85.90630822464732
63,Vi Thanh,4.0,87.99778761061947
64,Vi Thuy,3.0,52.45529378370707
65,An Bien,3.0,68.66297601073646
66,An Minh,4.0,39.351799932712794
67,Chau Thanh,3.0,76.55568312284731
68,Giong Rieng,3.0,70.38488594111143
69,Giang Thanh,3.0,31.346578366445915
70,Go Quao,4.0,55.33406011524684
71,Ha Tien,19.0,43.180260452364635
72,Hon Dat,3.0,55.12900411317462
73,Kien Hai,,
74,Kien Luong,4.0,33.856722276741905
75,Phu Quoc,10.0,65.41763341067285
76,Rach Gia,3.0,72.38758708043065
77,Tan Hiep,3.0,94.33762301286905
78,U Minh Thuong,4.0,55.78282448488494
79,Vinh Thuan,3.0,42.45996832658807
80,Ben Luc,4.0,65.28850522489778
81,Can Duoc,3.0,80.43771043771044
82,Can Giuoc,3.0,51.4663229133097
83,Chau Thanh,4.0,70.84063047285464
84,Duc Hoa,3.0,46.36820465966194
85,Duc Hue,10.0,35.87383036522789
86,Kien Tuong,3.0,79.94176641863474
87,Moc Hoa,3.0,76.35346756152124
88,Tan An,4.0,83.45618345618345
89,Tan Hung,3.0,75.22458013279521
90,Tan Thanh,3.0,65.94366621479139
91,Tan Tru,3.0,51.575562700964625
92,Thanh Hoa,10.0,53.38689569192409
93,Thu Thua,3.0,41.84008762322015
94,Vinh Hung,3.0,88.16587997302764
95,Chau Thanh,4.0,51.37865137865138
96,Cu Lao Dung,4.0,88.53211009174312
97,Ke Sach,4.0,93.16605467156262
98,Long Phu,4.0,56.5973136686858
99,My Tu,4.0,56.637639950239915
100,My Xuyen,19.0,52.088229976496116
101,Nga Nam,3.0,60.28274206455054
102,Soc Trang,3.0,62.15071972904318
103,Thanh Tri,3.0,80.87971274685816
104,Tran De,3.0,65.66500711237553
105,Vinh Chau,19.0,51.137176369618075
106,Cai Be,4.0,67.62784769794487
107,Cai Lay,4.0,82.93246993524515
108,Cai Lay,4.0,95.80838323353294
109,Cho Gao,4.0,91.55376189103488
110,Chau Thanh,4.0,96.84240202988441
111,Go Cong,4.0,78.33806818181817
112,Go Cong Dong,4.0,54.90909090909091
113,Go Cong Tay,4.0,89.46422150305645
114,My Tho,4.0,86.20071684587813
