,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,81.22887864823348
1,Cho Moi,4.0,62.829827915869984
2,Chau Doc,3.0,77.455919395466
3,Chau Phu,3.0,84.99487629922412
4,Chau Thanh,3.0,92.49815225424982
5,Long Xuyen,3.0,52.9338327091136
6,Phu Tan,3.0,86.14576493762311
7,Tinh Bien,3.0,63.90003648303539
8,Tan Chau,3.0,76.64380798709158
9,Thoai Son,3.0,91.53264604810997
10,Tri Ton,3.0,66.80654185496019
11,Bac Lieu,19.0,57.95703638754932
12,Dong Hai,19.0,92.37881059470266
13,Gia Rai,19.0,68.30029368575624
14,Hong Dan,3.0,32.35551663747811
15,Hoa Binh,19.0,51.85185185185185
16,Phuoc Long,3.0,40.0369287582705
17,Vinh Loi,3.0,80.77220077220078
18,Ben Tre,4.0,88.06262230919765
19,Ba Tri,4.0,49.84814739825876
20,Binh Dai,4.0,49.413101098068914
21,Cho Lach,4.0,98.81404174573055
22,Chau Thanh,4.0,97.5157336866512
23,Giong Trom,4.0,94.01335482385448
24,Mo Cay Bac,4.0,99.65899403239557
25,Mo Cay Nam,4.0,99.04852521408183
26,Thanh Phu,19.0,37.89912917271408
27,Binh Thuy,4.0,72.37798546209761
28,Co Do,3.0,80.1398897838067
29,Cai Rang,4.0,87.28260869565217
30,Ninh Kieu,1.0,63.990267639902676
31,O Mon,4.0,67.95142555438225
32,Phong Dien,4.0,87.75298391281785
33,Thot Not,4.0,49.87389659520807
34,Thoi Lai,3.0,71.3967310549777
35,Vinh Thanh,3.0,92.89329396878954
36,Ca Mau,19.0,61.31386861313869
37,Cai Nuoc,19.0,96.31415241057543
38,Dam Doi,19.0,89.20412974554914
39,Nam Can,19.0,71.43901725650775
40,Ngoc Hien,19.0,57.185536210981766
41,Phu Tan,19.0,94.9318634206094
42,Thoi Binh,19.0,65.9312728751525
43,Tran Van Thoi,3.0,46.24337623012869
44,U Minh,4.0,47.121301525752344
45,Cao Lanh,4.0,49.651305893614115
46,Cao Lanh,4.0,77.15072264280798
47,Chau Thanh,4.0,66.2520281233099
48,Hong Ngu,3.0,78.66617538688283
49,Hong Ngu,3.0,88.47214561500276
50,Lap Vo,4.0,49.641873278236915
51,Lai Vung,4.0,67.74744027303754
52,Sa Dec,4.0,74.81927710843374
53,Tam Nong,3.0,72.01210287443268
54,Tan Hong,3.0,90.88082901554404
55,Thanh Binh,3.0,69.91432556286112
56,Thap Muoi,3.0,66.79621083313091
57,Chau Thanh,4.0,98.11587376354215
58,Chau Thanh A,4.0,53.088413403310454
59,Long My,3.0,53.42465753424658
60,Long My,3.0,64.81720430107526
61,Nga Bay,4.0,89.55349620893007
62,Phung Hiep,4.0,69.56983536909188
63,Vi Thanh,4.0,73.09417040358744
64,Vi Thuy,3.0,75.0996015936255
65,An Bien,3.0,43.53000335232987
66,An Minh,19.0,61.201572150477254
67,Chau Thanh,3.0,76.76884074671584
68,Giong Rieng,3.0,80.02468627854351
69,Giang Thanh,3.0,50.393948944216824
70,Go Quao,3.0,53.33118764081107
71,Ha Tien,19.0,48.509485094850945
72,Hon Dat,3.0,59.866366928937175
73,Kien Hai,,
74,Kien Luong,4.0,30.827489481065918
75,Phu Quoc,4.0,86.9362545157907
76,Rach Gia,3.0,66.8777707409753
77,Tan Hiep,3.0,96.74143679903001
78,U Minh Thuong,4.0,67.0382645375113
79,Vinh Thuan,4.0,43.560673162090346
80,Ben Luc,4.0,76.14595210946408
81,Can Duoc,3.0,55.06912442396313
82,Can Giuoc,4.0,48.319327731092436
83,Chau Thanh,4.0,80.02633889376646
84,Duc Hoa,4.0,61.31052390407821
85,Duc Hue,4.0,41.27871825876663
86,Kien Tuong,3.0,86.7053888351081
87,Moc Hoa,3.0,86.99711046899311
88,Tan An,4.0,63.26530612244898
89,Tan Hung,3.0,88.1640625
90,Tan Thanh,3.0,78.43284704466838
91,Tan Tru,3.0,48.19121447028424
92,Thanh Hoa,3.0,50.11693492915119
93,Thu Thua,3.0,51.54886561954625
94,Vinh Hung,3.0,96.04328711531957
95,Chau Thanh,3.0,68.16816816816817
96,Cu Lao Dung,4.0,84.48644793152638
97,Ke Sach,4.0,77.61865793780687
98,Long Phu,3.0,52.67739382748615
99,My Tu,4.0,49.76253298153034
100,My Xuyen,3.0,53.76344086021505
101,Nga Nam,3.0,76.63978494623656
102,Soc Trang,3.0,51.31244707874683
103,Thanh Tri,3.0,74.69744509188705
104,Tran De,3.0,72.55285130573814
105,Vinh Chau,19.0,52.92268114906389
106,Cai Be,4.0,58.52453792224347
107,Cai Lay,4.0,64.06756131420639
108,Cai Lay,4.0,51.176742039686204
109,Cho Gao,4.0,95.60185185185185
110,Chau Thanh,4.0,83.32392776523702
111,Go Cong,4.0,78.84750527055516
112,Go Cong Dong,3.0,53.958264325935744
113,Go Cong Tay,4.0,77.78177889809147
114,My Tho,4.0,81.86714542190305
115,Tan Phu Dong,4.0,57.10093896713615
116,Tan Phuoc,4.0,68.86482305163412
