,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,81.61057692307693
1,Cho Moi,3.0,51.69898253023612
2,Chau Doc,3.0,70.92511013215858
3,Chau Phu,3.0,88.17676324261048
4,Chau Thanh,3.0,92.61856431075844
5,Long Xuyen,3.0,62.986198243412794
6,Phu Tan,3.0,87.5848478213269
7,Tinh Bien,3.0,67.2926162260711
8,Tan Chau,3.0,73.6462093862816
9,Thoai Son,3.0,92.24753018660812
10,Tri Ton,3.0,68.70762939847197
11,Bac Lieu,19.0,50.24154589371981
12,Dong Hai,19.0,90.70641282565131
13,Gia Rai,19.0,70.02026902524415
14,Hong Dan,19.0,33.503682549225914
15,Hoa Binh,19.0,50.51467784979031
16,Phuoc Long,19.0,44.627073964955805
17,Vinh Loi,3.0,52.03503348789283
18,Ben Tre,4.0,90.68627450980392
19,Ba Tri,4.0,44.90374873353597
20,Binh Dai,4.0,47.05882352941176
21,Cho Lach,4.0,99.90525817148271
22,Chau Thanh,4.0,97.17043941411451
23,Giong Trom,4.0,94.77663230240549
24,Mo Cay Bac,4.0,99.83029274501484
25,Mo Cay Nam,4.0,98.89659520807061
26,Thanh Phu,19.0,47.271745002701245
27,Binh Thuy,4.0,83.14374353671148
28,Co Do,3.0,86.33791430881163
29,Cai Rang,4.0,95.01625135427952
30,Ninh Kieu,4.0,53.0562347188264
31,O Mon,4.0,65.04751847940867
32,Phong Dien,4.0,93.62363919129082
33,Thot Not,3.0,49.43181818181818
34,Thoi Lai,3.0,76.10047846889952
35,Vinh Thanh,3.0,93.36681314082445
36,Ca Mau,19.0,63.89793702497285
37,Cai Nuoc,19.0,97.488
38,Dam Doi,19.0,87.44926124370839
39,Nam Can,19.0,68.54081033470347
40,Ngoc Hien,15.0,51.95776957769578
41,Phu Tan,19.0,88.93859919777847
42,Thoi Binh,19.0,65.68367346938776
43,Tran Van Thoi,4.0,37.32153055396916
44,U Minh,4.0,52.06049791825984
45,Cao Lanh,3.0,69.09312728751526
46,Cao Lanh,4.0,69.3737095664143
47,Chau Thanh,4.0,57.642276422764226
48,Hong Ngu,3.0,77.68444119795471
49,Hong Ngu,3.0,93.42904472667036
50,Lap Vo,3.0,64.65398400882272
51,Lai Vung,3.0,56.3049022385945
52,Sa Dec,4.0,63.98046398046397
53,Tam Nong,3.0,79.56324680675732
54,Tan Hong,3.0,92.7653399668325
55,Thanh Binh,3.0,84.93013972055888
56,Thap Muoi,3.0,72.22424022278726
57,Chau Thanh,4.0,97.03668861712136
58,Chau Thanh A,4.0,70.53140096618358
59,Long My,4.0,64.59627329192547
60,Long My,3.0,54.58422174840085
61,Nga Bay,4.0,90.19279128248114
62,Phung Hiep,4.0,79.30210959267613
63,Vi Thanh,4.0,78.99391929242675
64,Vi Thuy,3.0,64.33844406587166
65,An Bien,3.0,61.45746281129868
66,An Minh,4.0,34.594655288569506
67,Chau Thanh,3.0,74.78701358507945
68,Giong Rieng,3.0,69.5564718897717
69,Giang Thanh,3.0,47.50867234310943
70,Go Quao,4.0,54.254143646408835
71,Ha Tien,19.0,44.091223220456115
72,Hon Dat,3.0,61.048105682951146
73,Kien Hai,,
74,Kien Luong,10.0,32.17086834733894
75,Phu Quoc,4.0,56.04433668167648
76,Rach Gia,3.0,67.55218216318785
77,Tan Hiep,3.0,93.30809992429977
78,U Minh Thuong,4.0,54.18441874619598
79,Vinh Thuan,3.0,35.057983942908116
80,Ben Luc,4.0,65.93657312343144
81,Can Duoc,3.0,76.81063122923588
82,Can Giuoc,3.0,46.30287374878915
83,Chau Thanh,4.0,68.2078379568472
84,Duc Hoa,4.0,52.450755840586346
85,Duc Hue,4.0,35.59450067986101
86,Kien Tuong,3.0,79.50290510006455
87,Moc Hoa,3.0,77.77033065236819
88,Tan An,4.0,76.32013201320133
89,Tan Hung,3.0,78.70791628753412
90,Tan Thanh,3.0,69.88061054858697
91,Tan Tru,3.0,60.24723487312947
92,Thanh Hoa,10.0,46.29680998613038
93,Thu Thua,3.0,45.46654929577465
94,Vinh Hung,3.0,88.2085020242915
95,Chau Thanh,3.0,56.72945672945673
96,Cu Lao Dung,4.0,85.68360773085183
97,Ke Sach,4.0,87.90108318005313
98,Long Phu,3.0,52.11976682564918
99,My Tu,4.0,51.88129305776364
100,My Xuyen,19.0,54.79526842584167
101,Nga Nam,3.0,58.787556500930606
102,Soc Trang,3.0,58.42506350550381
103,Thanh Tri,3.0,71.68539325842697
104,Tran De,3.0,71.11269614835949
105,Vinh Chau,19.0,55.6905919359451
106,Cai Be,4.0,58.16847479259732
107,Cai Lay,4.0,69.80782588562168
108,Cai Lay,4.0,63.2258064516129
109,Cho Gao,4.0,90.5970579751947
110,Chau Thanh,4.0,89.08629441624365
111,Go Cong,4.0,63.68794326241135
112,Go Cong Dong,3.0,59.26291543270813
113,Go Cong Tay,4.0,63.31767256956993
114,My Tho,4.0,85.82959641255606
115,Tan Phu Dong,4.0,48.123883263847524
116,Tan Phuoc,4.0,64.75505443234837
117,Cau Ke,4.0,79.90762124711316
118,Cau Ngang,3.0,53.33479116553684
119,Cang Long,4.0,64.53010948905109
120,Chau Thanh,3.0,51.66666666666667
121,Duyen Hai,19.0,55.74940523394132
122,Duyen Hai,19.0,73.35467805051583
123,Tieu Can,4.0,60.77523864622505
124,Tra Cu,4.0,51.43478260869565
125,Tra Vinh,4.0,65.55965559655597
126,Binh Minh,4.0,67.50741839762611
127,Binh Tan,3.0,50.77787381158168
128,Long Ho,4.0,73.12365975696926
129,Mang Thit,4.0,87.04020530367835
130,Tam Binh,4.0,61.99376947040498
131,Tra On,4.0,73.27497425334707
132,Vinh Long,4.0,79.39393939393939
133,Vung Liem,4.0,66.70428893905192
