,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,73.96608152335614
1,Cho Moi,3.0,47.540983606557376
2,Chau Doc,3.0,77.99373040752351
3,Chau Phu,3.0,85.2906806894537
4,Chau Thanh,3.0,89.99261447562778
5,Long Xuyen,3.0,48.76390605686032
6,Phu Tan,3.0,85.28705522811613
7,Tinh Bien,3.0,69.75263732266279
8,Tan Chau,3.0,72.30707395498392
9,Thoai Son,3.0,91.64609053497942
10,Tri Ton,3.0,80.21023275769602
11,Bac Lieu,19.0,57.00525394045533
12,Dong Hai,19.0,93.10430980637102
13,Gia Rai,19.0,70.13582966226139
14,Hong Dan,19.0,48.394663539070514
15,Hoa Binh,19.0,52.3972602739726
16,Phuoc Long,19.0,46.5331278890601
17,Vinh Loi,3.0,78.26310380267215
18,Ben Tre,4.0,88.0
19,Ba Tri,4.0,38.39628357907493
20,Binh Dai,19.0,47.674201382402394
21,Cho Lach,4.0,97.54601226993866
22,Chau Thanh,4.0,97.26072607260726
23,Giong Trom,4.0,93.43331061122471
24,Mo Cay Bac,4.0,99.87347110923662
25,Mo Cay Nam,4.0,99.15466499686913
26,Thanh Phu,19.0,55.3072625698324
27,Binh Thuy,4.0,75.33678756476684
28,Co Do,3.0,66.62636033857315
29,Cai Rang,4.0,87.25701943844493
30,Ninh Kieu,1.0,64.32038834951457
31,O Mon,4.0,68.12434141201264
32,Phong Dien,4.0,89.4300518134715
33,Thot Not,4.0,54.94710640945863
34,Thoi Lai,3.0,63.233532934131745
35,Vinh Thanh,3.0,90.43332635545322
36,Ca Mau,19.0,63.28389279208951
37,Cai Nuoc,19.0,96.58385093167702
38,Dam Doi,19.0,91.84663916525115
39,Nam Can,19.0,76.7252651460119
40,Ngoc Hien,19.0,62.33224888165921
41,Phu Tan,19.0,95.4184483811851
42,Thoi Binh,19.0,85.18254856096816
43,Tran Van Thoi,3.0,48.64225565332577
44,U Minh,4.0,38.229596563631766
45,Cao Lanh,3.0,66.6892257715214
46,Cao Lanh,4.0,70.15130674002751
47,Chau Thanh,4.0,57.50945434900054
48,Hong Ngu,3.0,70.14322438486963
49,Hong Ngu,3.0,85.94950603732163
50,Lap Vo,4.0,49.601100412654745
51,Lai Vung,4.0,57.09029153693744
52,Sa Dec,4.0,61.67664670658682
53,Tam Nong,3.0,73.22554124417648
54,Tan Hong,3.0,88.08537090758392
55,Thanh Binh,3.0,77.50397456279809
56,Thap Muoi,3.0,79.77852672123255
57,Chau Thanh,4.0,97.50353273669336
58,Chau Thanh A,4.0,67.5523349436393
59,Long My,3.0,54.837911408067306
60,Long My,3.0,64.63310580204778
61,Nga Bay,4.0,91.19127516778524
62,Phung Hiep,4.0,74.40318302387267
63,Vi Thanh,4.0,78.63013698630137
64,Vi Thuy,3.0,56.234024424879294
65,An Bien,3.0,49.004184100418406
66,An Minh,19.0,86.39172940779864
67,Chau Thanh,3.0,75.09763381575925
68,Giong Rieng,3.0,74.07816738671758
69,Giang Thanh,3.0,66.53016223027248
70,Go Quao,3.0,55.782931635591936
71,Ha Tien,19.0,53.9776462853386
72,Hon Dat,3.0,75.990777666999
73,Kien Hai,,
74,Kien Luong,3.0,33.618273542600896
75,Phu Quoc,10.0,53.83815028901734
76,Rach Gia,3.0,66.18112729575681
77,Tan Hiep,3.0,92.445117335352
78,U Minh Thuong,4.0,53.23653962492438
79,Vinh Thuan,19.0,64.57422626333275
80,Ben Luc,4.0,76.1353315168029
