,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,80.46186569431784
1,Cho Moi,3.0,62.77724204435873
2,Chau Doc,3.0,81.46279949558638
3,Chau Phu,3.0,92.23443223443223
4,Chau Thanh,3.0,92.2253000923361
5,Long Xuyen,3.0,67.66011414077362
6,Phu Tan,3.0,91.05263157894737
7,Tinh Bien,3.0,67.91833758658403
8,Tan Chau,3.0,80.78005629272215
9,Thoai Son,3.0,92.9766803840878
10,Tri Ton,3.0,70.27345844504022
11,Bac Lieu,3.0,43.87889425186485
12,Dong Hai,19.0,77.17826740110165
13,Gia Rai,3.0,42.85187234827523
14,Hong Dan,4.0,49.1729088639201
15,Hoa Binh,3.0,51.79252479023646
16,Phuoc Long,3.0,34.67841682127396
17,Vinh Loi,3.0,83.95252837977296
18,Ben Tre,4.0,87.54901960784314
19,Ba Tri,4.0,50.98717687767148
20,Binh Dai,4.0,49.942218798151
21,Cho Lach,4.0,99.76303317535546
22,Chau Thanh,4.0,94.86152819486153
23,Giong Trom,4.0,94.91017964071857
24,Mo Cay Bac,4.0,99.70276008492569
25,Mo Cay Nam,4.0,98.25894270338715
26,Thanh Phu,19.0,44.43035681941677
27,Binh Thuy,4.0,84.95850622406638
28,Co Do,3.0,89.55855674259222
29,Cai Rang,4.0,96.09120521172639
30,Ninh Kieu,4.0,60.0
31,O Mon,4.0,72.0844327176781
32,Phong Dien,4.0,95.17884914463453
33,Thot Not,3.0,54.424778761061944
34,Thoi Lai,3.0,66.79425837320574
35,Vinh Thanh,3.0,93.88993513287298
36,Ca Mau,3.0,50.59008654602675
37,Cai Nuoc,19.0,57.58342558911909
38,Dam Doi,19.0,71.76813000242542
39,Nam Can,19.0,66.08581051398448
40,Ngoc Hien,19.0,48.62708527613719
41,Phu Tan,19.0,42.25089382869579
42,Thoi Binh,4.0,45.490635179153095
43,Tran Van Thoi,4.0,58.30628222264656
44,U Minh,4.0,55.54318026045236
45,Cao Lanh,3.0,65.67387460900312
46,Cao Lanh,4.0,71.23098201936376
47,Chau Thanh,4.0,54.15651232060655
48,Hong Ngu,3.0,81.77102630603927
49,Hong Ngu,3.0,95.19071310116087
50,Lap Vo,3.0,59.23268009936516
51,Lai Vung,3.0,49.63172804532578
52,Sa Dec,4.0,66.74968866749688
53,Tam Nong,3.0,81.15484844328624
54,Tan Hong,3.0,96.56172328086164
55,Thanh Binh,3.0,89.78204359128175
56,Thap Muoi,3.0,77.87013612817732
57,Chau Thanh,4.0,97.46001881467544
58,Chau Thanh A,4.0,67.3913043478261
59,Long My,4.0,83.31650681474004
60,Long My,4.0,81.9282317336792
61,Nga Bay,4.0,93.29421626152556
62,Phung Hiep,4.0,84.14067684140677
63,Vi Thanh,4.0,84.16340235030778
64,Vi Thuy,3.0,54.85616633437766
65,An Bien,3.0,53.55283050562741
66,An Minh,4.0,68.23436973846671
67,Chau Thanh,3.0,70.60865540384171
68,Giong Rieng,3.0,66.03337354242059
69,Giang Thanh,10.0,47.13024282560706
70,Go Quao,4.0,63.538786794600746
71,Ha Tien,10.0,42.185238784370476
72,Hon Dat,3.0,47.825816097682534
73,Kien Hai,,
74,Kien Luong,10.0,56.96131036430388
75,Phu Quoc,10.0,66.415313225058
76,Rach Gia,3.0,66.96428571428571
77,Tan Hiep,3.0,92.58137774413323
78,U Minh Thuong,4.0,75.05285412262155
79,Vinh Thuan,4.0,54.968666069829894
80,Ben Luc,4.0,66.14892645043399
81,Can Duoc,3.0,71.89890256069172
82,Can Giuoc,3.0,42.99095607235142
83,Chau Thanh,4.0,66.03272888102609
84,Duc Hoa,4.0,69.1813312930375
85,Duc Hue,10.0,42.89600967351874
86,Kien Tuong,3.0,80.99708643573972
87,Moc Hoa,3.0,81.17042662497208
88,Tan An,4.0,67.9245283018868
89,Tan Hung,3.0,82.49092794193884
90,Tan Thanh,3.0,72.93515871821874
91,Tan Tru,3.0,60.05326231691078
92,Thanh Hoa,3.0,46.82440846824408
93,Thu Thua,3.0,47.2289156626506
94,Vinh Hung,3.0,90.53686714237172
95,Chau Thanh,3.0,57.71647090958755
96,Cu Lao Dung,4.0,83.15412186379928
97,Ke Sach,4.0,91.4624183006536
98,Long Phu,3.0,61.23580670715606
99,My Tu,4.0,57.56287637265321
100,My Xuyen,3.0,43.03239409622389
101,Nga Nam,3.0,52.825965304980414
102,Soc Trang,3.0,63.42082980524979
103,Thanh Tri,3.0,75.59161595672752
104,Tran De,3.0,74.47944474105714
105,Vinh Chau,3.0,39.63989711346099
106,Cai Be,4.0,60.66018178918833
107,Cai Lay,4.0,66.87528975428836
108,Cai Lay,4.0,59.834177798249655
109,Cho Gao,4.0,82.63507656746604
110,Chau Thanh,4.0,90.09034443817052
111,Go Cong,4.0,53.54609929078015
112,Go Cong Dong,3.0,62.49588409614751
113,Go Cong Tay,3.0,58.6618444846293
114,My Tho,4.0,89.85637342908439
115,Tan Phu Dong,4.0,72.49249249249249
116,Tan Phuoc,4.0,67.78864970645793
117,Cau Ke,4.0,78.92609699769054
118,Cau Ngang,3.0,78.89326334208224
119,Cang Long,4.0,61.706030726897495
120,Chau Thanh,3.0,55.6184668989547
121,Duyen Hai,19.0,39.1877353415815
122,Duyen Hai,19.0,58.495920539198295
123,Tieu Can,4.0,53.961827646038174
124,Tra Cu,3.0,60.14335360556038
125,Tra Vinh,4.0,63.69268897149938
126,Binh Minh,4.0,65.13353115727003
127,Binh Tan,3.0,53.98268398268399
128,Long Ho,4.0,63.6168691922802
129,Mang Thit,4.0,68.53836262323189
130,Tam Binh,4.0,55.97330367074528
131,Tra On,4.0,66.84698608964452
132,Vinh Long,4.0,77.00453857791226
133,Vung Liem,4.0,61.227713834348904
