,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,79.02633190447031
1,Cho Moi,4.0,51.506428708501254
2,Chau Doc,3.0,73.14465408805032
3,Chau Phu,3.0,78.28253223915593
4,Chau Thanh,3.0,92.3105360443623
5,Long Xuyen,3.0,59.43573667711599
6,Phu Tan,3.0,82.41469816272966
7,Tinh Bien,3.0,57.24226332173594
8,Tan Chau,3.0,75.0906892382104
9,Thoai Son,3.0,90.90407938257994
10,Tri Ton,3.0,56.59441388978755
11,Bac Lieu,19.0,57.36842105263158
12,Dong Hai,19.0,92.35867933966983
13,Gia Rai,19.0,67.50551065393094
14,Hong Dan,4.0,36.210158637752876
15,Hoa Binh,19.0,51.96340068623714
16,Phuoc Long,3.0,42.378095677588064
17,Vinh Loi,3.0,76.72502574665293
18,Ben Tre,4.0,88.0
19,Ba Tri,4.0,60.97511632611774
20,Binh Dai,4.0,53.951825366955205
21,Cho Lach,4.0,98.48341232227487
22,Chau Thanh,4.0,97.6521164021164
23,Giong Trom,4.0,97.59725400457666
24,Mo Cay Bac,4.0,99.74500637484063
25,Mo Cay Nam,4.0,98.89729048519219
26,Thanh Phu,4.0,45.2980612429788
27,Binh Thuy,4.0,67.80538302277432
28,Co Do,3.0,86.25886524822694
29,Cai Rang,4.0,87.41865509761388
30,Ninh Kieu,1.0,64.80582524271846
31,O Mon,4.0,53.167298321602594
32,Phong Dien,4.0,80.45738045738045
33,Thot Not,3.0,47.296416938110745
34,Thoi Lai,3.0,75.81587920116903
35,Vinh Thanh,3.0,93.45415778251599
36,Ca Mau,19.0,59.77071391349661
37,Cai Nuoc,19.0,95.73872472783826
38,Dam Doi,19.0,89.54578814319498
39,Nam Can,19.0,73.10739436619718
40,Ngoc Hien,19.0,56.055434895025336
41,Phu Tan,19.0,94.15365779002143
42,Thoi Binh,19.0,54.382935500253936
43,Tran Van Thoi,3.0,41.89651892714476
44,U Minh,4.0,46.123833757421544
45,Cao Lanh,3.0,60.65775109170306
46,Cao Lanh,4.0,67.86454733932274
47,Chau Thanh,3.0,50.29826464208242
48,Hong Ngu,3.0,78.67107195301027
49,Hong Ngu,3.0,92.22283507997794
50,Lap Vo,3.0,64.13525498891353
51,Lai Vung,3.0,54.568891435118886
52,Sa Dec,4.0,57.05669481302774
53,Tam Nong,3.0,74.11651021535064
54,Tan Hong,3.0,84.51171470039395
55,Thanh Binh,3.0,79.26975259377494
56,Thap Muoi,3.0,64.70517158047366
57,Chau Thanh,4.0,96.89265536723164
58,Chau Thanh A,3.0,53.939393939393945
59,Long My,3.0,63.19721115537848
60,Long My,3.0,70.65637065637065
61,Nga Bay,4.0,85.81024349286314
62,Phung Hiep,4.0,65.41014069551368
63,Vi Thanh,4.0,66.08744394618834
64,Vi Thuy,3.0,80.7007466973004
65,An Bien,3.0,48.06435394670689
66,An Minh,19.0,43.53191966790082
67,Chau Thanh,3.0,77.1881461061337
68,Giong Rieng,3.0,83.5339726586411
69,Giang Thanh,4.0,49.21235034656585
70,Go Quao,3.0,53.41294174600614
71,Ha Tien,19.0,48.51551956815115
72,Hon Dat,3.0,54.08322415621686
73,Kien Hai,,
74,Kien Luong,4.0,50.18217488789237
75,Phu Quoc,4.0,82.12990052662376
76,Rach Gia,3.0,64.0101201771031
77,Tan Hiep,3.0,96.68853960018312
78,U Minh Thuong,4.0,70.3904718830092
79,Vinh Thuan,4.0,56.37358757062147
80,Ben Luc,4.0,81.01725703905541
81,Can Duoc,3.0,44.749754661432775
82,Can Giuoc,4.0,69.52043772127455
83,Chau Thanh,4.0,86.61693725318122
84,Duc Hoa,4.0,61.31787675411836
85,Duc Hue,3.0,36.79116890972327
86,Kien Tuong,3.0,90.78862314156432
87,Moc Hoa,3.0,89.61736406354889
88,Tan An,4.0,72.53463732681337
89,Tan Hung,3.0,89.2965154503616
90,Tan Thanh,3.0,82.29542719614922
91,Tan Tru,4.0,63.61880231809401
92,Thanh Hoa,3.0,51.754989676531316
93,Thu Thua,3.0,46.69873196327066
94,Vinh Hung,3.0,97.59590792838875
95,Chau Thanh,3.0,58.61315861315861
96,Cu Lao Dung,4.0,85.61228132809711
97,Ke Sach,4.0,73.74233128834355
98,Long Phu,4.0,54.74683544303798
99,My Tu,3.0,51.44011239901651
100,My Xuyen,3.0,67.72096292391495
101,Nga Nam,3.0,84.94680851063829
102,Soc Trang,4.0,51.01694915254237
103,Thanh Tri,3.0,73.34377797672337
104,Tran De,3.0,70.12477718360071
105,Vinh Chau,19.0,60.56358174796167
106,Cai Be,4.0,52.915869980879535
107,Cai Lay,4.0,62.66759130836801
108,Cai Lay,3.0,50.85214187010594
109,Cho Gao,4.0,97.40409576002308
110,Chau Thanh,4.0,83.90739695087521
111,Go Cong,4.0,90.41958041958041
112,Go Cong Dong,4.0,50.04965243296922
113,Go Cong Tay,4.0,83.26736236056135
114,My Tho,4.0,81.95691202872531
115,Tan Phu Dong,4.0,63.40749414519906
116,Tan Phuoc,4.0,75.4054054054054
117,Cau Ke,4.0,68.74275782155273
118,Cau Ngang,3.0,40.818102697998256
119,Cang Long,4.0,55.833333333333336
120,Chau Thanh,4.0,55.30221553022155
121,Duyen Hai,19.0,57.33053074093537
122,Duyen Hai,19.0,75.77374599786553
123,Tieu Can,4.0,60.98056280823905
124,Tra Cu,4.0,64.48170731707317
125,Tra Vinh,4.0,67.11990111248454
126,Binh Minh,4.0,57.59822090437361
127,Binh Tan,3.0,56.23376623376623
128,Long Ho,4.0,58.324458643947466
129,Mang Thit,4.0,58.533447684391085
130,Tam Binh,3.0,58.2089552238806
131,Tra On,4.0,62.4124513618677
132,Vinh Long,4.0,67.52655538694992
133,Vung Liem,4.0,52.74949083503056
