,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,75.79826917338109
1,Cho Moi,4.0,54.38865465695669
2,Chau Doc,3.0,69.25972396486826
3,Chau Phu,3.0,77.83294392523365
4,Chau Thanh,3.0,85.06829088224437
5,Long Xuyen,3.0,58.37531486146096
6,Phu Tan,3.0,81.62775474579969
7,Tinh Bien,4.0,46.15244678915772
8,Tan Chau,3.0,70.2572347266881
9,Thoai Son,3.0,85.02402196293755
10,Tri Ton,3.0,63.999141815061144
11,Bac Lieu,19.0,58.36985100788782
12,Dong Hai,19.0,93.57339334833709
13,Gia Rai,19.0,69.39449541284404
14,Hong Dan,19.0,47.59523459332255
15,Hoa Binh,19.0,52.92213972967828
16,Phuoc Long,19.0,44.10540915395285
17,Vinh Loi,3.0,64.50783860190182
18,Ben Tre,4.0,86.73170731707317
19,Ba Tri,4.0,47.41518578352181
20,Binh Dai,19.0,47.524752475247524
21,Cho Lach,4.0,97.17912552891397
22,Chau Thanh,4.0,97.25982172334103
23,Giong Trom,4.0,95.03738953093134
24,Mo Cay Bac,4.0,99.91578947368421
25,Mo Cay Nam,4.0,99.000624609619
26,Thanh Phu,19.0,55.165586753059756
27,Binh Thuy,4.0,68.8082901554404
28,Co Do,3.0,79.23805684337835
29,Cai Rang,4.0,83.56756756756756
30,Ninh Kieu,1.0,69.56521739130434
31,O Mon,4.0,54.60768825697736
32,Phong Dien,4.0,86.42487046632125
33,Thot Not,3.0,44.816883923029174
34,Thoi Lai,3.0,83.10600622158411
35,Vinh Thanh,3.0,93.90064975896038
36,Ca Mau,19.0,63.062126332206915
37,Cai Nuoc,19.0,96.66200900481292
38,Dam Doi,19.0,92.7570282751357
39,Nam Can,19.0,76.20779976717112
40,Ngoc Hien,19.0,59.6937212863706
41,Phu Tan,19.0,95.02517930718754
42,Thoi Binh,19.0,83.80739536773669
43,Tran Van Thoi,3.0,44.40556133547716
44,U Minh,4.0,42.32882686436982
45,Cao Lanh,3.0,63.64621427603955
46,Cao Lanh,4.0,70.83621285418107
47,Chau Thanh,4.0,51.281359589964936
48,Hong Ngu,3.0,75.08244778307073
49,Hong Ngu,3.0,86.15554329840045
50,Lap Vo,3.0,56.63888888888889
51,Lai Vung,4.0,59.51302378255946
52,Sa Dec,4.0,54.17661097852029
53,Tam Nong,3.0,69.02241165956276
54,Tan Hong,3.0,87.79879442943255
55,Thanh Binh,3.0,76.02973678923047
56,Thap Muoi,3.0,68.22362052274927
57,Chau Thanh,4.0,96.98397737983035
58,Chau Thanh A,4.0,51.916095199677294
59,Long My,3.0,70.94273568392097
60,Long My,3.0,74.20479302832244
61,Nga Bay,4.0,91.9327731092437
62,Phung Hiep,4.0,62.17582125282617
63,Vi Thanh,4.0,64.89303346132749
64,Vi Thuy,3.0,82.4891461649783
65,An Bien,19.0,49.436501261564345
66,An Minh,19.0,84.60847095831929
67,Chau Thanh,3.0,73.77654662973222
68,Giong Rieng,3.0,85.63496870583485
69,Giang Thanh,3.0,51.370078740157474
70,Go Quao,3.0,67.59216412154868
71,Ha Tien,19.0,54.84293193717278
72,Hon Dat,3.0,55.581250000000004
73,Kien Hai,,
74,Kien Luong,4.0,33.2399495727693
75,Phu Quoc,10.0,59.3287037037037
76,Rach Gia,3.0,58.26472450918303
