,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,69.44444444444444
1,Cho Moi,3.0,51.46020232868867
2,Chau Doc,3.0,74.51227186910006
3,Chau Phu,3.0,83.45271159187253
4,Chau Thanh,3.0,89.08587257617728
5,Long Xuyen,3.0,57.649253731343286
6,Phu Tan,3.0,84.40707578073815
7,Tinh Bien,3.0,59.13059294288833
8,Tan Chau,3.0,69.2400482509047
9,Thoai Son,3.0,90.35665294924554
10,Tri Ton,3.0,75.0482521981557
11,Bac Lieu,19.0,56.46646207803595
12,Dong Hai,19.0,92.13581325677194
13,Gia Rai,19.0,69.83660730677437
14,Hong Dan,3.0,44.32132963988919
15,Hoa Binh,19.0,51.88356164383562
16,Phuoc Long,19.0,46.49691358024691
17,Vinh Loi,3.0,79.29085303186024
18,Ben Tre,4.0,88.66080156402737
19,Ba Tri,3.0,38.03643724696356
20,Binh Dai,4.0,47.63335837716003
21,Cho Lach,4.0,97.6908576814326
22,Chau Thanh,4.0,97.21669980119285
23,Giong Trom,4.0,92.60780287474333
24,Mo Cay Bac,4.0,99.87325728770595
25,Mo Cay Nam,4.0,99.27763819095478
26,Thanh Phu,19.0,53.999276149113285
27,Binh Thuy,4.0,73.3402489626556
28,Co Do,3.0,85.49556809024979
29,Cai Rang,4.0,88.97297297297297
30,Ninh Kieu,1.0,64.96350364963503
31,O Mon,4.0,51.55508697944122
32,Phong Dien,4.0,79.43005181347151
33,Thot Not,3.0,50.78076202373517
34,Thoi Lai,3.0,83.42105263157895
35,Vinh Thanh,3.0,93.36681314082445
36,Ca Mau,19.0,62.34712464220661
37,Cai Nuoc,19.0,96.33369582103465
38,Dam Doi,19.0,91.9987042436022
39,Nam Can,19.0,75.81185379350516
40,Ngoc Hien,19.0,59.82306284319707
41,Phu Tan,19.0,94.91136919315404
42,Thoi Binh,19.0,83.68239121594144
43,Tran Van Thoi,3.0,45.34949801098693
44,U Minh,4.0,43.879868764196175
45,Cao Lanh,3.0,70.57707938228123
46,Cao Lanh,4.0,63.6802205375603
47,Chau Thanh,4.0,50.39242219215156
48,Hong Ngu,3.0,70.0589970501475
49,Hong Ngu,3.0,86.5564738292011
50,Lap Vo,3.0,62.176308539944905
