,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,78.63327149041434
1,Cho Moi,3.0,54.63957055214724
2,Chau Doc,3.0,79.39698492462311
3,Chau Phu,3.0,85.08271116966769
4,Chau Thanh,3.0,91.51571164510166
5,Long Xuyen,3.0,61.777501553760096
6,Phu Tan,3.0,89.02252350754428
7,Tinh Bien,3.0,58.28321487151449
8,Tan Chau,3.0,79.281098546042
9,Thoai Son,3.0,93.48333104678282
10,Tri Ton,3.0,71.44237998066802
11,Bac Lieu,19.0,58.64035087719298
12,Dong Hai,19.0,92.896379525593
13,Gia Rai,19.0,69.67528893780958
14,Hong Dan,3.0,50.050938727987194
15,Hoa Binh,19.0,52.57044935262757
16,Phuoc Long,19.0,39.75996307124173
17,Vinh Loi,3.0,68.22622107969151
18,Ben Tre,4.0,87.71929824561403
19,Ba Tri,4.0,50.04051863857374
20,Binh Dai,4.0,51.11194873727855
21,Cho Lach,4.0,98.1534090909091
22,Chau Thanh,4.0,97.71371769383698
23,Giong Trom,4.0,95.57440953909654
24,Mo Cay Bac,4.0,99.78840457046128
25,Mo Cay Nam,4.0,99.15067631330608
26,Thanh Phu,4.0,43.65482233502538
27,Binh Thuy,4.0,70.61266874350987
28,Co Do,3.0,79.99188311688312
29,Cai Rang,4.0,87.10725893824485
30,Ninh Kieu,1.0,66.01941747572816
31,O Mon,4.0,61.002638522427446
32,Phong Dien,4.0,82.2522055007784
33,Thot Not,3.0,48.71955028107433
34,Thoi Lai,3.0,72.05177372962608
35,Vinh Thanh,3.0,91.69282276626909
36,Ca Mau,19.0,63.130389338907754
37,Cai Nuoc,19.0,96.00248872297402
38,Dam Doi,19.0,90.56020814700382
39,Nam Can,19.0,72.81766340108203
40,Ngoc Hien,19.0,56.77783478707029
41,Phu Tan,19.0,94.52348171944317
42,Thoi Binh,19.0,60.75640504270029
43,Tran Van Thoi,4.0,38.87254436746702
44,U Minh,4.0,47.34940771234143
45,Cao Lanh,3.0,67.95971144684906
46,Cao Lanh,4.0,59.69634230503795
47,Chau Thanh,3.0,53.11734277157637
48,Hong Ngu,3.0,78.65292602134707
49,Hong Ngu,3.0,89.97245179063361
50,Lap Vo,3.0,68.35582484164142
51,Lai Vung,3.0,58.482016425941666
52,Sa Dec,4.0,53.18892900120337
53,Tam Nong,3.0,75.45691906005221
54,Tan Hong,3.0,87.70253427503117
55,Thanh Binh,3.0,83.30337527461555
56,Thap Muoi,3.0,72.48549323017409
57,Chau Thanh,4.0,97.17381064531324
58,Chau Thanh A,3.0,56.10149013290374
59,Long My,3.0,59.76640159045725
60,Long My,3.0,67.56410256410257
61,Nga Bay,4.0,86.25314333612741
62,Phung Hiep,4.0,63.99628005845622
63,Vi Thanh,4.0,69.30747922437673
64,Vi Thuy,3.0,80.73525220860644
65,An Bien,3.0,62.77201205222631
66,An Minh,19.0,40.36758937577048
67,Chau Thanh,3.0,76.80293982544787
68,Giong Rieng,3.0,76.09529578033515
69,Giang Thanh,3.0,62.630085146641434
70,Go Quao,3.0,61.74646095116908
71,Ha Tien,19.0,48.15560026827633
72,Hon Dat,3.0,74.44083468699237
73,Kien Hai,,
74,Kien Luong,3.0,31.638100590053387
75,Phu Quoc,10.0,48.49889880607395
76,Rach Gia,3.0,66.41318124207858
77,Tan Hiep,3.0,95.38158691701999
78,U Minh Thuong,4.0,56.62596110357304
79,Vinh Thuan,3.0,52.3306948109059
80,Ben Luc,4.0,85.4512389179359
81,Can Duoc,4.0,47.30971128608924
82,Can Giuoc,4.0,61.59047005795235
83,Chau Thanh,4.0,80.67484662576688
84,Duc Hoa,4.0,50.96065873741995
85,Duc Hue,3.0,44.14604707302354
86,Kien Tuong,3.0,90.9764743796326
87,Moc Hoa,3.0,89.7140323653292
88,Tan An,4.0,66.80294358135733
89,Tan Hung,3.0,90.50460500713451
90,Tan Thanh,3.0,83.35590669676448
91,Tan Tru,4.0,55.8898847631242
92,Thanh Hoa,3.0,54.64059487744423
93,Thu Thua,3.0,53.25043630017452
94,Vinh Hung,3.0,97.66150740242261
95,Chau Thanh,3.0,56.54435925520262
96,Cu Lao Dung,4.0,78.76296031462282
97,Ke Sach,4.0,76.43312101910828
98,Long Phu,4.0,61.723499867829766
99,My Tu,3.0,56.630320084417875
100,My Xuyen,3.0,53.25339446305766
101,Nga Nam,3.0,82.30912476722533
102,Soc Trang,4.0,51.227773073666384
103,Thanh Tri,3.0,77.22483748038556
104,Tran De,3.0,68.72993221548342
105,Vinh Chau,19.0,61.17310443490701
106,Cai Be,4.0,56.84721099434115
107,Cai Lay,4.0,62.95354749248902
108,Cai Lay,3.0,50.20727775218793
109,Cho Gao,4.0,96.56466512702079
110,Chau Thanh,4.0,83.26749435665914
111,Go Cong,4.0,69.5865451997197
112,Go Cong Dong,3.0,59.66832504145937
113,Go Cong Tay,4.0,61.79330212459489
114,My Tho,4.0,81.45161290322581
115,Tan Phu Dong,4.0,55.77712609970674
116,Tan Phuoc,4.0,73.68217802664607
117,Cau Ke,4.0,75.90987868284229
118,Cau Ngang,4.0,40.81721364920669
119,Cang Long,4.0,55.72571428571429
120,Chau Thanh,4.0,64.41189142610943
121,Duyen Hai,19.0,59.319371727748695
122,Duyen Hai,19.0,76.32696390658175
123,Tieu Can,4.0,72.00581395348837
124,Tra Cu,4.0,66.20239390642001
125,Tra Vinh,4.0,71.20098039215686
126,Binh Minh,4.0,56.582840236686394
127,Binh Tan,3.0,62.267416702726095
128,Long Ho,4.0,57.07196029776674
129,Mang Thit,4.0,58.297690333618476
130,Tam Binh,3.0,57.79408494551923
131,Tra On,4.0,62.03966005665722
132,Vinh Long,4.0,66.11195158850227
133,Vung Liem,3.0,49.94350282485876
