,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,79.83626440266829
1,Cho Moi,3.0,53.745426535721165
2,Chau Doc,3.0,76.10340479192939
3,Chau Phu,3.0,90.09813973927055
4,Chau Thanh,3.0,91.57583595048956
5,Long Xuyen,3.0,63.30390920554855
6,Phu Tan,3.0,87.6205083260298
7,Tinh Bien,3.0,67.58646063281824
8,Tan Chau,3.0,73.73493975903614
9,Thoai Son,3.0,93.22359396433471
10,Tri Ton,3.0,71.37297297297297
11,Bac Lieu,19.0,41.586327782646805
12,Dong Hai,19.0,88.69151863897923
13,Gia Rai,19.0,63.94645149459013
14,Hong Dan,4.0,39.1388557806913
15,Hoa Binh,19.0,46.41631719405262
16,Phuoc Long,19.0,40.60764959901296
17,Vinh Loi,3.0,74.08457968024756
18,Ben Tre,4.0,88.18359375
19,Ba Tri,4.0,54.68559837728195
20,Binh Dai,4.0,48.284407167365615
21,Cho Lach,4.0,99.71617786187322
22,Chau Thanh,4.0,97.2055888223553
23,Giong Trom,4.0,95.12362637362637
24,Mo Cay Bac,4.0,99.91539763113367
25,Mo Cay Nam,4.0,98.55072463768117
26,Thanh Phu,19.0,51.815062308109084
27,Binh Thuy,4.0,83.00518134715026
28,Co Do,3.0,87.58328285887342
29,Cai Rang,4.0,96.31635969664138
30,Ninh Kieu,4.0,57.84313725490197
31,O Mon,4.0,67.03586497890295
32,Phong Dien,4.0,90.77720207253887
33,Thot Not,3.0,49.497487437185924
34,Thoi Lai,3.0,71.57894736842105
35,Vinh Thanh,3.0,94.14103368905629
36,Ca Mau,19.0,60.526315789473685
37,Cai Nuoc,19.0,96.7518133081047
38,Dam Doi,19.0,86.68653350515464
39,Nam Can,19.0,64.3905273863141
40,Ngoc Hien,15.0,51.5832482124617
41,Phu Tan,19.0,83.64896073903002
42,Thoi Binh,19.0,56.66429080541696
43,Tran Van Thoi,3.0,39.977123248498714
44,U Minh,4.0,43.44462198301236
45,Cao Lanh,3.0,62.54071661237784
46,Cao Lanh,4.0,69.86869384934347
47,Chau Thanh,4.0,54.96080021627466
48,Hong Ngu,3.0,78.06855879100627
49,Hong Ngu,3.0,93.25594250967384
50,Lap Vo,3.0,56.060606060606055
51,Lai Vung,3.0,52.13820447465307
52,Sa Dec,4.0,64.85819975339088
53,Tam Nong,3.0,79.67892425905599
54,Tan Hong,3.0,95.95603484031521
55,Thanh Binh,3.0,88.01198801198801
56,Thap Muoi,3.0,70.29726802262607
57,Chau Thanh,4.0,98.25964252116651
58,Chau Thanh A,4.0,69.72624798711755
59,Long My,4.0,85.71072940004979
60,Long My,4.0,65.0319829424307
61,Nga Bay,4.0,92.78523489932886
62,Phung Hiep,4.0,84.0541257628018
63,Vi Thanh,4.0,81.1289429994466
64,Vi Thuy,3.0,58.18904342889583
65,An Bien,3.0,70.07385028533065
66,An Minh,4.0,43.69313714478265
67,Chau Thanh,3.0,74.71104946833103
68,Giong Rieng,3.0,69.60104512109335
69,Giang Thanh,3.0,31.141595711132137
70,Go Quao,4.0,57.015902712815716
71,Ha Tien,19.0,41.879751209398755
72,Hon Dat,3.0,56.26521820565649
73,Kien Hai,,
74,Kien Luong,10.0,42.00595829195631
75,Phu Quoc,4.0,49.5543465678898
76,Rach Gia,3.0,69.87951807228916
77,Tan Hiep,3.0,93.59576078728237
78,U Minh Thuong,4.0,52.82791817087846
79,Vinh Thuan,3.0,45.0520373963662
80,Ben Luc,4.0,65.18163125428376
81,Can Duoc,3.0,75.65592826303553
82,Can Giuoc,3.0,49.06148867313916
83,Chau Thanh,4.0,62.50551389501544
84,Duc Hoa,3.0,46.86115778219032
85,Duc Hue,10.0,34.57350272232305
86,Kien Tuong,3.0,80.80775444264944
87,Moc Hoa,3.0,74.66637010676158
88,Tan An,4.0,69.24342105263158
89,Tan Hung,3.0,79.22817922817923
90,Tan Thanh,3.0,68.0403068130546
91,Tan Tru,3.0,61.40350877192983
92,Thanh Hoa,10.0,32.765780730897006
93,Thu Thua,3.0,43.10798946444249
94,Vinh Hung,3.0,87.78922479310928
95,Chau Thanh,4.0,53.01204819277109
96,Cu Lao Dung,4.0,89.36321593738883
97,Ke Sach,4.0,91.25459746628525
98,Long Phu,3.0,50.131926121372025
99,My Tu,4.0,61.54799858306765
100,My Xuyen,19.0,55.02270663033606
101,Nga Nam,4.0,53.013333333333335
102,Soc Trang,3.0,63.25148179508891
103,Thanh Tri,3.0,74.40342188203512
104,Tran De,3.0,58.57219156133168
105,Vinh Chau,19.0,48.561614426792616
106,Cai Be,4.0,62.71105447594776
107,Cai Lay,4.0,68.73408933117334
108,Cai Lay,4.0,58.774758175955775
109,Cho Gao,4.0,86.49740334679747
110,Chau Thanh,4.0,90.85778781038375
111,Go Cong,4.0,68.35714285714286
112,Go Cong Dong,4.0,48.53183767733421
113,Go Cong Tay,4.0,73.59104046242774
114,My Tho,4.0,86.62477558348294
115,Tan Phu Dong,4.0,59.58456973293769
116,Tan Phuoc,4.0,51.91045928213045
117,Cau Ke,4.0,79.3133294864397
118,Cau Ngang,3.0,55.30186608122942
119,Cang Long,4.0,79.88165680473372
120,Chau Thanh,4.0,45.217015763334054
121,Duyen Hai,19.0,55.21601685985248
122,Duyen Hai,19.0,72.97585227272727
123,Tieu Can,4.0,74.7758171825282
124,Tra Cu,4.0,53.30434782608696
125,Tra Vinh,4.0,62.20858895705521
126,Binh Minh,4.0,68.81481481481482
127,Binh Tan,3.0,59.67113803548247
128,Long Ho,4.0,69.50303897032535
129,Mang Thit,4.0,76.97903294822423
130,Tam Binh,4.0,59.7151123970621
131,Tra On,4.0,69.49239886627157
132,Vinh Long,4.0,75.79425113464447
133,Vung Liem,4.0,69.81046931407943
