,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,77.94073630649507
1,Cho Moi,4.0,48.1651376146789
2,Chau Doc,3.0,77.21280602636534
3,Chau Phu,3.0,85.09643483343075
4,Chau Thanh,3.0,89.71375807940905
5,Long Xuyen,3.0,53.97022332506204
6,Phu Tan,3.0,86.26037570991699
7,Tinh Bien,3.0,66.74549754411497
8,Tan Chau,3.0,72.43047158403868
9,Thoai Son,3.0,89.54015099519562
10,Tri Ton,3.0,76.24718377856453
11,Bac Lieu,19.0,56.94261936049059
12,Dong Hai,19.0,92.37606409614422
13,Gia Rai,19.0,69.64744766801321
14,Hong Dan,19.0,48.82656826568266
15,Hoa Binh,19.0,52.45527217358203
16,Phuoc Long,19.0,45.60160221845632
17,Vinh Loi,3.0,78.49434737923947
18,Ben Tre,4.0,87.09677419354838
19,Ba Tri,4.0,41.90553088413404
20,Binh Dai,4.0,47.50979294907666
21,Cho Lach,4.0,97.64484220442769
22,Chau Thanh,4.0,97.32496697490093
23,Giong Trom,4.0,95.17084282460137
24,Mo Cay Bac,4.0,99.83108108108108
25,Mo Cay Nam,4.0,99.05956112852664
26,Thanh Phu,19.0,55.02712477396021
27,Binh Thuy,4.0,73.26424870466322
28,Co Do,3.0,70.973594033461
29,Cai Rang,4.0,84.55723542116631
30,Ninh Kieu,1.0,67.71844660194175
31,O Mon,4.0,69.17808219178082
32,Phong Dien,4.0,86.14426569797612
33,Thot Not,4.0,51.92786069651741
34,Thoi Lai,3.0,68.43240651965485
35,Vinh Thanh,3.0,87.49213011542497
36,Ca Mau,19.0,62.81250000000001
37,Cai Nuoc,19.0,95.97701149425288
38,Dam Doi,19.0,92.2210517786241
39,Nam Can,19.0,77.21923579834375
40,Ngoc Hien,19.0,62.36876974824177
41,Phu Tan,19.0,95.16104411540223
42,Thoi Binh,19.0,84.38548337907899
43,Tran Van Thoi,3.0,47.62445580162786
44,U Minh,4.0,40.185169455533845
45,Cao Lanh,3.0,67.47395480990393
46,Cao Lanh,4.0,68.45360824742268
47,Chau Thanh,4.0,62.891891891891895
48,Hong Ngu,3.0,71.41284403669724
49,Hong Ngu,3.0,86.7178924259056
50,Lap Vo,4.0,49.573355353702176
51,Lai Vung,4.0,66.94027738465893
52,Sa Dec,4.0,61.961722488038276
53,Tam Nong,3.0,74.95544893762852
54,Tan Hong,3.0,88.4790716949855
55,Thanh Binh,3.0,77.79765454184059
56,Thap Muoi,3.0,80.23605925569072
57,Chau Thanh,4.0,97.59433962264151
58,Chau Thanh A,4.0,58.397100281917034
59,Long My,3.0,66.05640771895102
60,Long My,3.0,72.49466950959487
61,Nga Bay,4.0,91.85558354324097
62,Phung Hiep,4.0,68.58999867356414
63,Vi Thanh,4.0,71.35016465422612
64,Vi Thuy,3.0,71.77650429799426
65,An Bien,3.0,46.076458752515094
66,An Minh,19.0,84.72596585804133
67,Chau Thanh,3.0,74.48323380799266
68,Giong Rieng,3.0,76.2016055278935
69,Giang Thanh,3.0,64.73460387462593
70,Go Quao,3.0,60.94746431825083
71,Ha Tien,19.0,53.17616240995415
72,Hon Dat,3.0,73.40107218551303
73,Kien Hai,,
74,Kien Luong,3.0,33.71636771300449
75,Phu Quoc,4.0,47.49016886421467
76,Rach Gia,3.0,65.39923954372624
77,Tan Hiep,3.0,90.52089642640824
78,U Minh Thuong,4.0,55.099878934624705
79,Vinh Thuan,19.0,64.74594028287062
80,Ben Luc,4.0,76.60059239006607
81,Can Duoc,3.0,60.03949967083607
82,Can Giuoc,4.0,38.221076377699006
83,Chau Thanh,4.0,83.77077865266843
84,Duc Hoa,4.0,50.90825828117844
85,Duc Hue,3.0,45.22225582098579
86,Kien Tuong,3.0,87.94326241134752
87,Moc Hoa,3.0,88.59045504994451
88,Tan An,4.0,68.13365933170334
89,Tan Hung,3.0,87.94151895458661
90,Tan Thanh,3.0,79.59981946742892
