,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,87.4206229210765
1,Cho Moi,3.0,59.43087867717747
2,Chau Doc,3.0,73.50157728706624
3,Chau Phu,3.0,91.30434782608695
4,Chau Thanh,3.0,94.403398596232
5,Long Xuyen,3.0,65.82597730138714
6,Phu Tan,3.0,89.54635108481263
7,Tinh Bien,3.0,68.8876651982379
8,Tan Chau,3.0,76.43260694108152
9,Thoai Son,3.0,94.38957475994513
10,Tri Ton,3.0,76.50999459751485
11,Bac Lieu,19.0,54.64912280701755
12,Dong Hai,19.0,91.91792818716377
13,Gia Rai,19.0,70.53522162957513
14,Hong Dan,19.0,38.27030284767214
15,Hoa Binh,19.0,52.55432710636676
16,Phuoc Long,19.0,46.093023255813954
17,Vinh Loi,3.0,53.01701908200103
18,Ben Tre,4.0,84.94623655913979
19,Ba Tri,3.0,46.13040828762949
20,Binh Dai,19.0,46.01518026565465
21,Cho Lach,4.0,99.57345971563981
22,Chau Thanh,4.0,94.712337878284
23,Giong Trom,4.0,88.7181839027746
24,Mo Cay Bac,4.0,99.44821731748726
25,Mo Cay Nam,4.0,98.42420422313268
26,Thanh Phu,19.0,52.08858480374505
27,Binh Thuy,4.0,79.89637305699482
28,Co Do,3.0,86.25429553264605
29,Cai Rang,4.0,90.67245119305856
30,Ninh Kieu,1.0,52.69607843137255
31,O Mon,4.0,73.01001581444386
32,Phong Dien,4.0,89.94818652849742
33,Thot Not,4.0,52.264150943396224
34,Thoi Lai,3.0,70.9978463747308
35,Vinh Thanh,3.0,94.01548441096463
36,Ca Mau,19.0,63.733333333333334
37,Cai Nuoc,19.0,97.74616368286445
38,Dam Doi,19.0,88.04842378940526
39,Nam Can,19.0,68.23374340949033
40,Ngoc Hien,15.0,51.70541841647035
41,Phu Tan,19.0,88.8288844314149
42,Thoi Binh,19.0,72.52159605100782
43,Tran Van Thoi,4.0,39.704198473282446
44,U Minh,4.0,47.02396745378969
45,Cao Lanh,3.0,71.72703839370506
46,Cao Lanh,4.0,61.734342739160354
47,Chau Thanh,4.0,51.78861788617887
48,Hong Ngu,3.0,80.51660516605166
49,Hong Ngu,3.0,94.30939226519337
50,Lap Vo,3.0,66.48275862068965
51,Lai Vung,3.0,57.09018718094158
52,Sa Dec,4.0,56.1510353227771
53,Tam Nong,3.0,81.09739368998629
54,Tan Hong,3.0,94.03108808290156
55,Thanh Binh,3.0,87.77755551110222
56,Thap Muoi,3.0,75.37810042347247
57,Chau Thanh,4.0,96.939736346516
58,Chau Thanh A,4.0,67.4718196457327
59,Long My,4.0,59.682224428997024
60,Long My,3.0,55.607675906183374
61,Nga Bay,4.0,87.14285714285714
62,Phung Hiep,4.0,75.40809555408096
63,Vi Thanh,4.0,74.44812362030905
64,Vi Thuy,3.0,66.50581890434289
65,An Bien,3.0,64.85987581809029
66,An Minh,19.0,33.956916099773245
67,Chau Thanh,3.0,79.26631065706988
68,Giong Rieng,3.0,67.20635559131134
69,Giang Thanh,3.0,55.67893401015228
70,Go Quao,3.0,50.68668157138294
71,Ha Tien,19.0,44.421487603305785
72,Hon Dat,3.0,63.97247419455739
73,Kien Hai,,
74,Kien Luong,10.0,32.369049290829935
75,Phu Quoc,4.0,57.54248063807652
76,Rach Gia,3.0,70.61431285623813
77,Tan Hiep,3.0,95.50340651021953
78,U Minh Thuong,4.0,48.66078340300356
79,Vinh Thuan,3.0,36.16095704187058
80,Ben Luc,4.0,61.63536417773706
81,Can Duoc,3.0,76.1604774535809
82,Can Giuoc,3.0,47.89780077619664
83,Chau Thanh,4.0,62.258347978910365
84,Duc Hoa,4.0,43.19571865443425
85,Duc Hue,3.0,33.81774144716924
86,Kien Tuong,3.0,80.23293432546102
87,Moc Hoa,3.0,79.58720798366976
88,Tan An,4.0,56.72997522708505
89,Tan Hung,3.0,81.56148340923878
90,Tan Thanh,3.0,70.73690621193667
91,Tan Tru,3.0,68.12255541069099
92,Thanh Hoa,10.0,39.88931460195828
93,Thu Thua,3.0,51.04305370616955
94,Vinh Hung,3.0,91.20135363790186
95,Chau Thanh,3.0,64.08085222616772
96,Cu Lao Dung,4.0,75.77929057685418
97,Ke Sach,4.0,85.30553852442264
98,Long Phu,3.0,56.66931848316097
99,My Tu,4.0,50.451887293992556
100,My Xuyen,19.0,57.77979981801637
101,Nga Nam,3.0,63.61702127659574
102,Soc Trang,3.0,62.57408975444538
103,Thanh Tri,3.0,77.0561797752809
104,Tran De,3.0,73.74910650464618
105,Vinh Chau,19.0,59.533352419123965
106,Cai Be,4.0,54.73113132280197
107,Cai Lay,4.0,65.29289187311878
108,Cai Lay,4.0,54.356846473029044
109,Cho Gao,4.0,86.864896073903
110,Chau Thanh,4.0,83.94469525959369
111,Go Cong,3.0,51.6973125884017
112,Go Cong Dong,3.0,71.7441477085394
113,Go Cong Tay,3.0,52.09537572254336
114,My Tho,4.0,82.61648745519713
115,Tan Phu Dong,4.0,41.28993369499699
116,Tan Phuoc,4.0,58.98186073727326
117,Cau Ke,4.0,72.38288027761712
118,Cau Ngang,3.0,55.844439589250605
119,Cang Long,4.0,55.23613963039015
120,Chau Thanh,3.0,58.175895765472305
121,Duyen Hai,19.0,60.42710255734247
122,Duyen Hai,19.0,76.78128323289613
123,Tieu Can,4.0,50.98379629629629
124,Tra Cu,3.0,53.15354501957372
125,Tra Vinh,4.0,52.450980392156865
126,Binh Minh,4.0,67.53343239227341
127,Binh Tan,3.0,56.95764909248056
