,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,74.98489425981873
1,Cho Moi,3.0,58.59013867488444
2,Chau Doc,3.0,77.04918032786885
3,Chau Phu,3.0,91.33441224069443
4,Chau Thanh,3.0,91.57875254488246
5,Long Xuyen,3.0,67.02599873176919
6,Phu Tan,3.0,89.47022767075306
7,Tinh Bien,3.0,58.70120394016782
8,Tan Chau,3.0,74.52792286058659
9,Thoai Son,3.0,93.52537722908093
10,Tri Ton,3.0,63.41120484533852
11,Bac Lieu,3.0,41.41856392294221
12,Dong Hai,19.0,83.90847711927982
13,Gia Rai,19.0,49.174311926605505
14,Hong Dan,4.0,43.51990422029333
15,Hoa Binh,3.0,43.70949294700724
16,Phuoc Long,3.0,38.92658852560148
17,Vinh Loi,3.0,81.27418106783595
18,Ben Tre,4.0,85.08341511285575
19,Ba Tri,4.0,40.83080040526849
20,Binh Dai,4.0,46.20544269835186
21,Cho Lach,4.0,99.66887417218543
22,Chau Thanh,4.0,94.20193268910363
23,Giong Trom,4.0,89.49059201468563
24,Mo Cay Bac,4.0,99.87288135593221
25,Mo Cay Nam,4.0,98.295992426633
26,Thanh Phu,19.0,51.10627493652521
27,Binh Thuy,4.0,85.28497409326425
28,Co Do,3.0,88.4739604360113
29,Cai Rang,4.0,97.07792207792207
30,Ninh Kieu,4.0,59.55882352941176
31,O Mon,4.0,74.22245651027939
32,Phong Dien,4.0,94.45882962195753
33,Thot Not,3.0,50.59786028949025
34,Thoi Lai,3.0,67.27272727272727
35,Vinh Thanh,3.0,95.27097719188114
36,Ca Mau,19.0,52.187581870578995
37,Cai Nuoc,19.0,95.78930768017663
38,Dam Doi,19.0,86.82451477812675
39,Nam Can,19.0,65.3269258773846
40,Ngoc Hien,19.0,49.30026754476229
41,Phu Tan,19.0,80.11741078325352
42,Thoi Binh,19.0,42.082230816201914
43,Tran Van Thoi,4.0,41.534644016033596
44,U Minh,4.0,51.56131638750947
45,Cao Lanh,3.0,67.04221528437627
46,Cao Lanh,4.0,68.76295784381479
47,Chau Thanh,4.0,53.814935064935064
48,Hong Ngu,3.0,77.58875739644971
49,Hong Ngu,3.0,93.77753303964758
50,Lap Vo,3.0,61.680440771349865
51,Lai Vung,3.0,51.27406568516422
52,Sa Dec,4.0,65.7601977750309
53,Tam Nong,3.0,80.12890839275919
54,Tan Hong,3.0,95.70984455958549
55,Thanh Binh,3.0,89.7235576923077
56,Thap Muoi,3.0,76.97772426249247
57,Chau Thanh,4.0,96.7074317968015
58,Chau Thanh A,4.0,70.97423510466989
59,Long My,4.0,91.53597211849639
60,Long My,4.0,67.54797441364605
61,Nga Bay,4.0,92.69521410579345
62,Phung Hiep,4.0,84.5449721411515
63,Vi Thanh,4.0,83.61925843940232
64,Vi Thuy,3.0,53.10814646608004
65,An Bien,3.0,66.21893888515783
66,An Minh,4.0,57.20695457094784
67,Chau Thanh,3.0,75.10392609699768
68,Giong Rieng,3.0,69.1333199276091
69,Giang Thanh,10.0,35.12448786637252
70,Go Quao,4.0,58.70113493064313
71,Ha Tien,19.0,34.36185133239832
72,Hon Dat,3.0,49.8567335243553
73,Kien Hai,,
74,Kien Luong,10.0,49.129946674151
75,Phu Quoc,10.0,51.9847239902789
76,Rach Gia,3.0,69.03103229892336
77,Tan Hiep,3.0,94.08024224072672
78,U Minh Thuong,4.0,58.75187969924812
79,Vinh Thuan,3.0,43.207712532865905
80,Ben Luc,4.0,65.9521094640821
81,Can Duoc,3.0,71.64573694646398
82,Can Giuoc,3.0,43.018745959922434
83,Chau Thanh,4.0,60.95406360424028
84,Duc Hoa,4.0,52.997711670480555
85,Duc Hue,4.0,37.496224705527034
86,Kien Tuong,3.0,82.05625606207565
87,Moc Hoa,3.0,80.07552199022656
88,Tan An,4.0,59.22887612797375
89,Tan Hung,3.0,81.21031488920565
90,Tan Thanh,3.0,73.77049180327869
91,Tan Tru,3.0,61.979166666666664
92,Thanh Hoa,3.0,45.296311645254875
93,Thu Thua,3.0,47.89750328515112
94,Vinh Hung,3.0,89.38906752411575
95,Chau Thanh,3.0,54.72787245739418
96,Cu Lao Dung,4.0,85.53571428571428
97,Ke Sach,4.0,91.82505620273861
98,Long Phu,3.0,60.501319261213716
99,My Tu,4.0,55.95048629531389
100,My Xuyen,19.0,51.53917050691245
101,Nga Nam,4.0,60.15957446808511
102,Soc Trang,3.0,64.2675698560542
103,Thanh Tri,3.0,76.81257014590348
104,Tran De,3.0,74.42150231399074
105,Vinh Chau,19.0,38.89921372408863
106,Cai Be,4.0,64.66464871754023
107,Cai Lay,4.0,68.46617238183504
108,Cai Lay,4.0,61.16996775679411
109,Cho Gao,4.0,83.68466647415535
110,Chau Thanh,4.0,91.92546583850931
111,Go Cong,3.0,49.399293286219084
112,Go Cong Dong,3.0,62.64462809917355
113,Go Cong Tay,3.0,59.73931933381608
114,My Tho,4.0,86.90582959641256
115,Tan Phu Dong,4.0,63.75677302829621
116,Tan Phuoc,4.0,59.15329595979122
