,VARNAME_2,Dominant_LU_index_1,Dominant_LU_index_1_percent
0,An Phu,3.0,86.89364266345285
1,Cho Moi,4.0,51.10771581359816
2,Chau Doc,3.0,80.38969201759899
3,Chau Phu,3.0,88.70023419203747
4,Chau Thanh,3.0,92.24806201550388
5,Long Xuyen,3.0,51.689612015018774
6,Phu Tan,3.0,88.78688524590163
7,Tinh Bien,3.0,58.4313005143277
8,Tan Chau,3.0,80.735056542811
9,Thoai Son,3.0,88.67665246667583
10,Tri Ton,3.0,79.31145431145431
11,Bac Lieu,19.0,55.193661971830984
12,Dong Hai,19.0,91.70829170829171
13,Gia Rai,19.0,66.54432005872637
14,Hong Dan,3.0,42.197545295149034
15,Hoa Binh,19.0,51.36268343815513
16,Phuoc Long,19.0,37.41726950900416
17,Vinh Loi,3.0,68.90259573374455
18,Ben Tre,4.0,88.41285296981499
19,Ba Tri,3.0,41.201542520803734
20,Binh Dai,4.0,46.54195011337868
21,Cho Lach,4.0,98.96030245746692
22,Chau Thanh,4.0,96.5300727032386
23,Giong Trom,4.0,90.82799634034767
24,Mo Cay Bac,4.0,99.91557619248627
25,Mo Cay Nam,4.0,99.14340101522842
26,Thanh Phu,19.0,49.87364620938628
27,Binh Thuy,4.0,81.48914167528439
28,Co Do,3.0,66.42335766423358
29,Cai Rang,4.0,87.45945945945945
30,Ninh Kieu,1.0,61.40776699029126
31,O Mon,4.0,83.41282458929517
32,Phong Dien,4.0,93.05699481865285
33,Thot Not,4.0,68.08510638297872
34,Thoi Lai,3.0,55.254318618042234
35,Vinh Thanh,3.0,83.68854188647394
36,Ca Mau,19.0,58.23115053482911
37,Cai Nuoc,19.0,94.9556282111163
38,Dam Doi,19.0,88.93409275834011
39,Nam Can,19.0,74.63039621525725
40,Ngoc Hien,19.0,60.60194377677919
41,Phu Tan,19.0,93.03642485460666
42,Thoi Binh,19.0,70.55177319378112
43,Tran Van Thoi,3.0,40.46061984646005
44,U Minh,4.0,42.38690074274139
45,Cao Lanh,3.0,57.75792038992689
46,Cao Lanh,4.0,78.86067261496224
47,Chau Thanh,4.0,57.66324878575283
48,Hong Ngu,3.0,81.78438661710037
49,Hong Ngu,3.0,92.00220628792057
50,Lap Vo,4.0,51.92837465564738
51,Lai Vung,4.0,53.88967468175389
52,Sa Dec,4.0,70.4326923076923
53,Tam Nong,3.0,79.74492594624246
54,Tan Hong,3.0,94.5514812512948
55,Thanh Binh,3.0,86.31390491346728
56,Thap Muoi,3.0,71.8260660081908
57,Chau Thanh,4.0,98.21176470588236
58,Chau Thanh A,4.0,59.96778091018928
59,Long My,4.0,57.614087301587304
60,Long My,3.0,64.12116040955631
61,Nga Bay,4.0,84.74434199497067
62,Phung Hiep,4.0,71.73767864298117
63,Vi Thanh,4.0,71.49146945514585
64,Vi Thuy,3.0,77.65474162407723
65,An Bien,3.0,54.61860854987427
66,An Minh,19.0,70.04825496577264
67,Chau Thanh,3.0,75.67692663735247
68,Giong Rieng,3.0,73.12217194570135
69,Giang Thanh,3.0,66.41955835962146
70,Go Quao,3.0,50.9713228492137
71,Ha Tien,19.0,49.73009446693657
72,Hon Dat,3.0,72.40732637369507
73,Kien Hai,,
74,Kien Luong,3.0,29.50084127874369
75,Phu Quoc,4.0,57.454923717059636
76,Rach Gia,3.0,68.75792141951837
77,Tan Hiep,3.0,94.64042392127176
78,U Minh Thuong,4.0,51.60703456640389
79,Vinh Thuan,3.0,40.370044052863435
80,Ben Luc,4.0,71.35701275045537
81,Can Duoc,3.0,65.63833278634723
82,Can Giuoc,3.0,33.88296152602651
83,Chau Thanh,4.0,70.63457330415754
84,Duc Hoa,4.0,63.46271393643031
85,Duc Hue,4.0,39.84871406959153
86,Kien Tuong,3.0,81.16548615582742
87,Moc Hoa,3.0,80.34963487497234
88,Tan An,4.0,59.07241659886087
89,Tan Hung,3.0,85.8252427184466
